#             R [au]           V(R) [au]
   1.420473491164E-1   -1.104500000000E1
   1.427142380794E-1   -1.104500000000E1
   1.433811270423E-1   -1.104500000000E1
   1.440480160053E-1   -1.104500000000E1
   1.447149049683E-1   -1.104500000000E1
   1.453817939313E-1   -1.104500000000E1
   1.460486828943E-1   -1.104500000000E1
   1.467155718573E-1   -1.104500000000E1
   1.473824608203E-1   -1.104500000000E1
   1.480493497833E-1   -1.104500000000E1
   1.487162387462E-1   -1.104500000000E1
   1.493831277092E-1   -1.104500000000E1
   1.500500166722E-1   -1.104500000000E1
   1.507169056352E-1   -1.104500000000E1
   1.513837945982E-1   -1.104500000000E1
   1.520506835612E-1   -1.104500000000E1
   1.527175725242E-1   -1.104500000000E1
   1.533844614872E-1   -1.104500000000E1
   1.540513504502E-1   -1.104500000000E1
   1.547182394131E-1   -1.104500000000E1
   1.553851283761E-1   -1.104500000000E1
   1.560520173391E-1   -1.104500000000E1
   1.567189063021E-1   -1.104500000000E1
   1.573857952651E-1   -1.104500000000E1
   1.580526842281E-1   -1.104500000000E1
   1.587195731911E-1   -1.104500000000E1
   1.593864621541E-1   -1.104500000000E1
   1.600533511170E-1   -1.104500000000E1
   1.607202400800E-1   -1.104500000000E1
   1.613871290430E-1   -1.104500000000E1
   1.620540180060E-1   -1.104500000000E1
   1.627209069690E-1   -1.104500000000E1
   1.633877959320E-1   -1.104500000000E1
   1.640546848950E-1   -1.104500000000E1
   1.647215738580E-1   -1.104500000000E1
   1.653884628209E-1   -1.104500000000E1
   1.660553517839E-1   -1.104500000000E1
   1.667222407469E-1   -1.104500000000E1
   1.673891297099E-1   -1.104500000000E1
   1.680560186729E-1   -1.104500000000E1
   1.687229076359E-1   -1.104500000000E1
   1.693897965989E-1   -1.104500000000E1
   1.700566855619E-1   -1.104500000000E1
   1.707235745248E-1   -1.104500000000E1
   1.713904634878E-1   -1.104500000000E1
   1.720573524508E-1   -1.104500000000E1
   1.727242414138E-1   -1.104500000000E1
   1.733911303768E-1   -1.104500000000E1
   1.740580193398E-1   -1.104500000000E1
   1.747249083028E-1   -1.104500000000E1
   1.753917972658E-1   -1.104500000000E1
   1.760586862287E-1   -1.104500000000E1
   1.767255751917E-1   -1.104500000000E1
   1.773924641547E-1   -1.104500000000E1
   1.780593531177E-1   -1.104500000000E1
   1.787262420807E-1   -1.104500000000E1
   1.793931310437E-1   -1.104500000000E1
   1.800600200067E-1   -1.104500000000E1
   1.807269089697E-1   -1.104500000000E1
   1.813937979326E-1   -1.104500000000E1
   1.820606868956E-1   -1.104500000000E1
   1.827275758586E-1   -1.104500000000E1
   1.833944648216E-1   -1.104500000000E1
   1.840613537846E-1   -1.104500000000E1
   1.847282427476E-1   -1.104500000000E1
