#             E [au]      sigma_0 [au^2]
  2.220446049250E-16    3.286899567398E3
  3.100382477730E-16    3.286899567398E3
  4.329027274254E-16    3.286899567397E3
  6.044569428401E-16    3.286899567396E3
  8.439960587001E-16    3.286899567397E3
  1.178461684557E-15    3.286899567396E3
  1.645472070222E-15    3.286899567395E3
  2.297553131647E-15    3.286899567393E3
  3.208046182170E-15    3.286899567390E3
  4.479356827565E-15    3.286899567388E3
  6.254472800350E-15    3.286899567384E3
  8.733046175200E-15    3.286899567378E3
  1.219384877554E-14    3.286899567371E3
  1.702612639137E-14    3.286899567361E3
  2.377337830174E-14    3.286899567345E3
  3.319448610248E-14    3.286899567325E3
  4.634906716339E-14    3.286899567297E3
  6.471665264779E-14    3.286899567256E3
  9.036309436758E-14    3.286899567200E3
  1.261729167008E-13    3.286899567120E3
  1.761737468178E-13    3.286899567011E3
  2.459893127574E-13    3.286899566857E3
  3.434719592666E-13    3.286899566644E3
  4.795858221645E-13    3.286899566344E3
  6.696399942294E-13    3.286899565927E3
  9.350103800976E-13    3.286899565344E3
  1.305543901834E-12    3.286899564530E3
  1.822915462648E-12    3.286899563394E3
  2.545315235506E-12    3.286899561806E3
  3.553993468621E-12    3.286899559591E3
  4.962398919712E-12    3.286899556497E3
  6.928938743355E-12    3.286899552177E3
  9.674794970323E-12    3.286899546145E3
  1.350880144633E-11    3.286899537722E3
  1.886217920651E-11    3.286899525961E3
  2.633703706668E-11    3.286899509541E3
  3.677409242364E-11    3.286899486613E3
  5.134722900526E-11    3.286899454598E3
  7.169552673510E-11    3.286899409897E3
  1.001076134663E-10    3.286899347481E3
  1.397790731205E-10    3.286899260330E3
  1.951718616187E-10    3.286899210273E3
  2.725161550819E-10    3.286899070581E3
  3.805110745202E-10    3.286898833338E3
  5.313030994033E-10    3.286898602994E3
  7.418522149230E-10    3.286898140459E3
   1.035839447209E-9    3.286897596188E3
   1.446330332120E-9    3.286896825323E3
   2.019493885127E-9    3.286895913501E3
   2.819795354831E-9    3.286894417085E3
   3.937246803116E-9    3.286892320098E3
   5.497531004188E-9    3.286889530068E3
   7.676137324712E-9    3.286885555372E3
   1.071809948556E-8    3.286880034609E3
   1.496555516438E-8    3.286872266662E3
   2.089622714176E-8    3.286861433615E3
   2.917715406904E-8    3.286846243743E3
   4.073971410214E-8    3.286825194046E3
   5.688437951133E-8    3.286795716638E3
   7.942698430030E-8    3.286754559401E3
   1.109029559474E-7    3.286697050782E3
   1.548524817632E-7    3.286616843047E3
   2.162186832928E-7    3.286504798113E3
   3.019035825100E-7    3.286348398224E3
   4.215443908191E-7    3.286130003011E3
   5.885974321790E-7    3.285825093572E3
   8.218516121032E-7    3.285399546433E3
   1.147541656470E-6    3.284805563751E3
   1.602298801804E-6    3.283976497003E3
   2.237270809114E-6    3.282819546637E3
   3.123874690338E-6    3.281205436048E3
   4.361829172034E-6    3.278954357201E3
   6.090370329147E-6    3.275816340425E3
   8.503911841383E-6    3.271444834037E3
   1.187391122342E-5    3.265360431608E3
   1.657940138272E-5    3.256902596003E3
   2.314962147159E-5    3.245165926867E3
   3.232354184009E-5    3.228918742455E3
   4.513297802170E-5    3.206503181282E3
   6.301864180554E-5    3.175719826557E3
   8.799218197181E-5    3.133712235229E3
   1.228624398484E-4    3.076881288240E3
   1.715513672605E-4    3.000889304499E3
   2.395351390162E-4    2.900847292234E3
   3.344600730367E-4    2.771812748551E3
   4.670026323285E-4    2.609707710251E3
   6.520702355338E-4    2.412659823790E3
   9.104779344586E-4    2.182512277609E3
   1.271289539013E-3    1.925913578863E3
   1.775086502196E-3    1.654235319027E3
   2.478532225415E-3    1.381887424802E3
   3.460745143868E-3    1.123420535430E3
   4.832197390052E-3    8.905689969570E2
   6.747139892053E-3    6.904283132600E2
   9.420951390904E-3    5.252378091841E2
   1.315436266770E-2    3.933962395834E2
   1.836728054456E-2    2.909624748683E2
   2.564601593591E-2    2.130266943098E2
   3.580922781624E-2    1.546693026214E2
   5.000000000000E-2    1.114916721065E2
