#             e [au]            f [a.u.]
   -1.128125000000E1  -9.999999887948E-1
   -1.126995745746E1  -9.999999886877E-1
   -1.125866491491E1  -9.999999885795E-1
   -1.124737237237E1  -9.999999884702E-1
   -1.123607982983E1  -9.999999883599E-1
   -1.122478728729E1  -9.999999882484E-1
   -1.121349474474E1  -9.999999881358E-1
   -1.120220220220E1  -9.999999880221E-1
   -1.119090965966E1  -9.999999879072E-1
   -1.117961711712E1  -9.999999877912E-1
   -1.116832457457E1  -9.999999876739E-1
   -1.115703203203E1  -9.999999875555E-1
   -1.114573948949E1  -9.999999874359E-1
   -1.113444694695E1  -9.999999873151E-1
   -1.112315440440E1  -9.999999871931E-1
   -1.111186186186E1  -9.999999870698E-1
   -1.110056931932E1  -9.999999869453E-1
   -1.108927677678E1  -9.999999868195E-1
   -1.107798423423E1  -9.999999866925E-1
   -1.106669169169E1  -9.999999865641E-1
   -1.105539914915E1  -9.999999864344E-1
   -1.104410660661E1  -9.999999863035E-1
   -1.103281406406E1  -9.999999861712E-1
   -1.102152152152E1  -9.999999860375E-1
   -1.101022897898E1  -9.999999859025E-1
   -1.099893643644E1  -9.999999857661E-1
   -1.098764389389E1  -9.999999856283E-1
   -1.097635135135E1  -9.999999854891E-1
   -1.096505880881E1  -9.999999853485E-1
   -1.095376626627E1  -9.999999852065E-1
   -1.094247372372E1  -9.999999850630E-1
   -1.093118118118E1  -9.999999849180E-1
   -1.091988863864E1  -9.999999847716E-1
   -1.090859609610E1  -9.999999846236E-1
   -1.089730355355E1  -9.999999844742E-1
   -1.088601101101E1  -9.999999843232E-1
   -1.087471846847E1  -9.999999841706E-1
   -1.086342592593E1  -9.999999840165E-1
   -1.085213338338E1  -9.999999838609E-1
   -1.084084084084E1  -9.999999837036E-1
   -1.082954829830E1  -9.999999835447E-1
   -1.081825575576E1  -9.999999833841E-1
   -1.080696321321E1  -9.999999832220E-1
   -1.079567067067E1  -9.999999830581E-1
   -1.078437812813E1  -9.999999828926E-1
   -1.077308558559E1  -9.999999827253E-1
   -1.076179304304E1  -9.999999825563E-1
   -1.075050050050E1  -9.999999823856E-1
   -1.073920795796E1  -9.999999822132E-1
   -1.072791541542E1  -9.999999820389E-1
   -1.071662287287E1  -9.999999818629E-1
   -1.070533033033E1  -9.999999816850E-1
   -1.069403778779E1  -9.999999815053E-1
   -1.068274524525E1  -9.999999813237E-1
   -1.067145270270E1  -9.999999811402E-1
   -1.066016016016E1  -9.999999809549E-1
   -1.064886761762E1  -9.999999807676E-1
   -1.063757507508E1  -9.999999805784E-1
   -1.062628253253E1  -9.999999803872E-1
   -1.061498998999E1  -9.999999801940E-1
   -1.060369744745E1  -9.999999799989E-1
   -1.059240490490E1  -9.999999798017E-1
   -1.058111236236E1  -9.999999796024E-1
   -1.056981981982E1  -9.999999794011E-1
   -1.055852727728E1  -9.999999791977E-1
   -1.054723473473E1  -9.999999789921E-1
   -1.053594219219E1  -9.999999787844E-1
   -1.052464964965E1  -9.999999785746E-1
   -1.051335710711E1  -9.999999783625E-1
   -1.050206456456E1  -9.999999781483E-1
   -1.049077202202E1  -9.999999779318E-1
   -1.047947947948E1  -9.999999777130E-1
   -1.046818693694E1  -9.999999774920E-1
   -1.045689439439E1  -9.999999772686E-1
   -1.044560185185E1  -9.999999770429E-1
   -1.043430930931E1  -9.999999768149E-1
   -1.042301676677E1  -9.999999765844E-1
   -1.041172422422E1  -9.999999763515E-1
   -1.040043168168E1  -9.999999761162E-1
   -1.038913913914E1  -9.999999758784E-1
   -1.037784659660E1  -9.999999756382E-1
   -1.036655405405E1  -9.999999753953E-1
   -1.035526151151E1  -9.999999751500E-1
   -1.034396896897E1  -9.999999749020E-1
   -1.033267642643E1  -9.999999746515E-1
   -1.032138388388E1  -9.999999743983E-1
   -1.031009134134E1  -9.999999741424E-1
   -1.029879879880E1  -9.999999738838E-1
   -1.028750625626E1  -9.999999736225E-1
   -1.027621371371E1  -9.999999733585E-1
   -1.026492117117E1  -9.999999730916E-1
   -1.025362862863E1  -9.999999728219E-1
   -1.024233608609E1  -9.999999725494E-1
   -1.023104354354E1  -9.999999722740E-1
   -1.021975100100E1  -9.999999719957E-1
   -1.020845845846E1  -9.999999717144E-1
   -1.019716591592E1  -9.999999714301E-1
   -1.018587337337E1  -9.999999711429E-1
   -1.017458083083E1  -9.999999708525E-1
   -1.016328828829E1  -9.999999705591E-1
   -1.015199574575E1  -9.999999702626E-1
   -1.014070320320E1  -9.999999699629E-1
   -1.012941066066E1  -9.999999696600E-1
   -1.011811811812E1  -9.999999693539E-1
   -1.010682557558E1  -9.999999690446E-1
   -1.009553303303E1  -9.999999687319E-1
   -1.008424049049E1  -9.999999684159E-1
   -1.007294794795E1  -9.999999680965E-1
   -1.006165540541E1  -9.999999677738E-1
   -1.005036286286E1  -9.999999674475E-1
   -1.003907032032E1  -9.997067671288E-1
   -1.002777777778E1  -9.996400170011E-1
   -1.001648523524E1  -9.995616959346E-1
   -1.000519269269E1  -9.994823174605E-1
