#             R [au]        psi_0 [a.u.]
    0.000000000000E0    0.000000000000E0
   3.333444448148E-3   1.454635388446E-5
   6.666888896297E-3   5.565456402759E-5
   1.000033334444E-2   1.246820103978E-4
   1.333377779259E-2   2.214164491541E-4
   1.666722224074E-2   3.458160255170E-4
   2.000066668889E-2   4.978604183968E-4
   2.333411113704E-2   6.775338317945E-4
   2.666755558519E-2   8.848209010426E-4
   3.000100003333E-2   1.119705344783E-3
   3.333444448148E-2   1.382169429193E-3
   3.666788892963E-2   1.672193725963E-3
   4.000133337778E-2   1.989756992455E-3
   4.333477782593E-2   2.334836108247E-3
   4.666822227408E-2   2.707406039966E-3
   5.000166672222E-2   3.107439821276E-3
   5.333511117037E-2   3.534908541472E-3
   5.666855561852E-2   3.989781339223E-3
   6.000200006667E-2   4.472025399527E-3
   6.333544451482E-2   4.981605952763E-3
   6.666888896297E-2   5.518486275189E-3
   7.000233341111E-2   6.082627690439E-3
   7.333577785926E-2   6.673989571790E-3
   7.666922230741E-2   7.292529345002E-3
   8.000266675556E-2   7.938202491628E-3
   8.333611120371E-2   8.610962552711E-3
   8.666955565186E-2   9.310761132817E-3
   9.000300010000E-2   1.003754790436E-2
   9.333644454815E-2   1.079127061220E-2
   9.666988899630E-2   1.157187507848E-2
   1.000033334444E-1   1.237930520772E-2
   1.033367778926E-1   1.321350299206E-2
   1.066702223407E-1   1.407440851684E-2
   1.100036667889E-1   1.496195996626E-2
   1.133371112370E-1   1.587609362932E-2
   1.166705556852E-1   1.681674390592E-2
   1.200040001333E-1   1.778384331315E-2
   1.233374445815E-1   1.877732249180E-2
   1.266708890296E-1   1.979711021303E-2
   1.300043334778E-1   2.084313338524E-2
   1.333377779259E-1   2.191531706107E-2
   1.366712223741E-1   2.301358444468E-2
   1.400046668222E-1   2.413785689914E-2
   1.433381112704E-1   2.528805395398E-2
   1.466715557185E-1   2.646409331296E-2
   1.500050001667E-1   2.766589086202E-2
   1.533384446148E-1   2.889336067735E-2
   1.566718890630E-1   3.014641503368E-2
   1.600053335111E-1   3.142496441274E-2
   1.633387779593E-1   3.272891751185E-2
   1.666722224074E-1   3.405818125269E-2
   1.700056668556E-1   3.541266079029E-2
   1.733391113037E-1   3.679225952209E-2
   1.766725557519E-1   3.819687909727E-2
   1.800060002000E-1   3.962641942615E-2
   1.833394446482E-1   4.108077868980E-2
   1.866728890963E-1   4.255985334980E-2
   1.900063335445E-1   4.406353815816E-2
   1.933397779926E-1   4.559172616740E-2
   1.966732224407E-1   4.714430874077E-2
   2.000066668889E-1   4.872117556264E-2
   2.033401113370E-1   5.032221464904E-2
   2.066735557852E-1   5.194731235837E-2
   2.100070002333E-1   5.359635340218E-2
   2.133404446815E-1   5.526922085624E-2
   2.166738891296E-1   5.696579617162E-2
   2.200073335778E-1   5.868595918599E-2
   2.233407780259E-1   6.042958813505E-2
   2.266742224741E-1   6.219655966411E-2
   2.300076669222E-1   6.398674883977E-2
   2.333411113704E-1   6.580002916180E-2
   2.366745558185E-1   6.763627257513E-2
   2.400080002667E-1   6.949534948196E-2
   2.433414447148E-1   7.137712875403E-2
   2.466748891630E-1   7.328147774502E-2
   2.500083336111E-1   7.520826230307E-2
   2.533417780593E-1   7.715734678346E-2
   2.566752225074E-1   7.912859406137E-2
   2.600086669556E-1   8.112186554479E-2
   2.633421114037E-1   8.313702118760E-2
   2.666755558519E-1   8.517391950271E-2
   2.700090003000E-1   8.723241757531E-2
   2.733424447482E-1   8.931237107637E-2
   2.766758891963E-1   9.141363427605E-2
   2.800093336445E-1   9.353606005743E-2
   2.833427780926E-1   9.567949993025E-2
   2.866762225408E-1   9.784380404474E-2
   2.900096669889E-1   1.000288212057E-1
   2.933431114370E-1   1.022343988863E-1
   2.966765558852E-1   1.044603832429E-1
   3.000100003333E-1   1.067066191287E-1
   3.033434447815E-1   1.089729501083E-1
   3.066768892296E-1   1.112592184727E-1
   3.100103336778E-1   1.135652652533E-1
   3.133437781259E-1   1.158909302368E-1
   3.166772225741E-1   1.182360519804E-1
   3.200106670222E-1   1.206004678260E-1
   3.233441114704E-1   1.229840139159E-1
   3.266775559185E-1   1.253865252075E-1
   3.300110003667E-1   1.278078354884E-1
   3.333444448148E-1   1.302477773921E-1
   3.366778892630E-1   1.327061824129E-1
   3.400113337111E-1   1.351828809217E-1
   3.433447781593E-1   1.376777021812E-1
   3.466782226074E-1   1.401904743619E-1
   3.500116670556E-1   1.427210245573E-1
   3.533451115037E-1   1.452691788001E-1
   3.566785559519E-1   1.478347620778E-1
   3.600120004000E-1   1.504175983486E-1
   3.633454448482E-1   1.530175105576E-1
   3.666788892963E-1   1.556343206525E-1
   3.700123337445E-1   1.582678496001E-1
   3.733457781926E-1   1.609179174020E-1
   3.766792226408E-1   1.635843431114E-1
   3.800126670889E-1   1.662669448491E-1
   3.833461115371E-1   1.689655398196E-1
   3.866795559852E-1   1.716799443281E-1
   3.900130004333E-1   1.744099737966E-1
   3.933464448815E-1   1.771554427805E-1
   3.966798893296E-1   1.799161649853E-1
   4.000133337778E-1   1.826919532827E-1
   4.033467782259E-1   1.854826197283E-1
   4.066802226741E-1   1.882879755772E-1
   4.100136671222E-1   1.911078313016E-1
   4.133471115704E-1   1.939419966071E-1
   4.166805560185E-1   1.967902804497E-1
   4.200140004667E-1   1.996524910529E-1
   4.233474449148E-1   2.025284359241E-1
   4.266808893630E-1   2.054179218722E-1
   4.300143338111E-1   2.083207550241E-1
   4.333477782593E-1   2.112367408417E-1
   4.366812227074E-1   2.141656841395E-1
   4.400146671556E-1   2.171073891007E-1
   4.433481116037E-1   2.200616592954E-1
   4.466815560519E-1   2.230282976968E-1
   4.500150005000E-1   2.260071066988E-1
   4.533484449482E-1   2.289978881330E-1
   4.566818893963E-1   2.320004432859E-1
   4.600153338445E-1   2.350145729159E-1
   4.633487782926E-1   2.380400772710E-1
   4.666822227408E-1   2.410767561052E-1
   4.700156671889E-1   2.441244086965E-1
   4.733491116371E-1   2.471828338636E-1
   4.766825560852E-1   2.502518299832E-1
   4.800160005334E-1   2.533311950074E-1
   4.833494449815E-1   2.564207264806E-1
   4.866828894296E-1   2.595202215572E-1
   4.900163338778E-1   2.626294770183E-1
   4.933497783259E-1   2.657482892891E-1
   4.966832227741E-1   2.688764544562E-1
   5.000166672222E-1   2.720137682846E-1
   5.033501116704E-1   2.751600262350E-1
   5.066835561185E-1   2.783150234811E-1
   5.100170005667E-1   2.814785549264E-1
   5.133504450148E-1   2.846504152214E-1
   5.166838894630E-1   2.878303987810E-1
   5.200173339111E-1   2.910182998014E-1
   5.233507783593E-1   2.942139122771E-1
   5.266842228074E-1   2.974170300180E-1
   5.300176672556E-1   3.006274466666E-1
   5.333511117037E-1   3.038449557145E-1
   5.366845561519E-1   3.070693505200E-1
   5.400180006000E-1   3.103004243245E-1
   5.433514450482E-1   3.135379702697E-1
   5.466848894963E-1   3.167817814143E-1
   5.500183339445E-1   3.200316507509E-1
   5.533517783926E-1   3.232873712228E-1
   5.566852228408E-1   3.265487357406E-1
   5.600186672889E-1   3.298155371991E-1
   5.633521117371E-1   3.330875684939E-1
   5.666855561852E-1   3.363646225378E-1
   5.700190006334E-1   3.396464922777E-1
   5.733524450815E-1   3.429329707109E-1
   5.766858895297E-1   3.462238509016E-1
   5.800193339778E-1   3.495189259973E-1
   5.833527784259E-1   3.528179892454E-1
   5.866862228741E-1   3.561208340090E-1
   5.900196673222E-1   3.594272537836E-1
   5.933531117704E-1   3.627370422132E-1
   5.966865562185E-1   3.660499931062E-1
   6.000200006667E-1   3.693659004517E-1
   6.033534451148E-1   3.726845584355E-1
   6.066868895630E-1   3.760057614558E-1
   6.100203340111E-1   3.793293041394E-1
   6.133537784593E-1   3.826549813572E-1
   6.166872229074E-1   3.859825882402E-1
   6.200206673556E-1   3.893119201950E-1
   6.233541118037E-1   3.926427729194E-1
   6.266875562519E-1   3.959749424181E-1
   6.300210007000E-1   3.993082250177E-1
   6.333544451482E-1   4.026424173826E-1
   6.366878895963E-1   4.059773165301E-1
   6.400213340445E-1   4.093127198453E-1
   6.433547784926E-1   4.126484250967E-1
   6.466882229408E-1   4.159842304509E-1
   6.500216673889E-1   4.193199344879E-1
   6.533551118371E-1   4.226553362154E-1
   6.566885562852E-1   4.259902350843E-1
   6.600220007334E-1   4.293244310030E-1
   6.633554451815E-1   4.326577243519E-1
   6.666888896297E-1   4.359899159983E-1
   6.700223340778E-1   4.393208073106E-1
   6.733557785260E-1   4.426502001727E-1
   6.766892229741E-1   4.459778969981E-1
   6.800226674222E-1   4.493037007443E-1
   6.833561118704E-1   4.526274149267E-1
   6.866895563185E-1   4.559488436327E-1
   6.900230007667E-1   4.592677915353E-1
   6.933564452148E-1   4.625840639072E-1
   6.966898896630E-1   4.658974666340E-1
   7.000233341111E-1   4.692078062285E-1
   7.033567785593E-1   4.725148898432E-1
   7.066902230074E-1   4.758185252846E-1
   7.100236674556E-1   4.791185210258E-1
   7.133571119037E-1   4.824146862199E-1
