#             R [au]        psi_0 [a.u.]
   2.366745558185E-1   3.629843352918E-1
   2.400080002667E-1   3.677704040789E-1
   2.433414447148E-1   3.725431021422E-1
   2.466748891630E-1   3.773022658996E-1
   2.500083336111E-1   3.820477326503E-1
   2.533417780593E-1   3.867793405839E-1
   2.566752225074E-1   3.914969287904E-1
   2.600086669556E-1   3.962003372695E-1
   2.633421114037E-1   4.008894069404E-1
   2.666755558519E-1   4.055639796511E-1
   2.700090003000E-1   4.102238981876E-1
   2.733424447482E-1   4.148690062833E-1
   2.766758891963E-1   4.194991486278E-1
   2.800093336445E-1   4.241141708765E-1
   2.833427780926E-1   4.287139196590E-1
   2.866762225408E-1   4.332982425881E-1
   2.900096669889E-1   4.378669882687E-1
   2.933431114370E-1   4.424200063062E-1
   2.966765558852E-1   4.469571473154E-1
   3.000100003333E-1   4.514782629284E-1
   3.033434447815E-1   4.559832058036E-1
   3.066768892296E-1   4.604718296334E-1
   3.100103336778E-1   4.649439891528E-1
   3.133437781259E-1   4.693995401469E-1
   3.166772225741E-1   4.738383394595E-1
   3.200106670222E-1   4.782602450003E-1
   3.233441114704E-1   4.826651157533E-1
   3.266775559185E-1   4.870528117839E-1
   3.300110003667E-1   4.914231942464E-1
   3.333444448148E-1   4.957761253922E-1
   3.366778892630E-1   5.001114685759E-1
   3.400113337111E-1   5.044290882638E-1
   3.433447781593E-1   5.087288500400E-1
   3.466782226074E-1   5.130106206139E-1
   3.500116670556E-1   5.172742678270E-1
   3.533451115037E-1   5.215196606596E-1
   3.566785559519E-1   5.257466692376E-1
   3.600120004000E-1   5.299551648391E-1
   3.633454448482E-1   5.341450199006E-1
   3.666788892963E-1   5.383161080236E-1
   3.700123337445E-1   5.424683039808E-1
   3.733457781926E-1   5.466014837221E-1
   3.766792226408E-1   5.507155243808E-1
   3.800126670889E-1   5.548103042792E-1
   3.833461115371E-1   5.588857029349E-1
   3.866795559852E-1   5.629416010660E-1
   3.900130004333E-1   5.669778805968E-1
   3.933464448815E-1   5.709944246634E-1
   3.966798893296E-1   5.749911176190E-1
   4.000133337778E-1   5.789678450390E-1
   4.033467782259E-1   5.829244937260E-1
   4.066802226741E-1   5.868609517155E-1
   4.100136671222E-1   5.907771082797E-1
   4.133471115704E-1   5.946728539333E-1
