#             e [au]            f [a.u.]
   -8.516196260037E0  -9.999998646048E-1
   -8.507671463981E0  -9.999998634812E-1
   -8.499146667925E0  -9.999998623477E-1
   -8.490621871869E0  -9.999998612042E-1
   -8.482097075813E0  -9.999998600507E-1
   -8.473572279757E0  -9.999998588869E-1
   -8.465047483701E0  -9.999998577129E-1
   -8.456522687645E0  -9.999998565285E-1
   -8.447997891589E0  -9.999998553337E-1
   -8.439473095532E0  -9.999998541283E-1
   -8.430948299476E0  -9.999998529122E-1
   -8.422423503420E0  -9.999998516854E-1
   -8.413898707364E0  -9.999998504477E-1
   -8.405373911308E0  -9.999998491991E-1
   -8.396849115252E0  -9.999998479394E-1
   -8.388324319196E0  -9.999998466685E-1
   -8.379799523140E0  -9.999998453863E-1
   -8.371274727084E0  -9.999998440928E-1
   -8.362749931028E0  -9.999998427878E-1
   -8.354225134971E0  -9.999998414711E-1
   -8.345700338915E0  -9.999998401428E-1
   -8.337175542859E0  -9.999998388026E-1
   -8.328650746803E0  -9.999998374506E-1
   -8.320125950747E0  -9.999998360864E-1
   -8.311601154691E0  -9.999998347102E-1
   -8.303076358635E0  -9.999998333216E-1
   -8.294551562579E0  -9.999998319207E-1
   -8.286026766523E0  -9.999998305072E-1
   -8.277501970467E0  -9.999998290812E-1
   -8.268977174411E0  -9.999998276424E-1
   -8.260452378354E0  -9.999998261907E-1
   -8.251927582298E0  -9.999998247261E-1
   -8.243402786242E0  -9.999998232483E-1
   -8.234877990186E0  -9.999998217573E-1
   -8.226353194130E0  -9.999998202529E-1
   -8.217828398074E0  -9.999998187351E-1
   -8.209303602018E0  -9.999998172037E-1
   -8.200778805962E0  -9.999998156585E-1
   -8.192254009906E0  -9.999998140994E-1
   -8.183729213850E0  -9.999998125263E-1
   -8.175204417794E0  -9.999998109391E-1
   -8.166679621737E0  -9.999998093376E-1
   -8.158154825681E0  -9.999998077217E-1
   -8.149630029625E0  -9.999998060912E-1
   -8.141105233569E0  -9.999998044461E-1
   -8.132580437513E0  -9.999998027861E-1
   -8.124055641457E0  -9.999998011111E-1
   -8.115530845401E0  -9.999997994211E-1
   -8.107006049345E0  -9.999997977157E-1
   -8.098481253289E0  -9.999997959950E-1
   -8.089956457233E0  -9.999997942587E-1
   -8.081431661177E0  -9.999997925067E-1
   -8.072906865120E0  -9.999997907388E-1
   -8.064382069064E0  -9.999997889550E-1
   -8.055857273008E0  -9.999997871550E-1
   -8.047332476952E0  -9.999997853386E-1
   -8.038807680896E0  -9.999997835058E-1
   -8.030282884840E0  -9.999997816564E-1
   -8.021758088784E0  -9.999997797901E-1
   -8.013233292728E0  -9.999997779069E-1
   -8.004708496672E0  -9.999997760066E-1
   -7.996183700616E0  -9.999997740890E-1
   -7.987658904559E0  -9.999997721540E-1
   -7.979134108503E0  -9.999997702013E-1
   -7.970609312447E0  -9.999997682308E-1
   -7.962084516391E0  -9.999997662424E-1
   -7.953559720335E0  -9.999997642358E-1
   -7.945034924279E0  -9.999997622109E-1
   -7.936510128223E0  -9.999997601676E-1
   -7.927985332167E0  -9.999997581055E-1
   -7.919460536111E0  -9.999997560246E-1
   -7.910935740055E0  -9.999997539247E-1
   -7.902410943999E0  -9.999997518055E-1
   -7.893886147942E0  -9.999997496670E-1
   -7.885361351886E0  -9.999997475088E-1
   -7.876836555830E0  -9.999997453309E-1
   -7.868311759774E0  -9.999997431330E-1
   -7.859786963718E0  -9.999997409149E-1
   -7.851262167662E0  -9.999997386764E-1
   -7.842737371606E0  -9.999997364173E-1
   -7.834212575550E0  -9.999997341375E-1
   -7.825687779494E0  -9.999997318367E-1
   -7.817162983438E0  -9.999997295148E-1
   -7.808638187382E0  -9.999997271714E-1
   -7.800113391325E0  -9.999997248064E-1
   -7.791588595269E0  -9.999997224197E-1
   -7.783063799213E0  -9.999997200109E-1
   -7.774539003157E0  -9.999997175798E-1
   -7.766014207101E0  -9.999997151263E-1
   -7.757489411045E0  -9.999997126502E-1
   -7.748964614989E0  -9.999997101511E-1
   -7.740439818933E0  -9.999997076289E-1
   -7.731915022877E0  -9.999997050833E-1
   -7.723390226821E0  -9.999997025142E-1
   -7.714865430764E0  -9.999996999212E-1
   -7.706340634708E0  -9.999996973042E-1
   -7.697815838652E0  -9.999996946629E-1
   -7.689291042596E0  -9.999996919971E-1
