#             e [au]            f [a.u.]
   -5.512392520075E0  -9.999965889603E-1
   -5.506874459494E0  -9.999965662046E-1
   -5.501356398913E0  -9.999965432855E-1
   -5.495838338333E0  -9.999965202018E-1
   -5.490320277752E0  -9.999964969523E-1
   -5.484802217171E0  -9.999964735356E-1
   -5.479284156591E0  -9.999964499505E-1
   -5.473766096010E0  -9.999964261956E-1
   -5.468248035429E0  -9.999964022698E-1
   -5.462729974849E0  -9.999963781715E-1
   -5.457211914268E0  -9.999963538995E-1
   -5.451693853687E0  -9.999963294525E-1
   -5.446175793107E0  -9.999963048290E-1
   -5.440657732526E0  -9.999962800278E-1
   -5.435139671945E0  -9.999962550474E-1
   -5.429621611365E0  -9.999962298864E-1
   -5.424103550784E0  -9.999962045435E-1
   -5.418585490203E0  -9.999961790172E-1
   -5.413067429623E0  -9.999961533061E-1
   -5.407549369042E0  -9.999961274088E-1
   -5.402031308461E0  -9.999961013237E-1
   -5.396513247881E0  -9.999960750495E-1
   -5.390995187300E0  -9.999960485846E-1
   -5.385477126719E0  -9.999960219276E-1
   -5.379959066139E0  -9.999959950770E-1
   -5.374441005558E0  -9.999959680312E-1
   -5.368922944978E0  -9.999959407888E-1
   -5.363404884397E0  -9.999959133482E-1
   -5.357886823816E0  -9.999958857078E-1
   -5.352368763236E0  -9.999958578660E-1
   -5.346850702655E0  -9.999958298214E-1
   -5.341332642074E0  -9.999958015722E-1
   -5.335814581494E0  -9.999957731170E-1
   -5.330296520913E0  -9.999957444540E-1
   -5.324778460332E0  -9.999957155817E-1
   -5.319260399752E0  -9.999956864984E-1
   -5.313742339171E0  -9.999956572024E-1
   -5.308224278590E0  -9.999956276920E-1
   -5.302706218010E0  -9.999955979657E-1
   -5.297188157429E0  -9.999955680216E-1
   -5.291670096848E0  -9.999955378581E-1
   -5.286152036268E0  -9.999955074733E-1
   -5.280633975687E0  -9.999954768657E-1
   -5.275115915106E0  -9.999954460334E-1
   -5.269597854526E0  -9.999954149746E-1
   -5.264079793945E0  -9.999953836875E-1
   -5.258561733364E0  -9.999953521704E-1
   -5.253043672784E0  -9.999953204214E-1
   -5.247525612203E0  -9.999952884387E-1
   -5.242007551622E0  -9.999952562204E-1
   -5.236489491042E0  -9.999952237646E-1
   -5.230971430461E0  -9.999951910695E-1
   -5.225453369880E0  -9.999951581332E-1
   -5.219935309300E0  -9.999951249537E-1
   -5.214417248719E0  -9.999950915292E-1
   -5.208899188138E0  -9.999950578576E-1
   -5.203381127558E0  -9.999950239370E-1
   -5.197863066977E0  -9.999949897654E-1
   -5.192345006397E0  -9.999949553408E-1
   -5.186826945816E0  -9.999949206612E-1
   -5.181308885235E0  -9.999948857246E-1
   -5.175790824655E0  -9.999948505288E-1
   -5.170272764074E0  -9.999948150719E-1
   -5.164754703493E0  -9.999947793518E-1
   -5.159236642913E0  -9.999947433662E-1
   -5.153718582332E0  -9.999947071132E-1
   -5.148200521751E0  -9.999946705905E-1
   -5.142682461171E0  -9.999946337961E-1
   -5.137164400590E0  -9.999945967277E-1
   -5.131646340009E0  -9.999945593830E-1
   -5.126128279429E0  -9.999945217600E-1
   -5.120610218848E0  -9.999944838564E-1
   -5.115092158267E0  -9.999944456698E-1
   -5.109574097687E0  -9.999944071981E-1
   -5.104056037106E0  -9.999943684390E-1
   -5.098537976525E0  -9.999943293900E-1
   -5.093019915945E0  -9.999942900489E-1
   -5.087501855364E0  -9.999942504134E-1
   -5.081983794783E0  -9.999942104810E-1
   -5.076465734203E0  -9.999941702494E-1
   -5.070947673622E0  -9.999941297161E-1
   -5.065429613041E0  -9.999940888786E-1
   -5.059911552461E0  -9.999940477346E-1
   -5.054393491880E0  -9.999940062816E-1
   -5.048875431299E0  -9.999939645170E-1
   -5.043357370719E0  -9.999939224383E-1
   -5.037839310138E0  -9.999938800430E-1
   -5.032321249558E0  -9.999938373285E-1
   -5.026803188977E0  -9.999937942922E-1
   -5.021285128396E0  -9.999937509314E-1
   -5.015767067816E0  -9.999937072436E-1
   -5.010249007235E0  -9.999936632262E-1
   -5.004730946654E0  -9.999936188763E-1
   -4.999212886074E0  -9.999935741913E-1
   -4.993694825493E0  -9.999935291684E-1
   -4.988176764912E0  -9.999934838050E-1
   -4.982658704332E0  -9.999934380982E-1
   -4.977140643751E0  -9.999933920452E-1
   -4.971622583170E0  -9.999933456432E-1
   -4.966104522590E0  -9.999932988893E-1
   -4.960586462009E0  -9.999932517807E-1
   -4.955068401428E0  -9.999932043144E-1
   -4.949550340848E0  -9.999931564876E-1
   -4.944032280267E0  -9.999931082972E-1
   -4.938514219686E0  -9.999930597403E-1
   -4.932996159106E0  -9.999930108138E-1
   -4.927478098525E0  -9.999929615148E-1
   -4.921960037944E0  -9.999929118401E-1
   -4.916441977364E0  -9.999928617867E-1
   -4.910923916783E0  -9.999928113514E-1
   -4.905405856202E0  -9.999927605312E-1
   -4.899887795622E0  -9.999927093228E-1
   -4.894369735041E0  -9.999926577230E-1
   -4.888851674460E0  -9.999926057286E-1
   -4.883333613880E0  -9.999925533364E-1
   -4.877815553299E0  -9.999925005430E-1
   -4.872297492719E0  -9.999924473452E-1
   -4.866779432138E0  -9.999923937395E-1
   -4.861261371557E0  -9.999923397227E-1
   -4.855743310977E0  -9.999922852913E-1
   -4.850225250396E0  -9.999922304418E-1
   -4.844707189815E0  -9.999921751708E-1
   -4.839189129235E0  -9.999921194748E-1
   -4.833671068654E0  -9.999920633503E-1
   -4.828153008073E0  -9.999920067937E-1
   -4.822634947493E0  -9.999919498014E-1
   -4.817116886912E0  -9.999918923698E-1
   -4.811598826331E0  -9.999918344952E-1
   -4.806080765751E0  -9.999917761739E-1
   -4.800562705170E0  -9.999917174022E-1
   -4.795044644589E0  -9.999916581764E-1
   -4.789526584009E0  -9.999915984926E-1
   -4.784008523428E0  -9.999915383470E-1
   -4.778490462847E0  -9.999914777358E-1
   -4.772972402267E0  -9.999914166551E-1
   -4.767454341686E0  -9.999913551009E-1
   -4.761936281105E0  -9.999912930692E-1
   -4.756418220525E0  -9.999912305561E-1
   -4.750900159944E0  -9.999911675575E-1
   -4.745382099363E0  -9.999911040694E-1
   -4.739864038783E0  -9.999910400876E-1
   -4.734345978202E0  -9.999909756080E-1
   -4.728827917621E0  -9.999909106263E-1
   -4.723309857041E0  -9.999908451384E-1
   -4.717791796460E0  -9.999907791400E-1
   -4.712273735880E0  -9.999907126268E-1
   -4.706755675299E0  -9.999906455945E-1
   -4.701237614718E0  -9.999905780386E-1
   -4.695719554138E0  -9.999905099547E-1
   -4.690201493557E0  -9.999904413385E-1
   -4.684683432976E0  -9.999903721853E-1
   -4.679165372396E0  -9.999903024906E-1
   -4.673647311815E0  -9.999902322498E-1
   -4.668129251234E0  -9.999901614584E-1
   -4.662611190654E0  -9.999900901116E-1
   -4.657093130073E0  -9.999900182048E-1
   -4.651575069492E0  -9.999899457331E-1
   -4.646057008912E0  -9.999898726918E-1
   -4.640538948331E0  -9.999897990760E-1
   -4.635020887750E0  -9.999897248808E-1
   -4.629502827170E0  -9.999896501013E-1
   -4.623984766589E0  -9.999895747326E-1
   -4.618466706008E0  -9.999894987695E-1
   -4.612948645428E0  -9.999894222071E-1
   -4.607430584847E0  -9.999893450401E-1
   -4.601912524266E0  -9.999892672635E-1
   -4.596394463686E0  -9.999891888720E-1
   -4.590876403105E0  -9.999891098603E-1
   -4.585358342524E0  -9.999890302232E-1
   -4.579840281944E0  -9.999889499553E-1
   -4.574322221363E0  -9.999888690511E-1
   -4.568804160782E0  -9.999887875053E-1
   -4.563286100202E0  -9.999887053123E-1
   -4.557768039621E0  -9.999886224664E-1
   -4.552249979041E0  -9.999885389623E-1
   -4.546731918460E0  -9.999884547940E-1
   -4.541213857879E0  -9.999883699560E-1
   -4.535695797299E0  -9.999882844425E-1
   -4.530177736718E0  -9.999881982476E-1
   -4.524659676137E0  -9.999881113654E-1
   -4.519141615557E0  -9.999880237901E-1
   -4.513623554976E0  -9.999879355156E-1
   -4.508105494395E0  -9.999878465359E-1
   -4.502587433815E0  -9.999877568449E-1
   -4.497069373234E0  -9.999876664363E-1
   -4.491551312653E0  -9.999875753041E-1
   -4.486033252073E0  -9.999874834419E-1
   -4.480515191492E0  -9.999873908434E-1
   -4.474997130911E0  -9.999872975021E-1
