#             e [au]            f [a.u.]
   -1.051873208668E1  -9.999999784641E-1
   -1.050820280031E1  -9.999999782654E-1
   -1.049767351393E1  -9.999999780648E-1
   -1.048714422756E1  -9.999999778622E-1
   -1.047661494119E1  -9.999999776576E-1
   -1.046608565481E1  -9.999999774510E-1
   -1.045555636844E1  -9.999999772424E-1
   -1.044502708207E1  -9.999999770318E-1
   -1.043449779569E1  -9.999999768191E-1
   -1.042396850932E1  -9.999999766044E-1
   -1.041343922295E1  -9.999999763875E-1
   -1.040290993658E1  -9.999999761685E-1
   -1.039238065020E1  -9.999999759474E-1
   -1.038185136383E1  -9.999999757241E-1
   -1.037132207746E1  -9.999999754986E-1
   -1.036079279108E1  -9.999999752710E-1
   -1.035026350471E1  -9.999999750410E-1
   -1.033973421834E1  -9.999999748089E-1
   -1.032920493196E1  -9.999999745744E-1
   -1.031867564559E1  -9.999999743376E-1
   -1.030814635922E1  -9.999999740986E-1
   -1.029761707284E1  -9.999999738571E-1
   -1.028708778647E1  -9.999999736133E-1
   -1.027655850010E1  -9.999999733671E-1
   -1.026602921373E1  -9.999999731184E-1
   -1.025549992735E1  -9.999999728674E-1
   -1.024497064098E1  -9.999999726138E-1
   -1.023444135461E1  -9.999999723577E-1
   -1.022391206823E1  -9.999999720991E-1
   -1.021338278186E1  -9.999999718380E-1
   -1.020285349549E1  -9.999999715742E-1
   -1.019232420911E1  -9.999999713079E-1
   -1.018179492274E1  -9.999999710389E-1
   -1.017126563637E1  -9.999999707673E-1
   -1.016073635000E1  -9.999999704930E-1
   -1.015020706362E1  -9.999999702159E-1
   -1.013967777725E1  -9.999999699361E-1
   -1.012914849088E1  -9.999999696536E-1
   -1.011861920450E1  -9.999999693682E-1
   -1.010808991813E1  -9.999999690800E-1
   -1.009756063176E1  -9.999999687889E-1
   -1.008703134538E1  -9.999999684949E-1
   -1.007650205901E1  -9.999999681980E-1
   -1.006597277264E1  -9.999999678982E-1
   -1.005544348626E1  -9.999999675954E-1
   -1.004491419989E1  -9.999999672895E-1
   -1.003438491352E1  -9.999999669806E-1
   -1.002385562715E1  -9.999999666686E-1
   -1.001332634077E1  -9.999999663535E-1
   -1.000279705440E1  -9.999999660353E-1
   -9.992267768026E0  -9.999999657139E-1
   -9.981738481653E0  -9.999999653893E-1
   -9.971209195280E0  -9.999999650614E-1
   -9.960679908907E0  -9.999999647302E-1
   -9.950150622534E0  -9.999999643957E-1
   -9.939621336161E0  -9.999999640579E-1
   -9.929092049788E0  -9.999999637167E-1
   -9.918562763415E0  -9.999999633720E-1
   -9.908033477042E0  -9.999999630239E-1
   -9.897504190669E0  -9.999999626723E-1
   -9.886974904296E0  -9.999999623172E-1
   -9.876445617923E0  -9.999999619585E-1
   -9.865916331550E0  -9.999999615962E-1
   -9.855387045177E0  -9.999999612303E-1
   -9.844857758804E0  -9.999999608606E-1
   -9.834328472431E0  -9.999999604872E-1
   -9.823799186058E0  -9.999999601101E-1
   -9.813269899685E0  -9.999999597292E-1
   -9.802740613312E0  -9.999999593444E-1
   -9.792211326938E0  -9.999999589557E-1
   -9.781682040565E0  -9.999999585631E-1
   -9.771152754192E0  -9.999999581666E-1
   -9.760623467819E0  -9.999999577660E-1
   -9.750094181446E0  -9.999999573614E-1
   -9.739564895073E0  -9.999999569526E-1
   -9.729035608700E0  -9.999999565398E-1
   -9.718506322327E0  -9.999999561227E-1
   -9.707977035954E0  -9.999999557014E-1
   -9.697447749581E0  -9.999999552759E-1
   -9.686918463208E0  -9.999999548460E-1
   -9.676389176835E0  -9.999999544117E-1
   -9.665859890462E0  -9.999999539730E-1
   -9.655330604089E0  -9.999999535299E-1
   -9.644801317716E0  -9.999999530823E-1
   -9.634272031343E0  -9.999999526301E-1
   -9.623742744970E0  -9.999999521732E-1
   -9.613213458597E0  -9.999999517118E-1
   -9.602684172224E0  -9.999999512456E-1
   -9.592154885850E0  -9.999999507746E-1
   -9.581625599477E0  -9.999999502989E-1
   -9.571096313104E0  -9.999999498182E-1
   -9.560567026731E0  -9.999999493327E-1
   -9.550037740358E0  -9.999999488422E-1
   -9.539508453985E0  -9.999999483467E-1
   -9.528979167612E0  -9.999999478461E-1
   -9.518449881239E0  -9.999999473403E-1
   -9.507920594866E0  -9.999999468294E-1
   -9.497391308493E0  -9.999999463132E-1
   -9.486862022120E0  -9.999999457918E-1
   -9.476332735747E0  -9.999999452649E-1
   -9.465803449374E0  -9.999999447327E-1
   -9.455274163001E0  -9.999999441950E-1
   -9.444744876628E0  -9.999999436517E-1
   -9.434215590255E0  -9.999999431028E-1
   -9.423686303882E0  -9.999999425483E-1
   -9.413157017509E0  -9.999999419881E-1
   -9.402627731136E0  -9.999999414221E-1
   -9.392098444763E0  -9.999999408502E-1
   -9.381569158389E0  -9.999999402725E-1
   -9.371039872016E0  -9.999999396887E-1
   -9.360510585643E0  -9.999999390990E-1
   -9.349981299270E0  -9.999999385031E-1
   -9.339452012897E0  -9.999999379010E-1
   -9.328922726524E0  -9.999999372927E-1
   -9.318393440151E0  -9.999999366781E-1
   -9.307864153778E0  -9.999999360572E-1
   -9.297334867405E0  -9.999999354297E-1
   -9.286805581032E0  -9.999999347958E-1
   -9.276276294659E0  -9.999999341553E-1
   -9.265747008286E0  -9.999999335081E-1
   -9.255217721913E0  -9.999999328542E-1
   -9.244688435540E0  -9.999999321935E-1
   -9.234159149167E0  -9.999999315259E-1
   -9.223629862794E0  -9.999999308513E-1
   -9.213100576421E0  -9.999999301697E-1
   -9.202571290048E0  -9.999999294810E-1
   -9.192042003675E0  -9.999999287850E-1
   -9.181512717301E0  -9.999999280819E-1
   -9.170983430928E0  -9.999999273713E-1
   -9.160454144555E0  -9.999999266533E-1
   -9.149924858182E0  -9.999999259279E-1
   -9.139395571809E0  -9.999999251948E-1
   -9.128866285436E0  -9.999999244540E-1
   -9.118336999063E0  -9.999999237055E-1
   -9.107807712690E0  -9.999999229491E-1
   -9.097278426317E0  -9.999999221847E-1
   -9.086749139944E0  -9.999999214123E-1
   -9.076219853571E0  -9.999999206318E-1
   -9.065690567198E0  -9.999999198431E-1
   -9.055161280825E0  -9.999999190461E-1
   -9.044631994452E0  -9.999999182407E-1
   -9.034102708079E0  -9.999999174268E-1
   -9.023573421706E0  -9.999999166044E-1
   -9.013044135333E0  -9.999999157732E-1
   -9.002514848960E0  -9.999999149333E-1
   -8.991985562587E0  -9.999999140845E-1
   -8.981456276213E0  -9.999999132267E-1
   -8.970926989840E0  -9.999999123599E-1
   -8.960397703467E0  -9.999999114838E-1
   -8.949868417094E0  -9.999999105985E-1
   -8.939339130721E0  -9.999999097038E-1
   -8.928809844348E0  -9.999999087997E-1
   -8.918280557975E0  -9.999999078859E-1
   -8.907751271602E0  -9.999999069624E-1
   -8.897221985229E0  -9.999999060291E-1
   -8.886692698856E0  -9.999999050859E-1
   -8.876163412483E0  -9.999999041326E-1
   -8.865634126110E0  -9.999999031692E-1
   -8.855104839737E0  -9.999999021956E-1
   -8.844575553364E0  -9.999999012116E-1
   -8.834046266991E0  -9.999999002170E-1
   -8.823516980618E0  -9.999998992119E-1
   -8.812987694245E0  -9.999998981960E-1
   -8.802458407872E0  -9.999998971693E-1
   -8.791929121499E0  -9.999998961315E-1
   -8.781399835125E0  -9.999998950827E-1
   -8.770870548752E0  -9.999998940227E-1
   -8.760341262379E0  -9.999998929513E-1
   -8.749811976006E0  -9.999998918684E-1
   -8.739282689633E0  -9.999998907739E-1
   -8.728753403260E0  -9.999998896676E-1
   -8.718224116887E0  -9.999998885495E-1
   -8.707694830514E0  -9.999998874193E-1
   -8.697165544141E0  -9.999998862770E-1
   -8.686636257768E0  -9.999998851224E-1
   -8.676106971395E0  -9.999998839554E-1
   -8.665577685022E0  -9.999998827758E-1
   -8.655048398649E0  -9.999998815835E-1
   -8.644519112276E0  -9.999998803783E-1
   -8.633989825903E0  -9.999998791601E-1
   -8.623460539530E0  -9.999998779287E-1
   -8.612931253157E0  -9.999998766841E-1
   -8.602401966784E0  -9.999998754259E-1
   -8.591872680411E0  -9.999998741542E-1
   -8.581343394037E0  -9.999998728686E-1
   -8.570814107664E0  -9.999998715692E-1
   -8.560284821291E0  -9.999998702556E-1
   -8.549755534918E0  -9.999998689278E-1
   -8.539226248545E0  -9.999998675856E-1
   -8.528696962172E0  -9.999998662288E-1
   -8.518167675799E0  -9.999998648572E-1
   -8.507638389426E0  -9.999998634707E-1
   -8.497109103053E0  -9.999998620691E-1
   -8.486579816680E0  -9.999998606523E-1
   -8.476050530307E0  -9.999998592200E-1
   -8.465521243934E0  -9.999998577720E-1
   -8.454991957561E0  -9.999998563083E-1
   -8.444462671188E0  -9.999998548286E-1
   -8.433933384815E0  -9.999998533327E-1
   -8.423404098442E0  -9.999998518204E-1
   -8.412874812069E0  -9.999998502916E-1
   -8.402345525696E0  -9.999998487460E-1
   -8.391816239323E0  -9.999998471835E-1
   -8.381286952950E0  -9.999998456039E-1
   -8.370757666576E0  -9.999998440069E-1
   -8.360228380203E0  -9.999998423924E-1
   -8.349699093830E0  -9.999998407601E-1
   -8.339169807457E0  -9.999998391099E-1
   -8.328640521084E0  -9.999998374415E-1
   -8.318111234711E0  -9.999998357548E-1
   -8.307581948338E0  -9.999998340495E-1
   -8.297052661965E0  -9.999998323254E-1
   -8.286523375592E0  -9.999998305822E-1
   -8.275994089219E0  -9.999998288198E-1
   -8.265464802846E0  -9.999998270379E-1
   -8.254935516473E0  -9.999998252364E-1
   -8.244406230100E0  -9.999998234148E-1
   -8.233876943727E0  -9.999998215732E-1
   -8.223347657354E0  -9.999998197111E-1
   -8.212818370981E0  -9.999998178284E-1
   -8.202289084608E0  -9.999998159248E-1
   -8.191759798235E0  -9.999998140000E-1
   -8.181230511862E0  -9.999998120539E-1
   -8.170701225488E0  -9.999998100861E-1
   -8.160171939115E0  -9.999998080965E-1
   -8.149642652742E0  -9.999998060847E-1
   -8.139113366369E0  -9.999998040505E-1
   -8.128584079996E0  -9.999998019936E-1
   -8.118054793623E0  -9.999997999138E-1
   -8.107525507250E0  -9.999997978107E-1
   -8.096996220877E0  -9.999997956842E-1
   -8.086466934504E0  -9.999997935339E-1
   -8.075937648131E0  -9.999997913595E-1
   -8.065408361758E0  -9.999997891608E-1
   -8.054879075385E0  -9.999997869375E-1
   -8.044349789012E0  -9.999997846892E-1
   -8.033820502639E0  -9.999997824157E-1
   -8.023291216266E0  -9.999997801167E-1
   -8.012761929893E0  -9.999997777919E-1
   -8.002232643520E0  -9.999997754410E-1
   -7.991703357147E0  -9.999997730636E-1
   -7.981174070774E0  -9.999997706594E-1
   -7.970644784400E0  -9.999997682282E-1
   -7.960115498027E0  -9.999997657695E-1
   -7.949586211654E0  -9.999997632832E-1
   -7.939056925281E0  -9.999997607687E-1
   -7.928527638908E0  -9.999997582259E-1
   -7.917998352535E0  -9.999997556543E-1
   -7.907469066162E0  -9.999997530536E-1
   -7.896939779789E0  -9.999997504235E-1
   -7.886410493416E0  -9.999997477636E-1
   -7.875881207043E0  -9.999997450735E-1
   -7.865351920670E0  -9.999997423529E-1
