#             E [au]      sigma_0 [au^2]
  2.220446049250E-16    3.904412910314E0
  3.100382477730E-16    3.904412910315E0
  4.329027274254E-16    3.904412910315E0
  6.044569428401E-16    3.904412910315E0
  8.439960587001E-16    3.904412910315E0
  1.178461684557E-15    3.904412910314E0
  1.645472070222E-15    3.904412910314E0
  2.297553131647E-15    3.904412910314E0
  3.208046182170E-15    3.904412910313E0
  4.479356827565E-15    3.904412910314E0
  6.254472800350E-15    3.904412910314E0
  8.733046175200E-15    3.904412910313E0
  1.219384877554E-14    3.904412910312E0
  1.702612639137E-14    3.904412910312E0
  2.377337830174E-14    3.904412910311E0
  3.319448610248E-14    3.904412910309E0
  4.634906716339E-14    3.904412910308E0
  6.471665264779E-14    3.904412910305E0
  9.036309436758E-14    3.904412910300E0
  1.261729167008E-13    3.904412910295E0
  1.761737468178E-13    3.904412910287E0
  2.459893127574E-13    3.904412910276E0
  3.434719592666E-13    3.904412910261E0
  4.795858221645E-13    3.904412910241E0
  6.696399942294E-13    3.904412910210E0
  9.350103800976E-13    3.904412910170E0
  1.305543901834E-12    3.904412910112E0
  1.822915462648E-12    3.904412910032E0
  2.545315235506E-12    3.904412909919E0
  3.553993468621E-12    3.904412909763E0
  4.962398919712E-12    3.904412909544E0
  6.928938743355E-12    3.904412909239E0
  9.674794970323E-12    3.904412908813E0
  1.350880144633E-11    3.904412908218E0
  1.886217920651E-11    3.904412907387E0
  2.633703706668E-11    3.904412906227E0
  3.677409242364E-11    3.904412904608E0
  5.134722900526E-11    3.904412902346E0
  7.169552673510E-11    3.904412899188E0
  1.001076134663E-10    3.904412894778E0
  1.397790731205E-10    3.904412895045E0
  1.951718616187E-10    3.904412932579E0
  2.725161550819E-10    3.904412920576E0
  3.805110745202E-10    3.904412903816E0
  5.313030994033E-10    3.904412893391E0
  7.418522149230E-10    3.904412867289E0
   1.035839447209E-9    3.904412874494E0
   1.446330332120E-9    3.904412867607E0
   2.019493885127E-9    3.904412906568E0
   2.819795354831E-9    3.904412874011E0
   3.937246803116E-9    3.904412838369E0
   5.497531004188E-9    3.904412853918E0
   7.676137324712E-9    3.904412866536E0
   1.071809948556E-8    3.904412826469E0
   1.496555516438E-8    3.904412764039E0
   2.089622714176E-8    3.904412712593E0
   2.917715406904E-8    3.904412631870E0
   4.073971410214E-8    3.904412522256E0
   5.688437951133E-8    3.904412350808E0
   7.942698430030E-8    3.904412139442E0
   1.109029559474E-7    3.904411800136E0
   1.548524817632E-7    3.904411399098E0
   2.162186832928E-7    3.904410760463E0
   3.019035825100E-7    3.904409938482E0
   4.215443908191E-7    3.904408741979E0
   5.885974321790E-7    3.904407041859E0
   8.218516121032E-7    3.904404750935E0
   1.147541656470E-6    3.904401532667E0
   1.602298801804E-6    3.904397033288E0
   2.237270809114E-6    3.904390749409E0
   3.123874690338E-6    3.904381933952E0
   4.361829172034E-6    3.904369652775E0
   6.090370329147E-6    3.904352498285E0
   8.503911841383E-6    3.904328585767E0
   1.187391122342E-5    3.904295171280E0
   1.657940138272E-5    3.904248506980E0
   2.314962147159E-5    3.904183345417E0
   3.232354184009E-5    3.904092313267E0
   4.513297802170E-5    3.903965291698E0
   6.301864180554E-5    3.903787960115E0
   8.799218197181E-5    3.903540387713E0
   1.228624398484E-4    3.903194637815E0
   1.715513672605E-4    3.902712079226E0
   2.395351390162E-4    3.902038342327E0
   3.344600730367E-4    3.901097985611E0
   4.670026323285E-4    3.899785614072E0
   6.520702355338E-4    3.897954328875E0
   9.104779344586E-4    3.895399616330E0
   1.271289539013E-3    3.891837049395E0
   1.775086502196E-3    3.886871526909E0
   2.478532225415E-3    3.879955288832E0
   3.460745143868E-3    3.870331423031E0
   4.832197390052E-3    3.856958055897E0
   6.747139892053E-3    3.838409447748E0
   9.420951390904E-3    3.812749860507E0
   1.315436266770E-2    3.777381420335E0
   1.836728054456E-2    3.728872925798E0
   2.564601593591E-2    3.662796309606E0
   3.580922781624E-2    3.573624514909E0
   5.000000000000E-2    3.454792566167E0
