#             E [au]      sigma_0 [au^2]      sigma_1 [au^2]      sigma_2 [au^2]      sigma_3 [au^2]    sigma_tot [au^2]
    1.720000000000E1   2.888786086041E-3   6.938396406458E-3   1.014270397061E-2   1.587782640519E-2   3.584771286830E-2
    1.725000000000E1   2.865706357197E-3   6.920791538362E-3   1.005824362991E-2   1.581088378178E-2   3.565562530725E-2
    1.730000000000E1   2.842801978056E-3   6.903322797792E-3   9.974908357692E-3   1.574352537462E-2   3.546455850816E-2
    1.735000000000E1   2.820073356854E-3   6.885983036860E-3   9.892687093332E-3   1.567576657427E-2   3.527451006132E-2
    1.740000000000E1   2.797520866431E-3   6.868765270933E-3   9.811568783635E-3   1.560762263184E-2   3.508547755284E-2
    1.745000000000E1   2.775144836604E-3   6.851662677718E-3   9.731542391131E-3   1.553910865371E-2   3.489745855916E-2
    1.750000000000E1   2.752945559803E-3   6.834668596323E-3   9.652596895202E-3   1.547023961029E-2   3.471045066162E-2
    1.755000000000E1   2.730923270467E-3   6.817776525159E-3   9.574721293047E-3   1.540103031952E-2   3.452445140820E-2
    1.760000000000E1   2.709078164705E-3   6.800980117818E-3   9.497904610258E-3   1.533149545780E-2   3.433945835058E-2
    1.765000000000E1   2.687410405783E-3   6.784273182868E-3   9.422135893287E-3   1.526164955293E-2   3.415546903487E-2
    1.770000000000E1   2.665920117738E-3   6.767649679242E-3   9.347404218551E-3   1.519150698191E-2   3.397248099744E-2
    1.775000000000E1   2.644607384301E-3   6.751103720231E-3   9.273698695627E-3   1.512108196763E-2   3.379049176779E-2
    1.780000000000E1   2.623472252087E-3   6.734629565378E-3   9.201008465470E-3   1.505038858037E-2   3.360949886331E-2
    1.785000000000E1   2.602514720327E-3   6.718221620182E-3   9.129322705281E-3   1.497944073985E-2   3.342949978564E-2
    1.790000000000E1   2.581734753256E-3   6.701874436276E-3   9.058630635185E-3   1.490825220369E-2   3.325049202841E-2
    1.795000000000E1   2.561132284944E-3   6.685582708955E-3   8.988921511754E-3   1.483683657819E-2   3.307247308385E-2
    1.800000000000E1   2.540707213972E-3   6.669341271884E-3   8.920184635251E-3   1.476520730722E-2   3.289544042833E-2
    1.805000000000E1   2.520459409495E-3   6.653145099780E-3   8.852409351092E-3   1.469337767464E-2   3.271939153500E-2
    1.810000000000E1   2.500388685284E-3   6.636989305618E-3   8.785585053902E-3   1.462136080747E-2   3.254432385228E-2
    1.815000000000E1   2.480494845064E-3   6.620869136569E-3   8.719701184601E-3   1.454916966826E-2   3.237023483450E-2
    1.820000000000E1   2.460777636356E-3   6.604779974045E-3   8.654747238440E-3   1.447681705886E-2   3.219712190770E-2
    1.825000000000E1   2.441236795348E-3   6.588717331620E-3   8.590712757821E-3   1.440431561850E-2   3.202498250329E-2
    1.830000000000E1   2.421872020748E-3   6.572676853836E-3   8.527587343443E-3   1.433167782195E-2   3.185381403997E-2
    1.835000000000E1   2.402682980875E-3   6.556654313848E-3   8.465360650271E-3   1.425891597870E-2   3.168361392369E-2
    1.840000000000E1   2.383669306581E-3   6.540645611530E-3   8.404022388515E-3   1.418604223330E-2   3.151437953992E-2
    1.845000000000E1   2.364830599580E-3   6.524646772141E-3   8.343562333100E-3   1.411306856880E-2   3.134610827362E-2
    1.850000000000E1   2.346166437917E-3   6.508653945075E-3   8.283970312495E-3   1.404000679937E-2   3.117879749486E-2
    1.855000000000E1   2.327676380486E-3   6.492663400962E-3   8.225236217129E-3   1.396686857282E-2   3.101244457139E-2
    1.860000000000E1   2.309359944951E-3   6.476671531900E-3   8.167350002628E-3   1.389366537493E-2   3.084704685441E-2
    1.865000000000E1   2.291216632064E-3   6.460674847162E-3   8.110301685186E-3   1.382040851743E-2   3.068260168184E-2
    1.870000000000E1   2.273245906395E-3   6.444669975177E-3   8.054081345556E-3   1.374710915105E-2   3.051910637818E-2
    1.875000000000E1   2.255447206652E-3   6.428653658340E-3   7.998679134621E-3   1.367377826066E-2   3.035655826027E-2
    1.880000000000E1   2.237819959200E-3   6.412622753570E-3   7.944085262641E-3   1.360042666215E-2   3.019495463756E-2
    1.885000000000E1   2.220363562559E-3   6.396574229606E-3   7.890290011437E-3   1.352706500440E-2   3.003429280801E-2
    1.890000000000E1   2.203077391742E-3   6.380505167090E-3   7.837283727883E-3   1.345370377046E-2   2.987457005717E-2
    1.895000000000E1   2.185960792811E-3   6.364412754160E-3   7.785056829515E-3   1.338035327665E-2   2.971578365313E-2
    1.900000000000E1   2.169013087481E-3   6.348294287208E-3   7.733599805171E-3   1.330702367512E-2   2.955793085498E-2
    1.905000000000E1   2.152233589684E-3   6.332147169458E-3   7.682903211279E-3   1.323372495057E-2   2.940100892099E-2
    1.910000000000E1   2.135621587975E-3   6.315968907954E-3   7.632957673717E-3   1.316046692228E-2   2.924501509193E-2
    1.915000000000E1   2.119176346589E-3   6.299757111447E-3   7.583753891040E-3   1.308725924377E-2   2.908994659284E-2
    1.920000000000E1   2.102897117226E-3   6.283509491613E-3   7.535282632976E-3   1.301411140386E-2   2.893580064568E-2
    1.925000000000E1   2.086783123583E-3   6.267223859832E-3   7.487534741024E-3   1.294103272890E-2   2.878257445334E-2
    1.930000000000E1   2.070833570031E-3   6.250898125815E-3   7.440501131899E-3   1.286803237842E-2   2.863026520617E-2
    1.935000000000E1   2.055047655567E-3   6.234530294635E-3   7.394172790028E-3   1.279511935497E-2   2.847887009520E-2
    1.940000000000E1   2.039424558157E-3   6.218118467684E-3   7.348540776829E-3   1.272230249021E-2   2.832838629288E-2
    1.945000000000E1   2.023963439045E-3   6.201660840802E-3   7.303596223461E-3   1.264959045882E-2   2.817881096213E-2
    1.950000000000E1   2.008663437910E-3   6.185155700684E-3   7.259330338297E-3   1.257699177238E-2   2.803014124927E-2
    1.955000000000E1   1.993523677495E-3   6.168601425525E-3   7.215734402132E-3   1.250451478434E-2   2.788237428949E-2
    1.960000000000E1   1.978543277817E-3   6.151996482535E-3   7.172799769378E-3   1.243216768640E-2   2.773550721613E-2
    1.965000000000E1   1.963721340815E-3   6.135339427282E-3   7.130517866063E-3   1.235995851239E-2   2.758953714655E-2
    1.970000000000E1   1.949056950561E-3   6.118628900125E-3   7.088880195145E-3   1.228789513718E-2   2.744446118301E-2
    1.975000000000E1   1.934549185118E-3   6.101863627695E-3   7.047878330553E-3   1.221598527752E-2   2.730027642089E-2
    1.980000000000E1   1.920197100855E-3   6.085042419483E-3   7.007503925170E-3   1.214423649550E-2   2.715697994100E-2
    1.985000000000E1   1.905999740123E-3   6.068164166989E-3   6.967748700520E-3   1.207265619693E-2   2.701456880457E-2
    1.990000000000E1   1.891956151685E-3   6.051227841854E-3   6.928604453706E-3   1.200125163596E-2   2.687304008320E-2
    1.995000000000E1   1.878065359289E-3   6.034232495132E-3   6.890063057239E-3   1.193002991016E-2   2.673239082182E-2
    2.000000000000E1   1.864326382890E-3   6.017177254427E-3   6.852116453799E-3   1.185899796327E-2   2.659261805438E-2
    2.005000000000E1   1.850738225448E-3   6.000061324504E-3   6.814756662040E-3   1.178816259262E-2   2.645371880462E-2
    2.010000000000E1   1.837299879283E-3   5.982883984524E-3   6.777975773910E-3   1.171753044128E-2   2.631569007900E-2
    2.015000000000E1   1.824010338237E-3   5.965644587205E-3   6.741765955054E-3   1.164710800598E-2   2.617852888648E-2
    2.020000000000E1   1.810868584383E-3   5.948342555521E-3   6.706119440197E-3   1.157690163438E-2   2.604223221448E-2
    2.025000000000E1   1.797873587675E-3   5.930977385074E-3   6.671028540219E-3   1.150691752739E-2   2.590679704036E-2
    2.030000000000E1   1.785024316735E-3   5.913548638847E-3   6.636485636083E-3   1.143716173773E-2   2.577222032939E-2
    2.035000000000E1   1.772319723422E-3   5.896055947860E-3   6.602483183091E-3   1.136764017894E-2   2.563849903331E-2
    2.040000000000E1   1.759758757032E-3   5.878499010062E-3   6.569013707985E-3   1.129835861909E-2   2.550563009417E-2
    2.045000000000E1   1.747340367490E-3   5.860877587871E-3   6.536069806022E-3   1.122932268416E-2   2.537361044554E-2
    2.050000000000E1   1.735063491839E-3   5.843191505698E-3   6.503644147204E-3   1.116053785670E-2   2.524243700144E-2
    2.055000000000E1   1.722927067146E-3   5.825440652616E-3   6.471729469182E-3   1.109200948606E-2   2.511210667500E-2
    2.060000000000E1   1.710930017998E-3   5.807624976557E-3   6.440318580934E-3   1.102374277722E-2   2.498261635271E-2
    2.065000000000E1   1.699071263303E-3   5.789744485597E-3   6.409404363597E-3   1.095574280416E-2   2.485396291666E-2
    2.070000000000E1   1.687349728015E-3   5.771799246226E-3   6.378979765680E-3   1.088801450184E-2   2.472614324176E-2
    2.075000000000E1   1.675764328966E-3   5.753789380868E-3   6.349037803389E-3   1.082056267215E-2   2.459915418538E-2
    2.080000000000E1   1.664313977410E-3   5.735715066165E-3   6.319571565087E-3   1.075339198535E-2   2.447299259401E-2
    2.085000000000E1   1.652997585095E-3   5.717576536928E-3   6.290574203706E-3   1.068650697686E-2   2.434765530259E-2
    2.090000000000E1   1.641814053271E-3   5.699374075416E-3   6.262038943701E-3   1.061991205734E-2   2.422313912973E-2
    2.095000000000E1   1.630762284574E-3   5.681108020464E-3   6.233959075841E-3   1.055361150546E-2   2.409944088634E-2
    2.100000000000E1   1.619841185081E-3   5.662778757568E-3   6.206327954992E-3   1.048760947601E-2   2.397655737365E-2
    2.105000000000E1   1.609049653256E-3   5.644386721359E-3   6.179139006594E-3   1.042190999406E-2   2.385448537527E-2
    2.110000000000E1   1.598386590637E-3   5.625932395990E-3   6.152385717163E-3   1.035651696302E-2   2.373322166681E-2
    2.115000000000E1   1.587850890783E-3   5.607416310249E-3   6.126061643803E-3   1.029143416298E-2   2.361276300781E-2
    2.120000000000E1   1.577441443935E-3   5.588839039201E-3   6.100160405912E-3   1.022666525262E-2   2.349310614166E-2
