#             E [au]         delta_0 [1]         delta_1 [1]         delta_2 [1]         delta_3 [1]
    0.000000000000E0   -0.000000000000E0                 NaN                 NaN                 NaN
   5.000000000000E-2   1.665775190130E-1   7.687715276137E-4   2.079282916834E-6   3.243029912264E-9
   1.000000000000E-1   2.233377882248E-1   2.150663553868E-3   1.163778759363E-5   3.636350063563E-8
   1.500000000000E-1   2.600305380513E-1   3.907061467538E-3   3.173111946273E-5   1.489682777623E-7
   2.000000000000E-1   2.861121149184E-1   5.947181201280E-3   6.445007517743E-5   4.040981917364E-7
   2.500000000000E-1   3.054436182852E-1   8.215656513540E-3   1.114021151064E-4   8.745373218032E-7
   3.000000000000E-1   3.200761777789E-1   1.067320534868E-2   1.738780445127E-4   1.640657795110E-6
   3.500000000000E-1   3.312552944984E-1   1.328959808330E-2   2.529371285910E-4   2.788919668304E-6
   4.000000000000E-1   3.398019488258E-1   1.604036057278E-2   3.494583679374E-4   4.410735446929E-6
   4.500000000000E-1   3.462883633876E-1   1.890498629577E-2   4.641745801786E-4   6.601566724476E-6
   5.000000000000E-1   3.511299100674E-1   2.186586875697E-2   5.976966034066E-4   9.460180130020E-6
   5.500000000000E-1   3.546375983666E-1   2.490761804320E-2   7.505313212933E-4   1.308802133130E-5
   6.000000000000E-1   3.570500800286E-1   2.801659971594E-2   9.230955955806E-4   1.758867757546E-5
   6.500000000000E-1   3.585541719034E-1   3.118061045601E-2   1.115727330000E-3   2.306741000234E-5
   7.000000000000E-1   3.592985600217E-1   3.438864195777E-2   1.328694471213E-3   2.963074371466E-5
   7.500000000000E-1   3.594032530799E-1   3.763070416309E-2   1.562202466585E-3   3.738610550410E-5
   8.000000000000E-1   3.589662872493E-1   4.089768937363E-2   1.816400524271E-3   4.644149800663E-5
   8.500000000000E-1   3.580685911123E-1   4.418126575323E-2   2.091387000157E-3   5.690521071188E-5
   9.000000000000E-1   3.567775859374E-1   4.747379194802E-2   2.387213990626E-3   6.888555713206E-5
   9.500000000000E-1   3.551498977028E-1   5.076824770923E-2   2.703891365107E-3   8.249064159859E-5
    1.000000000000E0   3.532334312201E-1   5.405817614467E-2   3.041390310797E-3   9.782814067877E-5
    1.050000000000E0   3.510689756446E-1   5.733763533263E-2   3.399646493073E-3   1.150051104551E-4
    1.100000000000E0   3.486914645027E-1   6.060115692221E-2   3.778562829750E-3   1.341278109785E-4
    1.150000000000E0   3.461309759092E-1   6.384371035641E-2   4.178012034641E-3   1.553015418164E-4
    1.200000000000E0   3.434135307170E-1   6.706067148096E-2   4.597838876794E-3   1.786304979322E-4
    1.250000000000E0   3.405617385571E-1   7.024779478320E-2   5.037862264884E-3   2.042176293773E-4
    1.300000000000E0   3.375953232165E-1   7.340118846606E-2   5.497877138666E-3   2.321645257449E-4
    1.350000000000E0   3.345315535371E-1   7.651729203259E-2   5.977656197630E-3   2.625712962833E-4
    1.400000000000E0   3.313856000136E-1   7.959285562774E-2   6.476951503217E-3   2.955364709745E-4
    1.450000000000E0   3.281708299883E-1   8.262492118781E-2   6.995495924510E-3   3.311569060199E-4
    1.500000000000E0   3.248990549531E-1   8.561080517567E-2   7.533004563939E-3   3.695276974856E-4
    1.550000000000E0   3.215807385921E-1   8.854808210987E-2   8.089176009049E-3   4.107421044403E-4
    1.600000000000E0   3.182251723074E-1   9.143456950440E-2   8.663693499107E-3   4.548914704113E-4
    1.650000000000E0   3.148406230036E-1   9.426831354823E-2   9.256226094519E-3   5.020651732528E-4
    1.700000000000E0   3.114344620491E-1   9.704757573240E-2   9.866429646839E-3   5.523505461200E-4
    1.750000000000E0   3.080132726550E-1   9.977082008595E-2   1.049394789393E-2   6.058328403404E-4
    1.800000000000E0   3.045829435827E-1   1.024367012003E-1   1.113841329809E-2   6.625951746531E-4
    1.850000000000E0   3.011487503596E-1   1.050440527686E-1   1.179944796608E-2   7.227184905598E-4
    1.900000000000E0   2.977154233718E-1   1.075918767827E-1   1.247666451233E-2   7.862814946058E-4
    1.950000000000E0   2.942872105596E-1   1.100793331564E-1   1.316966681840E-2   8.533606600591E-4
    2.000000000000E0   2.908679289989E-1   1.125057299342E-1   1.387805076860E-2   9.240301700010E-4
    2.050000000000E0   2.874610112606E-1   1.148705140192E-1   1.460140502881E-2   9.983618913251E-4
    2.100000000000E0   2.840695460958E-1   1.171732621053E-1   1.533931169242E-2   1.076425372293E-3
    2.150000000000E0   2.806963138567E-1   1.194136723220E-1   1.609134697187E-2   1.158287773728E-3
    2.200000000000E0   2.773438170075E-1   1.215915561019E-1   1.685708179966E-2   1.244013926049E-3
    2.250000000000E0   2.740143093244E-1   1.237068305164E-1   1.763608242182E-2   1.333666251931E-3
    2.300000000000E0   2.707098191974E-1   1.257595109114E-1   1.842791101264E-2   1.427304769203E-3
    2.350000000000E0   2.674321719970E-1   1.277497040384E-1   1.923212617030E-2   1.524987097083E-3
    2.400000000000E0   2.641830089884E-1   1.296776013365E-1   2.004828353697E-2   1.626768443904E-3
    2.450000000000E0   2.609638040728E-1   1.315434727227E-1   2.087593625219E-2   1.732701588236E-3
    2.500000000000E0   2.577758804384E-1   1.333476606085E-1   2.171463543234E-2   1.842836904419E-3
    2.550000000000E0   2.546204233161E-1   1.350905742115E-1   2.256393068387E-2   1.957222319673E-3
    2.600000000000E0   2.514984923154E-1   1.367726842882E-1   2.342337053314E-2   2.075903360160E-3
    2.650000000000E0   2.484110335156E-1   1.383945179891E-1   2.429250286018E-2   2.198923129835E-3
    2.700000000000E0   2.453588876316E-1   1.399566540743E-1   2.517087536827E-2   2.326322325319E-3
    2.750000000000E0   2.423427999584E-1   1.414597183883E-1   2.605803593852E-2   2.458139218156E-3
    2.800000000000E0   2.393634288753E-1   1.429043795898E-1   2.695353301065E-2   2.594409704271E-3
    2.850000000000E0   2.364213523199E-1   1.442913451221E-1   2.785691602346E-2   2.735167272483E-3
    2.900000000000E0   2.335170750610E-1   1.456213573944E-1   2.876773570360E-2   2.880443058656E-3
