#             R [au]        psi_0 [a.u.]        psi_1 [a.u.]
   6.800226674222E-2   4.150450363234E-3   1.485883438952E-2
   6.866895563185E-2   4.272963396040E-3   1.529349781988E-2
   6.933564452148E-2   4.397841257498E-3   1.573635811709E-2
   7.000233341111E-2   4.525105458642E-3   1.618748231442E-2
   7.066902230074E-2   4.654777468958E-3   1.664693709074E-2
   7.133571119037E-2   4.786878716006E-3   1.711478876752E-2
   7.200240008000E-2   4.921430585039E-3   1.759110330592E-2
   7.266908896963E-2   5.058454418630E-3   1.807594630383E-2
   7.333577785926E-2   5.197971516292E-3   1.856938299291E-2
   7.400246674889E-2   5.340003134101E-3   1.907147823573E-2
   7.466915563852E-2   5.484570484325E-3   1.958229652284E-2
   7.533584452815E-2   5.631694735044E-3   2.010190196987E-2
   7.600253341778E-2   5.781397009779E-3   2.063035831467E-2
   7.666922230741E-2   5.933698387115E-3   2.116772891445E-2
   7.733591119704E-2   6.088619900333E-3   2.171407674290E-2
   7.800260008667E-2   6.246182537033E-3   2.226946438739E-2
   7.866928897630E-2   6.406407238762E-3   2.283395404614E-2
   7.933597786593E-2   6.569314900647E-3   2.340760752538E-2
   8.000266675556E-2   6.734926371022E-3   2.399048623658E-2
   8.066935564519E-2   6.903262451058E-3   2.458265119366E-2
   8.133604453482E-2   7.074343894392E-3   2.518416301023E-2
   8.200273342445E-2   7.248191406764E-3   2.579508189681E-2
   8.266942231408E-2   7.424825645644E-3   2.641546765814E-2
   8.333611120371E-2   7.604267219867E-3   2.704537969037E-2
   8.400280009334E-2   7.786536689267E-3   2.768487697843E-2
   8.466948898297E-2   7.971654564309E-3   2.833401809329E-2
   8.533617787260E-2   8.159641305727E-3   2.899286118927E-2
   8.600286676223E-2   8.350517324158E-3   2.966146400140E-2
   8.666955565186E-2   8.544302979779E-3   3.033988384273E-2
   8.733624454148E-2   8.741018581943E-3   3.102817760173E-2
   8.800293343111E-2   8.940684388817E-3   3.172640173962E-2
   8.866962232074E-2   9.143320607023E-3   3.243461228779E-2
   8.933631121037E-2   9.348947391274E-3   3.315286484520E-2
   9.000300010000E-2   9.557584844016E-3   3.388121457577E-2
   9.066968898963E-2   9.769253015068E-3   3.461971620587E-2
   9.133637787926E-2   9.983971901262E-3   3.536842402171E-2
   9.200306676889E-2   1.020176144609E-2   3.612739186684E-2
   9.266975565852E-2   1.042264153934E-2   3.689667313964E-2
   9.333644454815E-2   1.064663201675E-2   3.767632079076E-2
   9.400313343778E-2   1.087375265964E-2   3.846638732070E-2
   9.466982232741E-2   1.110402319457E-2   3.926692477729E-2
   9.533651121704E-2   1.133746329296E-2   4.007798475325E-2
   9.600320010667E-2   1.157409257079E-2   4.089961838376E-2
   9.666988899630E-2   1.181393058819E-2   4.173187634398E-2
   9.733657788593E-2   1.205699684911E-2   4.257480884674E-2
   9.800326677556E-2   1.230331080099E-2   4.342846564002E-2
   9.866995566519E-2   1.255289183438E-2   4.429289600470E-2
   9.933664455482E-2   1.280575928261E-2   4.516814875210E-2
   1.000033334444E-1   1.306193242142E-2   4.605427222168E-2
   1.006700223341E-1   1.332143046863E-2   4.695131427871E-2
   1.013367112237E-1   1.358427258381E-2   4.785932231195E-2
   1.020034001133E-1   1.385047786790E-2   4.877834323137E-2
   1.026700890030E-1   1.412006536287E-2   4.970842346584E-2
   1.033367778926E-1   1.439305405140E-2   5.064960896089E-2
   1.040034667822E-1   1.466946285651E-2   5.160194517647E-2
   1.046701556719E-1   1.494931064124E-2   5.256547708471E-2
   1.053368445615E-1   1.523261620830E-2   5.354024916771E-2
   1.060035334511E-1   1.551939829971E-2   5.452630541536E-2
   1.066702223407E-1   1.580967559648E-2   5.552368932314E-2
   1.073369112304E-1   1.610346671829E-2   5.653244388996E-2
   1.080036001200E-1   1.640079022310E-2   5.755261161607E-2
   1.086702890096E-1   1.670166460685E-2   5.858423450086E-2
   1.093369778993E-1   1.700610830314E-2   5.962735404078E-2
   1.100036667889E-1   1.731413968284E-2   6.068201122731E-2
   1.106703556785E-1   1.762577705379E-2   6.174824654477E-2
   1.113370445682E-1   1.794103866047E-2   6.282609996837E-2
   1.120037334578E-1   1.825994268366E-2   6.391561096213E-2
   1.126704223474E-1   1.858250724010E-2   6.501681847686E-2
   1.133371112370E-1   1.890875038218E-2   6.612976094816E-2
   1.140038001267E-1   1.923869009756E-2   6.725447629444E-2
   1.146704890163E-1   1.957234430891E-2   6.839100191497E-2
   1.153371779059E-1   1.990973087355E-2   6.953937468790E-2
   1.160038667956E-1   2.025086758309E-2   7.069963096837E-2
   1.166705556852E-1   2.059577216316E-2   7.187180658656E-2
   1.173372445748E-1   2.094446227306E-2   7.305593684584E-2
   1.180039334644E-1   2.129695550541E-2   7.425205652084E-2
   1.186706223541E-1   2.165326938586E-2   7.546019985567E-2
   1.193373112437E-1   2.201342137278E-2   7.668040056202E-2
   1.200040001333E-1   2.237742885689E-2   7.791269181736E-2
   1.206706890230E-1   2.274530916098E-2   7.915710626316E-2
   1.213373779126E-1   2.311707953955E-2   8.041367600308E-2
   1.220040668022E-1   2.349275717856E-2   8.168243260124E-2
   1.226707556919E-1   2.387235919502E-2   8.296340708044E-2
   1.233374445815E-1   2.425590263677E-2   8.425662992048E-2
   1.240041334711E-1   2.464340448207E-2   8.556213105640E-2
   1.246708223607E-1   2.503488163936E-2   8.687993987686E-2
   1.253375112504E-1   2.543035094691E-2   8.821008522242E-2
   1.260042001400E-1   2.582982917252E-2   8.955259538391E-2
   1.266708890296E-1   2.623333301318E-2   9.090749810080E-2
   1.273375779193E-1   2.664087909482E-2   9.227482055961E-2
   1.280042668089E-1   2.705248397192E-2   9.365458939229E-2
   1.286709556985E-1   2.746816412727E-2   9.504683067468E-2
   1.293376445882E-1   2.788793597162E-2   9.645156992492E-2
   1.300043334778E-1   2.831181584340E-2   9.786883210196E-2
   1.306710223674E-1   2.873982000839E-2   9.929864160404E-2
   1.313377112570E-1   2.917196465944E-2   1.007410222672E-1
   1.320044001467E-1   2.960826591614E-2   1.021959973637E-1
   1.326710890363E-1   3.004873982455E-2   1.036635896007E-1
   1.333377779259E-1   3.049340235685E-2   1.051438211190E-1
   1.340044668156E-1   3.094226941110E-2   1.066367134912E-1
   1.346711557052E-1   3.139535681089E-2   1.081422877205E-1
   1.353378445948E-1   3.185268030506E-2   1.096605642395E-1
   1.360045334844E-1   3.231425556742E-2   1.111915629086E-1
   1.366712223741E-1   3.278009819641E-2   1.127353030149E-1
   1.373379112637E-1   3.325022371486E-2   1.142918032705E-1
   1.380046001533E-1   3.372464756965E-2   1.158610818118E-1
   1.386712890430E-1   3.420338513145E-2   1.174431561976E-1
   1.393379779326E-1   3.468645169438E-2   1.190380434083E-1
   1.400046668222E-1   3.517386247578E-2   1.206457598445E-1
   1.406713557119E-1   3.566563261589E-2   1.222663213258E-1
   1.413380446015E-1   3.616177717755E-2   1.238997430895E-1
   1.420047334911E-1   3.666231114594E-2   1.255460397896E-1
   1.426714223807E-1   3.716724942826E-2   1.272052254958E-1
   1.433381112704E-1   3.767660685348E-2   1.288773136918E-1
   1.440048001600E-1   3.819039817203E-2   1.305623172748E-1
   1.446714890496E-1   3.870863805552E-2   1.322602485541E-1
   1.453381779393E-1   3.923134109648E-2   1.339711192501E-1
   1.460048668289E-1   3.975852180805E-2   1.356949404932E-1
   1.466715557185E-1   4.029019462372E-2   1.374317228228E-1
   1.473382446082E-1   4.082637389703E-2   1.391814761866E-1
   1.480049334978E-1   4.136707390132E-2   1.409442099389E-1
   1.486716223874E-1   4.191230882944E-2   1.427199328405E-1
   1.493383112770E-1   4.246209279347E-2   1.445086530571E-1
   1.500050001667E-1   4.301643982446E-2   1.463103781585E-1
   1.506716890563E-1   4.357536387212E-2   1.481251151182E-1
   1.513383779459E-1   4.413887880460E-2   1.499528703117E-1
   1.520050668356E-1   4.470699840820E-2   1.517936495165E-1
   1.526717557252E-1   4.527973638709E-2   1.536474579104E-1
   1.533384446148E-1   4.585710636302E-2   1.555143000715E-1
   1.540051335045E-1   4.643912187513E-2   1.573941799769E-1
   1.546718223941E-1   4.702579637960E-2   1.592871010019E-1
   1.553385112837E-1   4.761714324943E-2   1.611930659197E-1
   1.560052001733E-1   4.821317577415E-2   1.631120769002E-1
   1.566718890630E-1   4.881390715961E-2   1.650441355094E-1
   1.573385779526E-1   4.941935052764E-2   1.669892427089E-1
   1.580052668422E-1   5.002951891587E-2   1.689473988552E-1
   1.586719557319E-1   5.064442527741E-2   1.709186036988E-1
   1.593386446215E-1   5.126408248063E-2   1.729028563838E-1
   1.600053335111E-1   5.188850330887E-2   1.749001554472E-1
   1.606720224007E-1   5.251770046022E-2   1.769104988185E-1
   1.613387112904E-1   5.315168654726E-2   1.789338838189E-1
   1.620054001800E-1   5.379047409678E-2   1.809703071609E-1
   1.626720890696E-1   5.443407554955E-2   1.830197649478E-1
   1.633387779593E-1   5.508250326008E-2   1.850822526730E-1
