#             R [au]        psi_0 [a.u.]        psi_1 [a.u.]        psi_2 [a.u.]
    0.000000000000E0    0.000000000000E0    0.000000000000E0    0.000000000000E0
   6.666888896297E-4   2.560150955513E-3   5.058217811728E-3   7.296247957071E-3
   1.333377779259E-3   5.120292648043E-3   1.011636307117E-2   1.459226570680E-2
   2.000066668889E-3   7.680415814644E-3   1.517436322708E-2   2.188782304910E-2
   2.666755558519E-3   1.024051119243E-2   2.023214573028E-2   2.918268979842E-2
   3.333444448148E-3   1.280056951863E-2   2.528963803475E-2   3.647663579099E-2
   4.000133337778E-3   1.536058153059E-2   3.034676759859E-2   4.376943089210E-2
   4.666822227408E-3   1.792053796583E-2   3.540346188513E-2   5.106084500335E-2
   5.333511117037E-3   2.048042956208E-2   4.045964836393E-2   5.835064806991E-2
   6.000200006667E-3   2.304024705729E-2   4.551525451184E-2   6.563861008778E-2
   6.666888896297E-3   2.559998118969E-2   5.057020781404E-2   7.292450111104E-2
   7.333577785926E-3   2.815962269779E-2   5.562443576507E-2   8.020809125914E-2
   8.000266675556E-3   3.071916232047E-2   6.067786586985E-2   8.748915072409E-2
   8.666955565186E-3   3.327859079696E-2   6.573042564478E-2   9.476744977777E-2
   9.333644454815E-3   3.583789886688E-2   7.078204261873E-2   1.020427587792E-1
   1.000033334444E-2   3.839707727031E-2   7.583264433409E-2   1.093148481816E-1
   1.066702223407E-2   4.095611674778E-2   8.088215834781E-2   1.165834885399E-1
   1.133371112370E-2   4.351500804033E-2   8.593051223245E-2   1.238484505178E-1
   1.200040001333E-2   4.607374188954E-2   9.097763357720E-2   1.311095048951E-1
   1.266708890296E-2   4.863230903755E-2   9.602344998893E-2   1.383664225749E-1
   1.333377779259E-2   5.119070022711E-2   1.010678890932E-1   1.456189745907E-1
   1.400046668222E-2   5.374890620161E-2   1.061108785355E-1   1.528669321139E-1
   1.466715557185E-2   5.630691770510E-2   1.111523459818E-1   1.601100664607E-1
   1.533384446148E-2   5.886472548235E-2   1.161922191201E-1   1.673481490997E-1
   1.600053335111E-2   6.142232027884E-2   1.212304256613E-1   1.745809516587E-1
   1.666722224074E-2   6.397969284085E-2   1.262668933402E-1   1.818082459321E-1
   1.733391113037E-2   6.653683391544E-2   1.313015499163E-1   1.890298038881E-1
   1.800060002000E-2   6.909373425052E-2   1.363343231754E-1   1.962453976761E-1
   1.866728890963E-2   7.165038459488E-2   1.413651409301E-1   2.034547996334E-1
   1.933397779926E-2   7.420677569820E-2   1.463939310212E-1   2.106577822928E-1
   2.000066668889E-2   7.676289831110E-2   1.514206213185E-1   2.178541183897E-1
   2.066735557852E-2   7.931874318517E-2   1.564451397219E-1   2.250435808689E-1
   2.133404446815E-2   8.187430107301E-2   1.614674141624E-1   2.322259428925E-1
   2.200073335778E-2   8.442956272826E-2   1.664873726034E-1   2.394009778463E-1
   2.266742224741E-2   8.698451890562E-2   1.715049430413E-1   2.465684593475E-1
   2.333411113704E-2   8.953916036091E-2   1.765200535069E-1   2.537281612515E-1
   2.400080002667E-2   9.209347785109E-2   1.815326320661E-1   2.608798576592E-1
   2.466748891630E-2   9.464746213427E-2   1.865426068214E-1   2.680233229239E-1
   2.533417780593E-2   9.720110396979E-2   1.915499059124E-1   2.751583316590E-1
   2.600086669556E-2   9.975439411822E-2   1.965544575171E-1   2.822846587444E-1
   2.666755558519E-2   1.023073233414E-1   2.015561898531E-1   2.894020793340E-1
   2.733424447482E-2   1.048598824025E-1   2.065550311782E-1   2.965103688628E-1
   2.800093336445E-2   1.074120620659E-1   2.115509097918E-1   3.036093030536E-1
   2.866762225408E-2   1.099638530976E-1   2.165437540359E-1   3.106986579249E-1
   2.933431114370E-2   1.125152462648E-1   2.215334922957E-1   3.177782097969E-1
   3.000100003333E-2   1.150662323362E-1   2.265200530013E-1   3.248477352994E-1
   3.066768892296E-2   1.176168020820E-1   2.315033646281E-1   3.319070113785E-1
   3.133437781259E-2   1.201669462739E-1   2.364833556983E-1   3.389558153037E-1
   3.200106670222E-2   1.227166556851E-1   2.414599547816E-1   3.459939246748E-1
   3.266775559185E-2   1.252659210904E-1   2.464330904965E-1   3.530211174292E-1
   3.333444448148E-2   1.278147332661E-1   2.514026915110E-1   3.600371718485E-1
   3.400113337111E-2   1.303630829905E-1   2.563686865439E-1   3.670418665661E-1
   3.466782226074E-2   1.329109610430E-1   2.613310043657E-1   3.740349805734E-1
   3.533451115037E-2   1.354583582053E-1   2.662895737997E-1   3.810162932274E-1
   3.600120004000E-2   1.380052652604E-1   2.712443237229E-1   3.879855842574E-1
   3.666788892963E-2   1.405516729933E-1   2.761951830670E-1   3.949426337722E-1
   3.733457781926E-2   1.430975721907E-1   2.811420808197E-1   4.018872222665E-1
   3.800126670889E-2   1.456429536413E-1   2.860849460255E-1   4.088191306284E-1
   3.866795559852E-2   1.481878081353E-1   2.910237077865E-1   4.157381401459E-1
   3.933464448815E-2   1.507321264654E-1   2.959582952639E-1   4.226440325142E-1
   4.000133337778E-2   1.532758994256E-1   3.008886376787E-1   4.295365898423E-1
   4.066802226741E-2   1.558191178124E-1   3.058146643128E-1   4.364155946597E-1
   4.133471115704E-2   1.583617724240E-1   3.107363045099E-1   4.432808299238E-1
   4.200140004667E-2   1.609038540606E-1   3.156534876769E-1   4.501320790264E-1
   4.266808893630E-2   1.634453535248E-1   3.205661432842E-1   4.569691258004E-1
   4.333477782593E-2   1.659862616210E-1   3.254742008676E-1   4.637917545270E-1
   4.400146671556E-2   1.685265691558E-1   3.303775900285E-1   4.705997499422E-1
   4.466815560519E-2   1.710662669382E-1   3.352762404353E-1   4.773928972437E-1
   4.533484449482E-2   1.736053457790E-1   3.401700818247E-1   4.841709820979E-1
   4.600153338445E-2   1.761437964915E-1   3.450590440019E-1   4.909337906460E-1
   4.666822227408E-2   1.786816098913E-1   3.499430568425E-1   4.976811095117E-1
   4.733491116371E-2   1.812187767963E-1   3.548220502929E-1   5.044127258070E-1
   4.800160005334E-2   1.837552880265E-1   3.596959543713E-1   5.111284271397E-1
   4.866828894296E-2   1.862911344046E-1   3.645646991694E-1   5.178280016193E-1
   4.933497783259E-2   1.888263067555E-1   3.694282148524E-1   5.245112378646E-1
   5.000166672222E-2   1.913607959066E-1   3.742864316607E-1   5.311779250095E-1
   5.066835561185E-2   1.938945926878E-1   3.791392799109E-1   5.378278527104E-1
   5.133504450148E-2   1.964276879314E-1   3.839866899963E-1   5.444608111522E-1
   5.200173339111E-2   1.989600724723E-1   3.888285923884E-1   5.510765910554E-1
   5.266842228074E-2   2.014917371481E-1   3.936649176374E-1   5.576749836823E-1
   5.333511117037E-2   2.040226727987E-1   3.984955963740E-1   5.642557808440E-1
   5.400180006000E-2   2.065528702670E-1   4.033205593095E-1   5.708187749066E-1
