#             R [au]        psi_0 [a.u.]        psi_1 [a.u.]        psi_2 [a.u.]
   5.466848894963E-2   2.090823203984E-1   4.081397372372E-1   5.773637587981E-1
   5.533517783926E-2   2.116110140408E-1   4.129530610336E-1   5.838905260146E-1
   5.600186672889E-2   2.141389420453E-1   4.177604616589E-1   5.903988706270E-1
   5.666855561852E-2   2.166660952652E-1   4.225618701586E-1   5.968885872874E-1
   5.733524450815E-2   2.191924645572E-1   4.273572176638E-1   6.033594712358E-1
   5.800193339778E-2   2.217180407804E-1   4.321464353926E-1   6.098113183063E-1
   5.866862228741E-2   2.242428147969E-1   4.369294546513E-1   6.162439249335E-1
   5.933531117704E-2   2.267667774718E-1   4.417062068348E-1   6.226570881594E-1
   6.000200006667E-2   2.292899196730E-1   4.464766234280E-1   6.290506056392E-1
   6.066868895630E-2   2.318122322714E-1   4.512406360067E-1   6.354242756480E-1
   6.133537784593E-2   2.343337061409E-1   4.559981762385E-1   6.417778970872E-1
   6.200206673556E-2   2.368543321586E-1   4.607491758839E-1   6.481112694906E-1
   6.266875562519E-2   2.393741012044E-1   4.654935667972E-1   6.544241930311E-1
   6.333544451482E-2   2.418930041615E-1   4.702312809274E-1   6.607164685267E-1
   6.400213340445E-2   2.444110319160E-1   4.749622503194E-1   6.669878974468E-1
   6.466882229408E-2   2.469281753575E-1   4.796864071147E-1   6.732382819186E-1
   6.533551118371E-2   2.494444253786E-1   4.844036835527E-1   6.794674247333E-1
   6.600220007334E-2   2.519597728751E-1   4.891140119714E-1   6.856751293523E-1
   6.666888896297E-2   2.544742087462E-1   4.938173248083E-1   6.918611999134E-1
   6.733557785260E-2   2.569877238942E-1   4.985135546019E-1   6.980254412369E-1
   6.800226674222E-2   2.595003092249E-1   5.032026339918E-1   7.041676588321E-1
   6.866895563185E-2   2.620119556475E-1   5.078844957207E-1   7.102876589029E-1
   6.933564452148E-2   2.645226540744E-1   5.125590726343E-1   7.163852483543E-1
   7.000233341111E-2   2.670323954217E-1   5.172262976833E-1   7.224602347984E-1
   7.066902230074E-2   2.695411706086E-1   5.218861039234E-1   7.285124265604E-1
   7.133571119037E-2   2.720489705582E-1   5.265384245170E-1   7.345416326849E-1
   7.200240008000E-2   2.745557861968E-1   5.311831927337E-1   7.405476629415E-1
   7.266908896963E-2   2.770616084544E-1   5.358203419516E-1   7.465303278311E-1
   7.333577785926E-2   2.795664282647E-1   5.404498056580E-1   7.524894385918E-1
   7.400246674889E-2   2.820702365648E-1   5.450715174503E-1   7.584248072050E-1
   7.466915563852E-2   2.845730242956E-1   5.496854110374E-1   7.643362464011E-1
   7.533584452815E-2   2.870747824016E-1   5.542914202399E-1   7.702235696654E-1
   7.600253341778E-2   2.895755018313E-1   5.588894789920E-1   7.760865912442E-1
   7.666922230741E-2   2.920751735365E-1   5.634795213415E-1   7.819251261507E-1
   7.733591119704E-2   2.945737884733E-1   5.680614814515E-1   7.877389901705E-1
   7.800260008667E-2   2.970713376011E-1   5.726352936008E-1   7.935279998675E-1
   7.866928897630E-2   2.995678118836E-1   5.772008921852E-1   7.992919725901E-1
   7.933597786593E-2   3.020632022881E-1   5.817582117182E-1   8.050307264764E-1
   8.000266675556E-2   3.045574997860E-1   5.863071868322E-1   8.107440804603E-1
   8.066935564519E-2   3.070506953526E-1   5.908477522792E-1   8.164318542771E-1
   8.133604453482E-2   3.095427799671E-1   5.953798429319E-1   8.220938684692E-1
   8.200273342445E-2   3.120337446129E-1   5.999033937843E-1   8.277299443917E-1
   8.266942231408E-2   3.145235802772E-1   6.044183399532E-1   8.333399042181E-1
   8.333611120371E-2   3.170122779516E-1   6.089246166787E-1   8.389235709460E-1
   8.400280009334E-2   3.194998286314E-1   6.134221593253E-1   8.444807684025E-1
   8.466948898297E-2   3.219862233166E-1   6.179109033826E-1   8.500113212497E-1
   8.533617787260E-2   3.244714530108E-1   6.223907844666E-1   8.555150549907E-1
   8.600286676223E-2   3.269555087223E-1   6.268617383204E-1   8.609917959746E-1
   8.666955565186E-2   3.294383814633E-1   6.313237008151E-1   8.664413714021E-1
   8.733624454148E-2   3.319200622506E-1   6.357766079507E-1   8.718636093312E-1
   8.800293343111E-2   3.344005421049E-1   6.402203958571E-1   8.772583386821E-1
   8.866962232074E-2   3.368798120516E-1   6.446550007952E-1   8.826253892434E-1
   8.933631121037E-2   3.393578631204E-1   6.490803591574E-1   8.879645916767E-1
   9.000300010000E-2   3.418346863453E-1   6.534964074689E-1   8.932757775223E-1
   9.066968898963E-2   3.443102727649E-1   6.579030823882E-1   8.985587792044E-1
   9.133637787926E-2   3.467846134220E-1   6.623003207084E-1   9.038134300367E-1
   9.200306676889E-2   3.492576993643E-1   6.666880593580E-1   9.090395642271E-1
   9.266975565852E-2   3.517295216437E-1   6.710662354017E-1   9.142370168835E-1
   9.333644454815E-2   3.542000713168E-1   6.754347860412E-1   9.194056240185E-1
   9.400313343778E-2   3.566693394449E-1   6.797936486167E-1   9.245452225551E-1
   9.466982232741E-2   3.591373170938E-1   6.841427606069E-1   9.296556503313E-1
   9.533651121704E-2   3.616039953340E-1   6.884820596305E-1   9.347367461056E-1
   9.600320010667E-2   3.640693652407E-1   6.928114834471E-1   9.397883495620E-1
   9.666988899630E-2   3.665334178938E-1   6.971309699577E-1   9.448103013150E-1
   9.733657788593E-2   3.689961443782E-1   7.014404572061E-1   9.498024429146E-1
   9.800326677556E-2   3.714575357833E-1   7.057398833794E-1   9.547646168515E-1
   9.866995566519E-2   3.739175832034E-1   7.100291868088E-1   9.596966665617E-1
   9.933664455482E-2   3.763762777378E-1   7.143083059711E-1   9.645984364318E-1
   1.000033334444E-1   3.788336104905E-1   7.185771794890E-1   9.694697718038E-1
   1.006700223341E-1   3.812895725706E-1   7.228357461319E-1   9.743105189799E-1
   1.013367112237E-1   3.837441550921E-1   7.270839448175E-1   9.791205252274E-1
   1.020034001133E-1   3.861973491740E-1   7.313217146119E-1   9.838996387835E-1
   1.026700890030E-1   3.886491459401E-1   7.355489947308E-1   9.886477088602E-1
   1.033367778926E-1   3.910995365197E-1   7.397657245405E-1   9.933645856489E-1
   1.040034667822E-1   3.935485120469E-1   7.439718435585E-1   9.980501203253E-1
   1.046701556719E-1   3.959960636609E-1   7.481672914547E-1    1.002704165054E0
   1.053368445615E-1   3.984421825061E-1   7.523520080517E-1    1.007326572992E0
   1.060035334511E-1   4.008868597322E-1   7.565259333263E-1    1.011917198297E0
   1.066702223407E-1   4.033300864940E-1   7.606890074101E-1    1.016475896128E0
   1.073369112304E-1   4.057718539514E-1   7.648411705902E-1    1.021002522650E0
   1.080036001200E-1   4.082121532700E-1   7.689823633102E-1    1.025496935042E0
   1.086702890096E-1   4.106509756203E-1   7.731125261712E-1    1.029958991499E0
   1.093369778993E-1   4.130883121783E-1   7.772315999324E-1    1.034388551236E0
   1.100036667889E-1   4.155241541254E-1   7.813395255121E-1    1.038785474495E0
   1.106703556785E-1   4.179584926485E-1   7.854362439885E-1    1.043149622545E0
   1.113370445682E-1   4.203913189397E-1   7.895216966004E-1    1.047480857692E0
   1.120037334578E-1   4.228226241967E-1   7.935958247484E-1    1.051779043279E0
   1.126704223474E-1   4.252523996227E-1   7.976585699955E-1    1.056044043691E0
   1.133371112370E-1   4.276806364264E-1   8.017098740679E-1    1.060275724362E0
   1.140038001267E-1   4.301073258223E-1   8.057496788559E-1    1.064473951775E0
   1.146704890163E-1   4.325324590301E-1   8.097779264148E-1    1.068638593472E0
   1.153371779059E-1   4.349560272753E-1   8.137945589655E-1    1.072769518050E0
   1.160038667956E-1   4.373780217893E-1   8.177995188959E-1    1.076866595174E0
   1.166705556852E-1   4.397984338089E-1   8.217927487608E-1    1.080929695574E0
   1.173372445748E-1   4.422172545766E-1   8.257741912837E-1    1.084958691054E0
   1.180039334644E-1   4.446344753409E-1   8.297437893568E-1    1.088953454492E0
   1.186706223541E-1   4.470500873559E-1   8.337014860426E-1    1.092913859850E0
   1.193373112437E-1   4.494640818816E-1   8.376472245739E-1    1.096839782168E0
   1.200040001333E-1   4.518764501838E-1   8.415809483553E-1    1.100731097580E0
   1.206706890230E-1   4.542871835343E-1   8.455026009636E-1    1.104587683309E0
   1.213373779126E-1   4.566962732106E-1   8.494121261488E-1    1.108409417673E0
   1.220040668022E-1   4.591037104964E-1   8.533094678348E-1    1.112196180090E0
   1.226707556919E-1   4.615094866812E-1   8.571945701202E-1    1.115947851085E0
   1.233374445815E-1   4.639135930606E-1   8.610673772794E-1    1.119664312284E0
   1.240041334711E-1   4.663160209362E-1   8.649278337629E-1    1.123345446429E0
   1.246708223607E-1   4.687167616157E-1   8.687758841985E-1    1.126991137375E0
   1.253375112504E-1   4.711158064128E-1   8.726114733918E-1    1.130601270094E0
   1.260042001400E-1   4.735131466475E-1   8.764345463272E-1    1.134175730682E0
   1.266708890296E-1   4.759087736459E-1   8.802450481688E-1    1.137714406358E0
   1.273375779193E-1   4.783026787402E-1   8.840429242607E-1    1.141217185474E0
   1.280042668089E-1   4.806948532690E-1   8.878281201284E-1    1.144683957510E0
   1.286709556985E-1   4.830852885771E-1   8.916005814790E-1    1.148114613085E0
   1.293376445882E-1   4.854739760155E-1   8.953602542025E-1    1.151509043957E0
   1.300043334778E-1   4.878609069416E-1   8.991070843722E-1    1.154867143027E0
   1.306710223674E-1   4.902460727193E-1   9.028410182456E-1    1.158188804341E0
   1.313377112570E-1   4.926294647185E-1   9.065620022652E-1    1.161473923097E0
   1.320044001467E-1   4.950110743159E-1   9.102699830594E-1    1.164722395643E0
   1.326710890363E-1   4.973908928945E-1   9.139649074428E-1    1.167934119487E0
   1.333377779259E-1   4.997689118438E-1   9.176467224175E-1    1.171108993292E0
   1.340044668156E-1   5.021451225598E-1   9.213153751736E-1    1.174246916888E0
   1.346711557052E-1   5.045195164449E-1   9.249708130899E-1    1.177347791269E0
   1.353378445948E-1   5.068920849084E-1   9.286129837349E-1    1.180411518596E0
   1.360045334844E-1   5.092628193659E-1   9.322418348673E-1    1.183438002205E0
   1.366712223741E-1   5.116317112398E-1   9.358573144368E-1    1.186427146607E0
   1.373379112637E-1   5.139987519591E-1   9.394593705850E-1    1.189378857488E0
   1.380046001533E-1   5.163639329596E-1   9.430479516460E-1    1.192293041719E0
   1.386712890430E-1   5.187272456836E-1   9.466230061471E-1    1.195169607353E0
   1.393379779326E-1   5.210886815804E-1   9.501844828098E-1    1.198008463629E0
   1.400046668222E-1   5.234482321060E-1   9.537323305502E-1    1.200809520977E0
   1.406713557119E-1   5.258058887231E-1   9.572664984798E-1    1.203572691021E0
   1.413380446015E-1   5.281616429016E-1   9.607869359067E-1    1.206297886577E0
   1.420047334911E-1   5.305154861179E-1   9.642935923354E-1    1.208985021663E0
   1.426714223807E-1   5.328674098554E-1   9.677864174686E-1    1.211634011494E0
   1.433381112704E-1   5.352174056047E-1   9.712653612070E-1    1.214244772492E0
   1.440048001600E-1   5.375654648631E-1   9.747303736506E-1    1.216817222283E0
   1.446714890496E-1   5.399115791349E-1   9.781814050992E-1    1.219351279703E0
   1.453381779393E-1   5.422557399317E-1   9.816184060530E-1    1.221846864798E0
   1.460048668289E-1   5.445979387719E-1   9.850413272137E-1    1.224303898829E0
   1.466715557185E-1   5.469381671811E-1   9.884501194847E-1    1.226722304273E0
   1.473382446082E-1   5.492764166920E-1   9.918447339721E-1    1.229102004826E0
   1.480049334978E-1   5.516126788447E-1   9.952251219856E-1    1.231442925404E0
   1.486716223874E-1   5.539469451860E-1   9.985912350387E-1    1.233744992149E0
   1.493383112770E-1   5.562792072703E-1    1.001943024850E0    1.236008132425E0
   1.500050001667E-1   5.586094566592E-1    1.005280443342E0    1.238232274830E0
   1.506716890563E-1   5.609376849215E-1    1.008603442647E0    1.240417349186E0
   1.513383779459E-1   5.632638836334E-1    1.011911975099E0    1.242563286552E0
   1.520050668356E-1   5.655880443783E-1    1.015205993245E0    1.244670019220E0
   1.526717557252E-1   5.679101587471E-1    1.018485449835E0    1.246737480721E0
   1.533384446148E-1   5.702302183381E-1    1.021750297831E0    1.248765605822E0
   1.540051335045E-1   5.725482147570E-1    1.025000490405E0    1.250754330533E0
   1.546718223941E-1   5.748641396169E-1    1.028235980936E0    1.252703592107E0
   1.553385112837E-1   5.771779845385E-1    1.031456723018E0    1.254613329041E0
   1.560052001733E-1   5.794897411500E-1    1.034662670453E0    1.256483481082E0
   1.566718890630E-1   5.817994010871E-1    1.037853777258E0    1.258313989222E0
   1.573385779526E-1   5.841069559932E-1    1.041029997660E0    1.260104795707E0
   1.580052668422E-1   5.864123975192E-1    1.044191286101E0    1.261855844034E0
   1.586719557319E-1   5.887157173237E-1    1.047337597239E0    1.263567078955E0
   1.593386446215E-1   5.910169070730E-1    1.050468885944E0    1.265238446478E0
   1.600053335111E-1   5.933159584410E-1    1.053585107302E0    1.266869893869E0
   1.606720224007E-1   5.956128631095E-1    1.056686216616E0    1.268461369652E0
   1.613387112904E-1   5.979076127680E-1    1.059772169406E0    1.270012823616E0
   1.620054001800E-1   6.002001991136E-1    1.062842921408E0    1.271524206809E0
   1.626720890696E-1   6.024906138516E-1    1.065898428577E0    1.272995471544E0
   1.633387779593E-1   6.047788486948E-1    1.068938647087E0    1.274426571402E0
   1.640054668489E-1   6.070648953642E-1    1.071963533331E0    1.275817461229E0
   1.646721557385E-1   6.093487455885E-1    1.074973043920E0    1.277168097140E0
   1.653388446282E-1   6.116303911044E-1    1.077967135689E0    1.278478436521E0
   1.660055335178E-1   6.139098236566E-1    1.080945765692E0    1.279748438028E0
   1.666722224074E-1   6.161870349978E-1    1.083908891204E0    1.280978061592E0
   1.673389112970E-1   6.184620168887E-1    1.086856469725E0    1.282167268416E0
   1.680056001867E-1   6.207347610981E-1    1.089788458977E0    1.283316020978E0
   1.686722890763E-1   6.230052594030E-1    1.092704816903E0    1.284424283034E0
   1.693389779659E-1   6.252735035883E-1    1.095605501674E0    1.285492019616E0
   1.700056668556E-1   6.275394854473E-1    1.098490471684E0    1.286519197036E0
   1.706723557452E-1   6.298031967812E-1    1.101359685552E0    1.287505782885E0
   1.713390446348E-1   6.320646293997E-1    1.104213102124E0    1.288451746034E0
   1.720057335245E-1   6.343237751206E-1    1.107050680472E0    1.289357056638E0
   1.726724224141E-1   6.365806257699E-1    1.109872379896E0    1.290221686132E0
   1.733391113037E-1   6.388351731822E-1    1.112678159922E0    1.291045607236E0
   1.740058001933E-1   6.410874092001E-1    1.115467980306E0    1.291828793953E0
   1.746724890830E-1   6.433373256746E-1    1.118241801032E0    1.292571221574E0
   1.753391779726E-1   6.455849144654E-1    1.120999582315E0    1.293272866673E0
   1.760058668622E-1   6.478301674403E-1    1.123741284597E0    1.293933707113E0
   1.766725557519E-1   6.500730764757E-1    1.126466868555E0    1.294553722044E0
   1.773392446415E-1   6.523136334565E-1    1.129176295092E0    1.295132891902E0
   1.780059335311E-1   6.545518302759E-1    1.131869525348E0    1.295671198414E0
   1.786726224207E-1   6.567876588358E-1    1.134546520691E0    1.296168624595E0
   1.793393113104E-1   6.590211110468E-1    1.137207242724E0    1.296625154752E0
   1.800060002000E-1   6.612521788279E-1    1.139851653284E0    1.297040774480E0
   1.806726890896E-1   6.634808541068E-1    1.142479714440E0    1.297415470666E0
   1.813393779793E-1   6.657071288198E-1    1.145091388497E0    1.297749231487E0
   1.820060668689E-1   6.679309949119E-1    1.147686637994E0    1.298042046413E0
   1.826727557585E-1   6.701524443370E-1    1.150265425707E0    1.298293906205E0
   1.833394446482E-1   6.723714690574E-1    1.152827714647E0    1.298504802916E0
   1.840061335378E-1   6.745880610445E-1    1.155373468062E0    1.298674729892E0
   1.846728224274E-1   6.768022122783E-1    1.157902649437E0    1.298803681773E0
   1.853395113170E-1   6.790139147476E-1    1.160415222495E0    1.298891654489E0
   1.860062002067E-1   6.812231604504E-1    1.162911151197E0    1.298938645264E0
   1.866728890963E-1   6.834299413931E-1    1.165390399742E0    1.298944652616E0
   1.873395779859E-1   6.856342495914E-1    1.167852932570E0    1.298909676356E0
   1.880062668756E-1   6.878360770697E-1    1.170298714360E0    1.298833716202E0
   1.886729557652E-1   6.900354158616E-1    1.172727710030E0    1.298716776628E0
   1.893396446548E-1   6.922322580095E-1    1.175139884740E0    1.298558860631E0
   1.900063335445E-1   6.944265955650E-1    1.177535203892E0    1.298359973195E0
   1.906730224341E-1   6.966184205886E-1    1.179913633128E0    1.298120120593E0
   1.913397113237E-1   6.988077251500E-1    1.182275138333E0    1.297839310393E0
   1.920064002133E-1   7.009945013280E-1    1.184619685636E0    1.297517551457E0
   1.926730891030E-1   7.031787412106E-1    1.186947241407E0    1.297154853934E0
   1.933397779926E-1   7.053604368948E-1    1.189257772262E0    1.296751229271E0
   1.940064668822E-1   7.075395804869E-1    1.191551245058E0    1.296306690200E0
   1.946731557719E-1   7.097161641026E-1    1.193827626901E0    1.295821250748E0
   1.953398446615E-1   7.118901798667E-1    1.196086885138E0    1.295294926232E0
   1.960065335511E-1   7.140616199132E-1    1.198328987365E0    1.294727733257E0
   1.966732224407E-1   7.162304763856E-1    1.200553901421E0    1.294119689720E0
   1.973399113304E-1   7.183967414367E-1    1.202761595394E0    1.293470814805E0
   1.980066002200E-1   7.205604072286E-1    1.204952037618E0    1.292781128985E0
   1.986732891096E-1   7.227214659328E-1    1.207125196674E0    1.292050654021E0
   1.993399779993E-1   7.248799097305E-1    1.209281041392E0    1.291279412960E0
   2.000066668889E-1   7.270357308119E-1    1.211419540849E0    1.290467430136E0
   2.006733557785E-1   7.291889213771E-1    1.213540664373E0    1.289614731168E0
   2.013400446682E-1   7.313394736355E-1    1.215644381538E0    1.288721342960E0
   2.020067335578E-1   7.334873798061E-1    1.217730662171E0    1.287787293701E0
   2.026734224474E-1   7.356326321175E-1    1.219799476347E0    1.286812612860E0
   2.033401113370E-1   7.377752228078E-1    1.221850794391E0    1.285797331190E0
   2.040068002267E-1   7.399151441250E-1    1.223884586881E0    1.284741480724E0
   2.046734891163E-1   7.420523883264E-1    1.225900824646E0    1.283645094778E0
   2.053401780059E-1   7.441869476792E-1    1.227899478765E0    1.282508207942E0
   2.060068668956E-1   7.463188144602E-1    1.229880520571E0    1.281330856087E0
   2.066735557852E-1   7.484479809562E-1    1.231843921648E0    1.280113076361E0
   2.073402446748E-1   7.505744394634E-1    1.233789653836E0    1.278854907187E0
   2.080069335645E-1   7.526981822880E-1    1.235717689226E0    1.277556388261E0
   2.086736224541E-1   7.548192017461E-1    1.237628000162E0    1.276217560553E0
   2.093403113437E-1   7.569374901635E-1    1.239520559244E0    1.274838466307E0
   2.100070002333E-1   7.590530398759E-1    1.241395339327E0    1.273419149033E0
   2.106736891230E-1   7.611658432289E-1    1.243252313520E0    1.271959653514E0
   2.113403780126E-1   7.632758925783E-1    1.245091455187E0    1.270460025798E0
   2.120070669022E-1   7.653831802895E-1    1.246912737949E0    1.268920313202E0
   2.126737557919E-1   7.674876987380E-1    1.248716135682E0    1.267340564306E0
   2.133404446815E-1   7.695894403094E-1    1.250501622519E0    1.265720828952E0
   2.140071335711E-1   7.716883973994E-1    1.252269172851E0    1.264061158246E0
   2.146738224607E-1   7.737845624135E-1    1.254018761324E0    1.262361604553E0
   2.153405113504E-1   7.758779277677E-1    1.255750362843E0    1.260622221497E0
   2.160072002400E-1   7.779684858877E-1    1.257463952571E0    1.258843063957E0
   2.166738891296E-1   7.800562292098E-1    1.259159505930E0    1.257024188069E0
   2.173405780193E-1   7.821411501800E-1    1.260836998599E0    1.255165651220E0
   2.180072669089E-1   7.842232412549E-1    1.262496406518E0    1.253267512050E0
   2.186739557985E-1   7.863024949013E-1    1.264137705884E0    1.251329830449E0
   2.193406446882E-1   7.883789035960E-1    1.265760873156E0    1.249352667553E0
   2.200073335778E-1   7.904524598263E-1    1.267365885051E0    1.247336085744E0
   2.206740224674E-1   7.925231560899E-1    1.268952718550E0    1.245280148649E0
   2.213407113570E-1   7.945909848946E-1    1.270521350890E0    1.243184921136E0
   2.220074002467E-1   7.966559387588E-1    1.272071759572E0    1.241050469311E0
   2.226740891363E-1   7.987180102111E-1    1.273603922359E0    1.238876860520E0
   2.233407780259E-1   8.007771917908E-1    1.275117817273E0    1.236664163344E0
   2.240074669156E-1   8.028334760473E-1    1.276613422600E0    1.234412447596E0
   2.246741558052E-1   8.048868555409E-1    1.278090716888E0    1.232121784322E0
   2.253408446948E-1   8.069373228420E-1    1.279549678948E0    1.229792245795E0
   2.260075335845E-1   8.089848705318E-1    1.280990287852E0    1.227423905515E0
   2.266742224741E-1   8.110294912020E-1    1.282412522939E0    1.225016838207E0
   2.273409113637E-1   8.130711774549E-1    1.283816363807E0    1.222571119818E0
   2.280076002533E-1   8.151099219033E-1    1.285201790321E0    1.220086827514E0
   2.286742891430E-1   8.171457171708E-1    1.286568782609E0    1.217564039677E0
   2.293409780326E-1   8.191785558916E-1    1.287917321063E0    1.215002835906E0
   2.300076669222E-1   8.212084307106E-1    1.289247386342E0    1.212403297010E0
   2.306743558119E-1   8.232353342835E-1    1.290558959368E0    1.209765505008E0
