#             R [au]        psi_0 [a.u.]        psi_1 [a.u.]
    0.000000000000E0    0.000000000000E0    0.000000000000E0
   6.666888896297E-4  4.283912190087E-12  1.841048846498E-11
   1.333377779259E-3  6.854237528359E-11  2.945657771091E-10
   2.000066668889E-3  3.469940490399E-10   1.491223238960E-9
   2.666755558519E-3   1.096664961141E-9   4.712931452456E-9
   3.333444448148E-3   2.677380900912E-9   1.150595965265E-8
   4.000133337778E-3   5.551756769932E-9   2.385819895990E-8
   4.666822227408E-3   1.028518289050E-8   4.419903539761E-8
   5.333511117037E-3   1.754580827219E-8   7.539919470446E-8
   6.000200006667E-3   2.810452083682E-8   1.207705589484E-7
   6.666888896297E-3   4.283492460232E-8   1.840659549518E-7
   7.333577785926E-3   6.271331382608E-8   2.694789145370E-7
   8.000266675556E-3   8.881864410818E-8   3.816434066063E-7
   8.666955565186E-3   1.223325004553E-7   5.256335410659E-7
   9.333644454815E-3   1.645390623061E-7   7.069632446118E-7
   1.000033334444E-2   2.168250655187E-7   9.315859083914E-7
   1.066702223407E-2   2.806797613208E-7   1.205894007558E-6
   1.133371112370E-2   3.576948722248E-7   1.536718692739E-6
   1.200040001333E-2   4.495645449064E-7   1.931329353432E-6
   1.266708890296E-2   5.580853000505E-7   2.397433153360E-6
   1.333377779259E-2   6.851559791636E-7   2.943174537797E-6
   1.400046668222E-2   8.327776883543E-7   3.577134712898E-6
   1.466715557185E-2   1.003053739084E-6   4.308331097048E-6
   1.533384446148E-2   1.198189585890E-6   5.146216744272E-6
   1.600053335111E-2   1.420492761075E-6   6.100679739716E-6
   1.666722224074E-2   1.672372806378E-6   7.182042567246E-6
   1.733391113037E-2   1.956341201619E-6   8.401061449180E-6
   1.800060002000E-2   2.275011290315E-6   9.768925658198E-6
   1.866728890963E-2   2.631098202279E-6   1.129725680146E-5
   1.933397779926E-2   3.027418773203E-6   1.299810807695E-5
   2.000066668889E-2   3.466891461215E-6   1.488396350212E-5
   2.066735557852E-2   3.952536260427E-6   1.696773711485E-5
   2.133404446815E-2   4.487474611466E-6   1.926277214673E-5
   2.200073335778E-2   5.074929308994E-6   2.178284016875E-5
   2.266742224741E-2   5.718224406214E-6   2.454214020947E-5
