#             R [au]          psi [a.u.]
   7.553776888444E-1   9.337753145459E-1
   7.603801900950E-1   9.290843909719E-1
   7.653826913457E-1   9.242390871829E-1
   7.703851925963E-1   9.192402082933E-1
   7.753876938469E-1   9.140885849358E-1
   7.803901950975E-1   9.087850731238E-1
   7.853926963482E-1   9.033305541091E-1
   7.903951975988E-1   8.977259342355E-1
   7.953976988494E-1   8.919721447881E-1
   8.004002001000E-1   8.860701418385E-1
   8.054027013507E-1   8.800209060860E-1
   8.104052026013E-1   8.738254426949E-1
   8.154077038519E-1   8.674847811270E-1
   8.204102051026E-1   8.609999749708E-1
   8.254127063532E-1   8.543721017667E-1
   8.304152076038E-1   8.476022628272E-1
   8.354177088544E-1   8.406915830548E-1
   8.404202101051E-1   8.336412107545E-1
   8.454227113557E-1   8.264523174429E-1
   8.504252126063E-1   8.191260976542E-1
   8.554277138569E-1   8.116637687411E-1
   8.604302151076E-1   8.040665706726E-1
   8.654327163582E-1   7.963357658282E-1
   8.704352176088E-1   7.884726387880E-1
   8.754377188594E-1   7.804784961193E-1
   8.804402201101E-1   7.723546661593E-1
   8.854427213607E-1   7.641024987948E-1
   8.904452226113E-1   7.557233652375E-1
   8.954477238619E-1   7.472186577961E-1
   9.004502251126E-1   7.385897896454E-1
   9.054527263632E-1   7.298381945911E-1
   9.104552276138E-1   7.209653268317E-1
   9.154577288644E-1   7.119726607169E-1
   9.204602301151E-1   7.028616905024E-1
   9.254627313657E-1   6.936339301019E-1
   9.304652326163E-1   6.842909128354E-1
   9.354677338669E-1   6.748341911742E-1
   9.404702351176E-1   6.652653364835E-1
   9.454727363682E-1   6.555859387607E-1
   9.504752376188E-1   6.457976063716E-1
   9.554777388694E-1   6.359019657829E-1
   9.604802401201E-1   6.259006612921E-1
   9.654827413707E-1   6.157953547541E-1
   9.704852426213E-1   6.055877253054E-1
   9.754877438719E-1   5.952794690847E-1
   9.804902451226E-1   5.848722989512E-1
   9.854927463732E-1   5.743679442002E-1
   9.904952476238E-1   5.637681502753E-1
   9.954977488744E-1   5.530746784790E-1
    1.000500250125E0   5.422893056792E-1
    1.005502751376E0   5.314393582788E-1
    1.010505252626E0   5.207814697014E-1
    1.015507753877E0   5.103373225174E-1
    1.020510255128E0   5.001026301944E-1
    1.025512756378E0   4.900731921657E-1
    1.030515257629E0   4.802448921057E-1
    1.035517758879E0   4.706136962407E-1
    1.040520260130E0   4.611756516936E-1
    1.045522761381E0   4.519268848611E-1
    1.050525262631E0   4.428635998240E-1
    1.055527763882E0   4.339820767897E-1
    1.060530265133E0   4.252786705648E-1
    1.065532766383E0   4.167498090595E-1
    1.070535267634E0   4.083919918214E-1
    1.075537768884E0   4.002017885989E-1
    1.080540270135E0   3.921758379332E-1
    1.085542771386E0   3.843108457787E-1
    1.090545272636E0   3.766035841512E-1
    1.095547773887E0   3.690508898029E-1
    1.100550275138E0   3.616496629242E-1
    1.105552776388E0   3.543968658713E-1
    1.110555277639E0   3.472895219199E-1
    1.115557778889E0   3.403247140428E-1
    1.120560280140E0   3.334995837135E-1
    1.125562781391E0   3.268113297322E-1
    1.130565282641E0   3.202572070767E-1
    1.135567783892E0   3.138345257755E-1
    1.140570285143E0   3.075406498038E-1
    1.145572786393E0   3.013729960018E-1
    1.150575287644E0   2.953290330141E-1
    1.155577788894E0   2.894062802513E-1
    1.160580290145E0   2.836023068713E-1
    1.165582791396E0   2.779147307823E-1
    1.170585292646E0   2.723412176644E-1
    1.175587793897E0   2.668794800124E-1
    1.180590295148E0   2.615272761960E-1
    1.185592796398E0   2.562824095405E-1
    1.190595297649E0   2.511427274250E-1
    1.195597798899E0   2.461061203987E-1
    1.200600300150E0   2.411705213157E-1
    1.205602801401E0   2.363339044858E-1
    1.210605302651E0   2.315942848437E-1
    1.215607803902E0   2.269497171342E-1
    1.220610305153E0   2.223982951136E-1
    1.225612806403E0   2.179381507674E-1
    1.230615307654E0   2.135674535440E-1
    1.235617808904E0   2.092844096028E-1
    1.240620310155E0   2.050872610781E-1
    1.245622811406E0   2.009742853582E-1
    1.250625312656E0   1.969437943776E-1
    1.255627813907E0   1.929941339247E-1
    1.260630315158E0   1.891236829628E-1
    1.265632816408E0   1.853308529645E-1
    1.270635317659E0   1.816140872600E-1
    1.275637818909E0   1.779718603983E-1
    1.280640320160E0   1.744026775207E-1
    1.285642821411E0   1.709050737478E-1
    1.290645322661E0   1.674776135777E-1
    1.295647823912E0   1.641188902974E-1
    1.300650325163E0   1.608275254051E-1
    1.305652826413E0   1.576021680444E-1
    1.310655327664E0   1.544414944503E-1
    1.315657828914E0   1.513442074054E-1
    1.320660330165E0   1.483090357076E-1
    1.325662831416E0   1.453347336485E-1
    1.330665332666E0   1.424200805022E-1
    1.335667833917E0   1.395638800242E-1
    1.340670335168E0   1.367649599601E-1
    1.345672836418E0   1.340221715651E-1
    1.350675337669E0   1.313343891320E-1
    1.355677838919E0   1.287005095294E-1
    1.360680340170E0   1.261194517492E-1
    1.365682841421E0   1.235901564623E-1
    1.370685342671E0   1.211115855843E-1
    1.375687843922E0   1.186827218494E-1
    1.380690345173E0   1.163025683929E-1
    1.385692846423E0   1.139701483418E-1
    1.390695347674E0   1.116845044142E-1
    1.395697848924E0   1.094446985260E-1
    1.400700350175E0   1.072498114065E-1
    1.405702851426E0   1.050989422206E-1
    1.410705352676E0   1.029912081991E-1
    1.415707853927E0   1.009257442768E-1
    1.420710355178E0   9.890170273686E-2
