#             R [au]        psi_0 [a.u.]
    0.000000000000E0    0.000000000000E0
   6.666888896297E-4   2.604163271646E-6
   1.333377779259E-3   9.963736717919E-6
   2.000066668889E-3   2.232220752348E-5
   2.666755558519E-3   3.964238398322E-5
   3.333444448148E-3   6.191790014718E-5
   4.000133337778E-3   8.914656693045E-5
   4.666822227408E-3   1.213273270036E-4
   5.333511117037E-3   1.584595217195E-4
   6.000200006667E-3   2.005426495590E-4
   6.666888896297E-3   2.475762699541E-4
   7.333577785926E-3   2.995599596669E-4
   8.000266675556E-3   3.564932910042E-4
   8.666955565186E-3   4.183758200960E-4
   9.333644454815E-3   4.852070802014E-4
   1.000033334444E-2   5.569865776939E-4
   1.066702223407E-2   6.337137895542E-4
   1.133371112370E-2   7.153881617492E-4
   1.200040001333E-2   8.020091081531E-4
   1.266708890296E-2   8.935760098096E-4
   1.333377779259E-2   9.900882144179E-4
   1.400046668222E-2   1.091545035966E-3
   1.466715557185E-2   1.197945754466E-3
   1.533384446148E-2   1.309289615759E-3
   1.600053335111E-2   1.425575831372E-3
   1.666722224074E-2   1.546803578407E-3
   1.733391113037E-2   1.672971999460E-3
   1.800060002000E-2   1.804080202560E-3
   1.866728890963E-2   1.940127261120E-3
   1.933397779926E-2   2.081112213898E-3
   2.000066668889E-2   2.227034064974E-3
   2.066735557852E-2   2.377891783727E-3
   2.133404446815E-2   2.533684304817E-3
   2.200073335778E-2   2.694410528177E-3
   2.266742224741E-2   2.860069319003E-3
   2.333411113704E-2   3.030659507749E-3
   2.400080002667E-2   3.206179890125E-3
   2.466748891630E-2   3.386629227094E-3
   2.533417780593E-2   3.572006244876E-3
   2.600086669556E-2   3.762309634946E-3
   2.666755558519E-2   3.957538054039E-3
   2.733424447482E-2   4.157690124154E-3
   2.800093336445E-2   4.362764432557E-3
   2.866762225408E-2   4.572759531790E-3
   2.933431114370E-2   4.787673939674E-3
   3.000100003333E-2   5.007506139319E-3
   3.066768892296E-2   5.232254579128E-3
   3.133437781259E-2   5.461917672807E-3
   3.200106670222E-2   5.696493799373E-3
   3.266775559185E-2   5.935981303162E-3
   3.333444448148E-2   6.180378493841E-3
   3.400113337111E-2   6.429683646412E-3
   3.466782226074E-2   6.683895001229E-3
   3.533451115037E-2   6.943010764002E-3
   3.600120004000E-2   7.207029105809E-3
   3.666788892963E-2   7.475948163112E-3
   3.733457781926E-2   7.749766037760E-3
   3.800126670889E-2   8.028480797006E-3
   3.866795559852E-2   8.312090473516E-3
   3.933464448815E-2   8.600593065384E-3
   4.000133337778E-2   8.893986536141E-3
   4.066802226741E-2   9.192268814767E-3
   4.133471115704E-2   9.495437795708E-3
   4.200140004667E-2   9.803491338885E-3
   4.266808893630E-2   1.011642726971E-2
   4.333477782593E-2   1.043424337909E-2
   4.400146671556E-2   1.075693742347E-2
   4.466815560519E-2   1.108450712480E-2
   4.533484449482E-2   1.141695017059E-2
   4.600153338445E-2   1.175426421390E-2
   4.666822227408E-2   1.209644687338E-2
   4.733491116371E-2   1.244349573324E-2
   4.800160005334E-2   1.279540834333E-2
   4.866828894296E-2   1.315218221909E-2
   4.933497783259E-2   1.351381484162E-2
   5.000166672222E-2   1.388030365763E-2
   5.066835561185E-2   1.425164607955E-2
   5.133504450148E-2   1.462783948544E-2
   5.200173339111E-2   1.500888121911E-2
   5.266842228074E-2   1.539476859003E-2
   5.333511117037E-2   1.578549887346E-2
   5.400180006000E-2   1.618106931037E-2
   5.466848894963E-2   1.658147710751E-2
   5.533517783926E-2   1.698671943741E-2
   5.600186672889E-2   1.739679343842E-2
   5.666855561852E-2   1.781169621468E-2
   5.733524450815E-2   1.823142483619E-2
   5.800193339778E-2   1.865597633881E-2
   5.866862228741E-2   1.908534772426E-2
   5.933531117704E-2   1.951953596017E-2
   6.000200006667E-2   1.995853798007E-2
   6.066868895630E-2   2.040235068343E-2
   6.133537784593E-2   2.085097093568E-2
   6.200206673556E-2   2.130439556820E-2
   6.266875562519E-2   2.176262137838E-2
   6.333544451482E-2   2.222564512962E-2
   6.400213340445E-2   2.269346355134E-2
   6.466882229408E-2   2.316607333904E-2
   6.533551118371E-2   2.364347115427E-2
   6.600220007334E-2   2.412565362469E-2
   6.666888896297E-2   2.461261734405E-2
   6.733557785260E-2   2.510435887227E-2
   6.800226674222E-2   2.560087473541E-2
   6.866895563185E-2   2.610216142573E-2
   6.933564452148E-2   2.660821540166E-2
   7.000233341111E-2   2.711903308789E-2
   7.066902230074E-2   2.763461087534E-2
   7.133571119037E-2   2.815494512120E-2
   7.200240008000E-2   2.868003214897E-2
   7.266908896963E-2   2.920986824845E-2
   7.333577785926E-2   2.974444967578E-2
   7.400246674889E-2   3.028377265347E-2
   7.466915563852E-2   3.082783337043E-2
   7.533584452815E-2   3.137662798195E-2
   7.600253341778E-2   3.193015260980E-2
   7.666922230741E-2   3.248840334217E-2
   7.733591119704E-2   3.305137623375E-2
   7.800260008667E-2   3.361906730574E-2
   7.866928897630E-2   3.419147254588E-2
   7.933597786593E-2   3.476858790847E-2
   8.000266675556E-2   3.535040931439E-2
   8.066935564519E-2   3.593693265112E-2
   8.133604453482E-2   3.652815377280E-2
   8.200273342445E-2   3.712406850023E-2
   8.266942231408E-2   3.772467262089E-2
   8.333611120371E-2   3.832996188897E-2
   8.400280009334E-2   3.893993202542E-2
   8.466948898297E-2   3.955457871796E-2
   8.533617787260E-2   4.017389762109E-2
   8.600286676223E-2   4.079788435615E-2
   8.666955565186E-2   4.142653451133E-2
   8.733624454148E-2   4.205984364169E-2
   8.800293343111E-2   4.269780726922E-2
