#             R [au]        psi_0 [a.u.]        psi_1 [a.u.]
   6.800226674222E-2   2.199806280359E-1   1.664343759845E-1
   6.866895563185E-2   2.221149655213E-1   1.680081666050E-1
   6.933564452148E-2   2.242486506684E-1   1.695802742583E-1
   7.000233341111E-2   2.263816772107E-1   1.711506831963E-1
   7.066902230074E-2   2.285140388836E-1   1.727193776879E-1
   7.133571119037E-2   2.306457294246E-1   1.742863420193E-1
   7.200240008000E-2   2.327767425729E-1   1.758515604938E-1
   7.266908896963E-2   2.349070720699E-1   1.774150174325E-1
   7.333577785926E-2   2.370367116590E-1   1.789766971738E-1
   7.400246674889E-2   2.391656550855E-1   1.805365840742E-1
   7.466915563852E-2   2.412938960968E-1   1.820946625081E-1
   7.533584452815E-2   2.434214284425E-1   1.836509168678E-1
   7.600253341778E-2   2.455482458741E-1   1.852053315641E-1
   7.666922230741E-2   2.476743421453E-1   1.867578910262E-1
   7.733591119704E-2   2.497997110118E-1   1.883085797017E-1
   7.800260008667E-2   2.519243462316E-1   1.898573820573E-1
   7.866928897630E-2   2.540482415647E-1   1.914042825781E-1
   7.933597786593E-2   2.561713907734E-1   1.929492657688E-1
   8.000266675556E-2   2.582937876222E-1   1.944923161529E-1
   8.066935564519E-2   2.604154258776E-1   1.960334182733E-1
   8.133604453482E-2   2.625362993086E-1   1.975725566927E-1
   8.200273342445E-2   2.646564016863E-1   1.991097159932E-1
   8.266942231408E-2   2.667757267840E-1   2.006448807768E-1
   8.333611120371E-2   2.688942683775E-1   2.021780356655E-1
   8.400280009334E-2   2.710120202446E-1   2.037091653013E-1
   8.466948898297E-2   2.731289761658E-1   2.052382543468E-1
   8.533617787260E-2   2.752451299236E-1   2.067652874847E-1
   8.600286676223E-2   2.773604753030E-1   2.082902494186E-1
   8.666955565186E-2   2.794750060913E-1   2.098131248725E-1
   8.733624454148E-2   2.815887160784E-1   2.113338985916E-1
   8.800293343111E-2   2.837015990563E-1   2.128525553420E-1
   8.866962232074E-2   2.858136488198E-1   2.143690799111E-1
   8.933631121037E-2   2.879248591657E-1   2.158834571076E-1
   9.000300010000E-2   2.900352238936E-1   2.173956717617E-1
   9.066968898963E-2   2.921447368055E-1   2.189057087252E-1
   9.133637787926E-2   2.942533917059E-1   2.204135528719E-1
   9.200306676889E-2   2.963611824017E-1   2.219191890975E-1
   9.266975565852E-2   2.984681027026E-1   2.234226023197E-1
   9.333644454815E-2   3.005741464206E-1   2.249237774785E-1
   9.400313343778E-2   3.026793073705E-1   2.264226995364E-1
   9.466982232741E-2   3.047835793694E-1   2.279193534786E-1
   9.533651121704E-2   3.068869562372E-1   2.294137243126E-1
   9.600320010667E-2   3.089894317966E-1   2.309057970692E-1
   9.666988899630E-2   3.110909998725E-1   2.323955568019E-1
   9.733657788593E-2   3.131916542929E-1   2.338829885877E-1
   9.800326677556E-2   3.152913888882E-1   2.353680775266E-1
   9.866995566519E-2   3.173901974917E-1   2.368508087422E-1
   9.933664455482E-2   3.194880739393E-1   2.383311673818E-1
   1.000033334444E-1   3.215850120696E-1   2.398091386164E-1
   1.006700223341E-1   3.236810057241E-1   2.412847076408E-1
   1.013367112237E-1   3.257760487469E-1   2.427578596740E-1
   1.020034001133E-1   3.278701349850E-1   2.442285799592E-1
   1.026700890030E-1   3.299632582883E-1   2.456968537640E-1
   1.033367778926E-1   3.320554125093E-1   2.471626663803E-1
   1.040034667822E-1   3.341465915036E-1   2.486260031250E-1
   1.046701556719E-1   3.362367891294E-1   2.500868493394E-1
   1.053368445615E-1   3.383259992480E-1   2.515451903900E-1
   1.060035334511E-1   3.404142157235E-1   2.530010116684E-1
   1.066702223407E-1   3.425014324228E-1   2.544542985913E-1
   1.073369112304E-1   3.445876432161E-1   2.559050366010E-1
   1.080036001200E-1   3.466728419762E-1   2.573532111651E-1
   1.086702890096E-1   3.487570225790E-1   2.587988077770E-1
   1.093369778993E-1   3.508401789034E-1   2.602418119559E-1
   1.100036667889E-1   3.529223048313E-1   2.616822092470E-1
   1.106703556785E-1   3.550033942476E-1   2.631199852216E-1
   1.113370445682E-1   3.570834410403E-1   2.645551254772E-1
   1.120037334578E-1   3.591624391004E-1   2.659876156378E-1
   1.126704223474E-1   3.612403823220E-1   2.674174413538E-1
   1.133371112370E-1   3.633172646024E-1   2.688445883025E-1
   1.140038001267E-1   3.653930798417E-1   2.702690421879E-1
   1.146704890163E-1   3.674678219436E-1   2.716907887409E-1
   1.153371779059E-1   3.695414848146E-1   2.731098137197E-1
   1.160038667956E-1   3.716140623644E-1   2.745261029097E-1
   1.166705556852E-1   3.736855485062E-1   2.759396421236E-1
   1.173372445748E-1   3.757559371559E-1   2.773504172018E-1
   1.180039334644E-1   3.778252222330E-1   2.787584140122E-1
   1.186706223541E-1   3.798933976602E-1   2.801636184509E-1
   1.193373112437E-1   3.819604573633E-1   2.815660164414E-1
   1.200040001333E-1   3.840263952715E-1   2.829655939359E-1
   1.206706890230E-1   3.860912053173E-1   2.843623369145E-1
   1.213373779126E-1   3.881548814365E-1   2.857562313857E-1
   1.220040668022E-1   3.902174175681E-1   2.871472633867E-1
   1.226707556919E-1   3.922788076546E-1   2.885354189832E-1
   1.233374445815E-1   3.943390456418E-1   2.899206842700E-1
   1.240041334711E-1   3.963981254790E-1   2.913030453704E-1
   1.246708223607E-1   3.984560411187E-1   2.926824884372E-1
   1.253375112504E-1   4.005127865170E-1   2.940589996523E-1
   1.260042001400E-1   4.025683556333E-1   2.954325652269E-1
   1.266708890296E-1   4.046227424306E-1   2.968031714017E-1
   1.273375779193E-1   4.066759408752E-1   2.981708044472E-1
   1.280042668089E-1   4.087279449370E-1   2.995354506635E-1
   1.286709556985E-1   4.107787485894E-1   3.008970963807E-1
   1.293376445882E-1   4.128283458094E-1   3.022557279590E-1
   1.300043334778E-1   4.148767305773E-1   3.036113317887E-1
   1.306710223674E-1   4.169238968772E-1   3.049638942906E-1
   1.313377112570E-1   4.189698386967E-1   3.063134019157E-1
   1.320044001467E-1   4.210145500270E-1   3.076598411458E-1
   1.326710890363E-1   4.230580248629E-1   3.090031984933E-1
   1.333377779259E-1   4.251002572028E-1   3.103434605018E-1
   1.340044668156E-1   4.271412410488E-1   3.116806137454E-1
   1.346711557052E-1   4.291809704066E-1   3.130146448297E-1
   1.353378445948E-1   4.312194392858E-1   3.143455403915E-1
   1.360045334844E-1   4.332566416994E-1   3.156732870990E-1
   1.366712223741E-1   4.352925716643E-1   3.169978716518E-1
   1.373379112637E-1   4.373272232011E-1   3.183192807814E-1
   1.380046001533E-1   4.393605903341E-1   3.196375012511E-1
   1.386712890430E-1   4.413926670915E-1   3.209525198559E-1
   1.393379779326E-1   4.434234475052E-1   3.222643234231E-1
   1.400046668222E-1   4.454529256109E-1   3.235728988122E-1
   1.406713557119E-1   4.474810954481E-1   3.248782329148E-1
   1.413380446015E-1   4.495079510603E-1   3.261803126553E-1
   1.420047334911E-1   4.515334864946E-1   3.274791249904E-1
   1.426714223807E-1   4.535576958023E-1   3.287746569098E-1
   1.433381112704E-1   4.555805730383E-1   3.300668954359E-1
   1.440048001600E-1   4.576021122615E-1   3.313558276240E-1
   1.446714890496E-1   4.596223075348E-1   3.326414405628E-1
   1.453381779393E-1   4.616411529251E-1   3.339237213741E-1
   1.460048668289E-1   4.636586425030E-1   3.352026572129E-1
   1.466715557185E-1   4.656747703435E-1   3.364782352680E-1
   1.473382446082E-1   4.676895305251E-1   3.377504427617E-1
   1.480049334978E-1   4.697029171307E-1   3.390192669500E-1
   1.486716223874E-1   4.717149242470E-1   3.402846951229E-1
   1.493383112770E-1   4.737255459650E-1   3.415467146045E-1
   1.500050001667E-1   4.757347763796E-1   3.428053127528E-1
   1.506716890563E-1   4.777426095897E-1   3.440604769602E-1
   1.513383779459E-1   4.797490396985E-1   3.453121946536E-1
   1.520050668356E-1   4.817540608133E-1   3.465604532942E-1
   1.526717557252E-1   4.837576670453E-1   3.478052403781E-1
   1.533384446148E-1   4.857598525102E-1   3.490465434360E-1
   1.540051335045E-1   4.877606113275E-1   3.502843500335E-1
   1.546718223941E-1   4.897599376213E-1   3.515186477713E-1
   1.553385112837E-1   4.917578255197E-1   3.527494242852E-1
   1.560052001733E-1   4.937542691548E-1   3.539766672464E-1
   1.566718890630E-1   4.957492626634E-1   3.552003643613E-1
   1.573385779526E-1   4.977428001862E-1   3.564205033719E-1
   1.580052668422E-1   4.997348758683E-1   3.576370720559E-1
   1.586719557319E-1   5.017254838591E-1   3.588500582268E-1
   1.593386446215E-1   5.037146183124E-1   3.600594497337E-1
   1.600053335111E-1   5.057022733861E-1   3.612652344621E-1
   1.606720224007E-1   5.076884432427E-1   3.624674003333E-1
   1.613387112904E-1   5.096731220488E-1   3.636659353051E-1
   1.620054001800E-1   5.116563039756E-1   3.648608273716E-1
   1.626720890696E-1   5.136379831986E-1   3.660520645632E-1
   1.633387779593E-1   5.156181538978E-1   3.672396349471E-1
   1.640054668489E-1   5.175968102574E-1   3.684235266274E-1
   1.646721557385E-1   5.195739464664E-1   3.696037277446E-1
   1.653388446282E-1   5.215495567179E-1   3.707802264765E-1
   1.660055335178E-1   5.235236352097E-1   3.719530110380E-1
   1.666722224074E-1   5.254961761441E-1   3.731220696810E-1
   1.673389112970E-1   5.274671737278E-1   3.742873906949E-1
   1.680056001867E-1   5.294366221722E-1   3.754489624064E-1
   1.686722890763E-1   5.314045156930E-1   3.766067731800E-1
   1.693389779659E-1   5.333708485107E-1   3.777608114175E-1
   1.700056668556E-1   5.353356148503E-1   3.789110655588E-1
   1.706723557452E-1   5.372988089414E-1   3.800575240815E-1
   1.713390446348E-1   5.392604250183E-1   3.812001755015E-1
   1.720057335245E-1   5.412204573197E-1   3.823390083726E-1
   1.726724224141E-1   5.431789000891E-1   3.834740112869E-1
   1.733391113037E-1   5.451357475748E-1   3.846051728748E-1
   1.740058001933E-1   5.470909940296E-1   3.857324818053E-1
   1.746724890830E-1   5.490446337110E-1   3.868559267860E-1
   1.753391779726E-1   5.509966608813E-1   3.879754965631E-1
   1.760058668622E-1   5.529470698076E-1   3.890911799217E-1
   1.766725557519E-1   5.548958547616E-1   3.902029656858E-1
   1.773392446415E-1   5.568430100199E-1   3.913108427185E-1
   1.780059335311E-1   5.587885298637E-1   3.924147999219E-1
   1.786726224207E-1   5.607324085792E-1   3.935148262375E-1
   1.793393113104E-1   5.626746404574E-1   3.946109106462E-1
   1.800060002000E-1   5.646152197939E-1   3.957030421683E-1
   1.806726890896E-1   5.665541408895E-1   3.967912098637E-1
   1.813393779793E-1   5.684913980497E-1   3.978754028320E-1
   1.820060668689E-1   5.704269855848E-1   3.989556102128E-1
   1.826727557585E-1   5.723608978102E-1   4.000318211853E-1
   1.833394446482E-1   5.742931290460E-1   4.011040249690E-1
   1.840061335378E-1   5.762236736175E-1   4.021722108234E-1
   1.846728224274E-1   5.781525258547E-1   4.032363680484E-1
   1.853395113170E-1   5.800796800926E-1   4.042964859840E-1
   1.860062002067E-1   5.820051306715E-1   4.053525540109E-1
   1.866728890963E-1   5.839288719363E-1   4.064045615503E-1
   1.873395779859E-1   5.858508982370E-1   4.074524980640E-1
   1.880062668756E-1   5.877712039290E-1   4.084963530546E-1
   1.886729557652E-1   5.896897833722E-1   4.095361160658E-1
   1.893396446548E-1   5.916066309321E-1   4.105717766819E-1
   1.900063335445E-1   5.935217409788E-1   4.116033245286E-1
   1.906730224341E-1   5.954351078878E-1   4.126307492728E-1
   1.913397113237E-1   5.973467260398E-1   4.136540406224E-1
   1.920064002133E-1   5.992565898204E-1   4.146731883271E-1
   1.926730891030E-1   6.011646936203E-1   4.156881821778E-1
   1.933397779926E-1   6.030710318358E-1   4.166990120072E-1
   1.940064668822E-1   6.049755988678E-1   4.177056676895E-1
   1.946731557719E-1   6.068783891230E-1   4.187081391411E-1
   1.953398446615E-1   6.087793970127E-1   4.197064163199E-1
   1.960065335511E-1   6.106786169541E-1   4.207004892260E-1
   1.966732224407E-1   6.125760433690E-1   4.216903479016E-1
   1.973399113304E-1   6.144716706849E-1   4.226759824311E-1
   1.980066002200E-1   6.163654933345E-1   4.236573829413E-1
   1.986732891096E-1   6.182575057557E-1   4.246345396013E-1
   1.993399779993E-1   6.201477023918E-1   4.256074426227E-1
   2.000066668889E-1   6.220360776914E-1   4.265760822598E-1
   2.006733557785E-1   6.239226261084E-1   4.275404488096E-1
   2.013400446682E-1   6.258073421022E-1   4.285005326118E-1
   2.020067335578E-1   6.276902201375E-1   4.294563240491E-1
   2.026734224474E-1   6.295712546843E-1   4.304078135472E-1
   2.033401113370E-1   6.314504402183E-1   4.313549915749E-1
   2.040068002267E-1   6.333277712202E-1   4.322978486440E-1
   2.046734891163E-1   6.352032421766E-1   4.332363753099E-1
   2.053401780059E-1   6.370768475792E-1   4.341705621711E-1
   2.060068668956E-1   6.389485819255E-1   4.351003998698E-1
   2.066735557852E-1   6.408184397182E-1   4.360258790915E-1
   2.073402446748E-1   6.426864154657E-1   4.369469905657E-1
   2.080069335645E-1   6.445525036818E-1   4.378637250653E-1
   2.086736224541E-1   6.464166988860E-1   4.387760734073E-1
   2.093403113437E-1   6.482789956032E-1   4.396840264524E-1
   2.100070002333E-1   6.501393883640E-1   4.405875751057E-1
   2.106736891230E-1   6.519978717045E-1   4.414867103161E-1
   2.113403780126E-1   6.538544401665E-1   4.423814230768E-1
   2.120070669022E-1   6.557090882973E-1   4.432717044253E-1
   2.126737557919E-1   6.575618106499E-1   4.441575454434E-1
   2.133404446815E-1   6.594126017831E-1   4.450389372577E-1
   2.140071335711E-1   6.612614562610E-1   4.459158710389E-1
   2.146738224607E-1   6.631083686539E-1   4.467883380028E-1
   2.153405113504E-1   6.649533335373E-1   4.476563294096E-1
   2.160072002400E-1   6.667963454929E-1   4.485198365646E-1
   2.166738891296E-1   6.686373991076E-1   4.493788508178E-1
   2.173405780193E-1   6.704764889745E-1   4.502333635643E-1
   2.180072669089E-1   6.723136096923E-1   4.510833662444E-1
   2.186739557985E-1   6.741487558654E-1   4.519288503434E-1
   2.193406446882E-1   6.759819221042E-1   4.527698073920E-1
   2.200073335778E-1   6.778131030247E-1   4.536062289660E-1
   2.206740224674E-1   6.796422932489E-1   4.544381066871E-1
   2.213407113570E-1   6.814694874046E-1   4.552654322220E-1
   2.220074002467E-1   6.832946801253E-1   4.560881972833E-1
   2.226740891363E-1   6.851178660507E-1   4.569063936293E-1
   2.233407780259E-1   6.869390398261E-1   4.577200130639E-1
   2.240074669156E-1   6.887581961028E-1   4.585290474370E-1
   2.246741558052E-1   6.905753295382E-1   4.593334886443E-1
   2.253408446948E-1   6.923904347953E-1   4.601333286276E-1
   2.260075335845E-1   6.942035065434E-1   4.609285593747E-1
   2.266742224741E-1   6.960145394575E-1   4.617191729197E-1
   2.273409113637E-1   6.978235282188E-1   4.625051613429E-1
   2.280076002533E-1   6.996304675143E-1   4.632865167709E-1
   2.286742891430E-1   7.014353520372E-1   4.640632313767E-1
   2.293409780326E-1   7.032381764867E-1   4.648352973798E-1
   2.300076669222E-1   7.050389355679E-1   4.656027070463E-1
   2.306743558119E-1   7.068376239922E-1   4.663654526890E-1
   2.313410447015E-1   7.086342364769E-1   4.671235266672E-1
   2.320077335911E-1   7.104287677455E-1   4.678769213873E-1
   2.326744224807E-1   7.122212125274E-1   4.686256293022E-1
   2.333411113704E-1   7.140115655586E-1   4.693696429122E-1
   2.340078002600E-1   7.157998215806E-1   4.701089547643E-1
   2.346744891496E-1   7.175859753417E-1   4.708435574526E-1
   2.353411780393E-1   7.193700215959E-1   4.715734436185E-1
   2.360078669289E-1   7.211519551036E-1   4.722986059506E-1
   2.366745558185E-1   7.229317706314E-1   4.730190371849E-1
   2.373412447082E-1   7.247094629520E-1   4.737347301046E-1
   2.380079335978E-1   7.264850268446E-1   4.744456775406E-1
   2.386746224874E-1   7.282584570943E-1   4.751518723711E-1
   2.393413113770E-1   7.300297484927E-1   4.758533075220E-1
   2.400080002667E-1   7.317988958376E-1   4.765499759671E-1
   2.406746891563E-1   7.335658939332E-1   4.772418707275E-1
   2.413413780459E-1   7.353307375899E-1   4.779289848726E-1
   2.420080669356E-1   7.370934216244E-1   4.786113115193E-1
   2.426747558252E-1   7.388539408599E-1   4.792888438327E-1
   2.433414447148E-1   7.406122901257E-1   4.799615750257E-1
   2.440081336045E-1   7.423684642579E-1   4.806294983596E-1
   2.446748224941E-1   7.441224580984E-1   4.812926071437E-1
   2.453415113837E-1   7.458742664961E-1   4.819508947353E-1
   2.460082002733E-1   7.476238843059E-1   4.826043545405E-1
   2.466748891630E-1   7.493713063893E-1   4.832529800133E-1
   2.473415780526E-1   7.511165276143E-1   4.838967646564E-1
   2.480082669422E-1   7.528595428552E-1   4.845357020208E-1
   2.486749558319E-1   7.546003469928E-1   4.851697857062E-1
   2.493416447215E-1   7.563389349147E-1   4.857990093609E-1
   2.500083336111E-1   7.580753015145E-1   4.864233666818E-1
   2.506750225008E-1   7.598094416928E-1   4.870428514147E-1
   2.513417113904E-1   7.615413503565E-1   4.876574573540E-1
   2.520084002800E-1   7.632710224190E-1   4.882671783431E-1
   2.526750891696E-1   7.649984528004E-1   4.888720082744E-1
   2.533417780593E-1   7.667236364274E-1   4.894719410892E-1
   2.540084669489E-1   7.684465682332E-1   4.900669707778E-1
   2.546751558385E-1   7.701672431576E-1   4.906570913797E-1
   2.553418447282E-1   7.718856561471E-1   4.912422969836E-1
   2.560085336178E-1   7.736018021549E-1   4.918225817274E-1
   2.566752225074E-1   7.753156761407E-1   4.923979397982E-1
   2.573419113970E-1   7.770272730709E-1   4.929683654326E-1
   2.580086002867E-1   7.787365879188E-1   4.935338529165E-1
   2.586752891763E-1   7.804436156642E-1   4.940943965854E-1
   2.593419780659E-1   7.821483512936E-1   4.946499908242E-1
   2.600086669556E-1   7.838507898004E-1   4.952006300674E-1
   2.606753558452E-1   7.855509261845E-1   4.957463087991E-1
   2.613420447348E-1   7.872487554528E-1   4.962870215532E-1
   2.620087336245E-1   7.889442726188E-1   4.968227629133E-1
   2.626754225141E-1   7.906374727029E-1   4.973535275128E-1
   2.633421114037E-1   7.923283507324E-1   4.978793100349E-1
   2.640088002933E-1   7.940169017411E-1   4.984001052127E-1
   2.646754891830E-1   7.957031207699E-1   4.989159078293E-1
   2.653421780726E-1   7.973870028665E-1   4.994267127180E-1
   2.660088669622E-1   7.990685430855E-1   4.999325147617E-1
   2.666755558519E-1   8.007477364882E-1   5.004333088939E-1
   2.673422447415E-1   8.024245781429E-1   5.009290900980E-1
   2.680089336311E-1   8.040990631249E-1   5.014198534077E-1
   2.686756225208E-1   8.057711865163E-1   5.019055939069E-1
   2.693423114104E-1   8.074409434062E-1   5.023863067298E-1
   2.700090003000E-1   8.091083288906E-1   5.028619870611E-1
   2.706756891896E-1   8.107733380725E-1   5.033326301357E-1
   2.713423780793E-1   8.124359660618E-1   5.037982312393E-1
   2.720090669689E-1   8.140962079756E-1   5.042587857077E-1
   2.726757558585E-1   8.157540589378E-1   5.047142889276E-1
   2.733424447482E-1   8.174095140794E-1   5.051647363360E-1
   2.740091336378E-1   8.190625685383E-1   5.056101234208E-1
   2.746758225274E-1   8.207132174598E-1   5.060504457204E-1
   2.753425114170E-1   8.223614559959E-1   5.064856988241E-1
   2.760092003067E-1   8.240072793059E-1   5.069158783718E-1
   2.766758891963E-1   8.256506825560E-1   5.073409800544E-1
   2.773425780859E-1   8.272916609197E-1   5.077609996135E-1
   2.780092669756E-1   8.289302095776E-1   5.081759328417E-1
   2.786759558652E-1   8.305663237173E-1   5.085857755826E-1
   2.793426447548E-1   8.321999985337E-1   5.089905237307E-1
   2.800093336445E-1   8.338312292287E-1   5.093901732316E-1
   2.806760225341E-1   8.354600110115E-1   5.097847200819E-1
   2.813427114237E-1   8.370863390985E-1   5.101741603293E-1
   2.820094003133E-1   8.387102087133E-1   5.105584900729E-1
   2.826760892030E-1   8.403316150866E-1   5.109377054626E-1
   2.833427780926E-1   8.419505534565E-1   5.113118026998E-1
   2.840094669822E-1   8.435670190683E-1   5.116807780372E-1
   2.846761558719E-1   8.451810071745E-1   5.120446277785E-1
   2.853428447615E-1   8.467925130348E-1   5.124033482792E-1
   2.860095336511E-1   8.484015319165E-1   5.127569359457E-1
   2.866762225408E-1   8.500080590939E-1   5.131053872362E-1
   2.873429114304E-1   8.516120898488E-1   5.134486986602E-1
   2.880096003200E-1   8.532136194702E-1   5.137868667786E-1
   2.886762892096E-1   8.548126432544E-1   5.141198882040E-1
   2.893429780993E-1   8.564091565054E-1   5.144477596005E-1
   2.900096669889E-1   8.580031545341E-1   5.147704776836E-1
   2.906763558785E-1   8.595946326592E-1   5.150880392206E-1
   2.913430447682E-1   8.611835862066E-1   5.154004410306E-1
   2.920097336578E-1   8.627700105095E-1   5.157076799840E-1
   2.926764225474E-1   8.643539009088E-1   5.160097530034E-1
   2.933431114370E-1   8.659352527527E-1   5.163066570626E-1
   2.940098003267E-1   8.675140613968E-1   5.165983891876E-1
   2.946764892163E-1   8.690903222043E-1   5.168849464561E-1
   2.953431781059E-1   8.706640305457E-1   5.171663259975E-1
   2.960098669956E-1   8.722351817993E-1   5.174425249932E-1
   2.966765558852E-1   8.738037713506E-1   5.177135406766E-1
   2.973432447748E-1   8.753697945928E-1   5.179793703327E-1
   2.980099336645E-1   8.769332469265E-1   5.182400112987E-1
   2.986766225541E-1   8.784941237600E-1   5.184954609638E-1
