#             R [au]        psi_0 [a.u.]
    0.000000000000E0    0.000000000000E0
   6.666888896297E-4   2.290480954189E-9
   1.333377779259E-3   1.832381097569E-8
   2.000066668889E-3   6.184265584316E-8
   2.666755558519E-3   1.465893147598E-7
   3.333444448148E-3   2.863055370709E-7
   4.000133337778E-3   4.947323389868E-7
   4.666822227408E-3   7.856098203143E-7
   5.333511117037E-3   1.172676981198E-6
   6.000200006667E-3   1.669671538874E-6
   6.666888896297E-3   2.290329744435E-6
   7.333577785926E-3   3.048386199617E-6
   8.000266675556E-3   3.957573673597E-6
   8.666955565186E-3   5.031622919816E-6
   9.333644454815E-3   6.284262492823E-6
   1.000033334444E-2   7.729218565138E-6
   1.066702223407E-2   9.380214744150E-6
   1.133371112370E-2   1.125097188903E-5
   1.200040001333E-2   1.335520792771E-5
   1.266708890296E-2   1.570663767380E-5
   1.333377779259E-2   1.831897264368E-5
   1.400046668222E-2   2.120592087352E-5
   1.466715557185E-2   2.438118673637E-5
   1.533384446148E-2   2.785847075926E-5
   1.600053335111E-2   3.165146944046E-5
   1.666722224074E-2   3.577387506658E-5
   1.733391113037E-2   4.023937552994E-5
   1.800060002000E-2   4.506165414580E-5
   1.866728890963E-2   5.025438946977E-5
   1.933397779926E-2   5.583125511519E-5
   2.000066668889E-2   6.180591957062E-5
   2.066735557852E-2   6.819204601734E-5
   2.133404446815E-2   7.500329214695E-5
   2.200073335778E-2   8.225330997899E-5
   2.266742224741E-2   8.995574567864E-5
   2.333411113704E-2   9.812423937451E-5
   2.400080002667E-2   1.067724249764E-4
   2.466748891630E-2   1.159139299934E-4
   2.533417780593E-2   1.255623753516E-4
   2.600086669556E-2   1.357313752121E-4
   2.666755558519E-2   1.464345367895E-4
   2.733424447482E-2   1.576854601697E-4
   2.800093336445E-2   1.694977381285E-4
   2.866762225408E-2   1.818849559495E-4
   2.933431114370E-2   1.948606912430E-4
   3.000100003333E-2   2.084385137642E-4
   3.066768892296E-2   2.226319852320E-4
   3.133437781259E-2   2.374546591473E-4
   3.200106670222E-2   2.529200806124E-4
   3.266775559185E-2   2.690417861494E-4
   3.333444448148E-2   2.858333035193E-4
   3.400113337111E-2   3.033081515408E-4
   3.466782226074E-2   3.214798399101E-4
   3.533451115037E-2   3.403618690195E-4
   3.600120004000E-2   3.599677297769E-4
   3.666788892963E-2   3.803109034255E-4
   3.733457781926E-2   4.014048613632E-4
   3.800126670889E-2   4.232630649622E-4
   3.866795559852E-2   4.458989653890E-4
   3.933464448815E-2   4.693260034240E-4
   4.000133337778E-2   4.935576092816E-4
   4.066802226741E-2   5.186072024306E-4
   4.133471115704E-2   5.444881914139E-4
   4.200140004667E-2   5.712139736693E-4
   4.266808893630E-2   5.987979353499E-4
   4.333477782593E-2   6.272534511446E-4
   4.400146671556E-2   6.565938840986E-4
   4.466815560519E-2   6.868325854348E-4
   4.533484449482E-2   7.179828943743E-4
   4.600153338445E-2   7.500581379578E-4
   4.666822227408E-2   7.830716308665E-4
   4.733491116371E-2   8.170366752440E-4
   4.800160005334E-2   8.519665605172E-4
   4.866828894296E-2   8.878745632186E-4
   4.933497783259E-2   9.247739468074E-4
   5.000166672222E-2   9.626779614920E-4
   5.066835561185E-2   1.001599844052E-3
   5.133504450148E-2   1.041552817660E-3
   5.200173339111E-2   1.082550091704E-3
   5.266842228074E-2   1.124604861611E-3
   5.333511117037E-2   1.167730308668E-3
   5.400180006000E-2   1.211939599847E-3
   5.466848894963E-2   1.257245887625E-3
   5.533517783926E-2   1.303662309810E-3
   5.600186672889E-2   1.351201989362E-3
   5.666855561852E-2   1.399878034220E-3
   5.733524450815E-2   1.449703537119E-3
   5.800193339778E-2   1.500691575424E-3
   5.866862228741E-2   1.552855210941E-3
   5.933531117704E-2   1.606207489755E-3
   6.000200006667E-2   1.660761442041E-3
   6.066868895630E-2   1.716530081901E-3
   6.133537784593E-2   1.773526407177E-3
   6.200206673556E-2   1.831763399285E-3
   6.266875562519E-2   1.891254023036E-3
   6.333544451482E-2   1.952011226460E-3
   6.400213340445E-2   2.014047940634E-3
   6.466882229408E-2   2.077377079506E-3
   6.533551118371E-2   2.142011539723E-3
   6.600220007334E-2   2.207964200452E-3
   6.666888896297E-2   2.275247923212E-3
   6.733557785260E-2   2.343875551696E-3
   6.800226674222E-2   2.413859911601E-3
   6.866895563185E-2   2.485213810451E-3
   6.933564452148E-2   2.557950037427E-3
   7.000233341111E-2   2.632081363192E-3
   7.066902230074E-2   2.707620539718E-3
   7.133571119037E-2   2.784580300119E-3
   7.200240008000E-2   2.862973358469E-3
   7.266908896963E-2   2.942812409639E-3
   7.333577785926E-2   3.024110129120E-3
   7.400246674889E-2   3.106879172854E-3
   7.466915563852E-2   3.191132177058E-3
   7.533584452815E-2   3.276881758061E-3
   7.600253341778E-2   3.364140512124E-3
   7.666922230741E-2   3.452921015276E-3
   7.733591119704E-2   3.543235823140E-3
