#             R [au]        psi_0 [a.u.]
   5.666855561852E-2  6.435598593186E-11
   5.733524450815E-2  6.743807796458E-11
   5.800193339778E-2  7.062956014542E-11
   5.866862228741E-2  7.393298994727E-11
   5.933531117704E-2  7.735095435263E-11
   6.000200006667E-2  8.088606985159E-11
   6.066868895630E-2  8.454098243992E-11
   6.133537784593E-2  8.831836761704E-11
   6.200206673556E-2  9.222093038400E-11
   6.266875562519E-2  9.625140524149E-11
   6.333544451482E-2  1.004125561877E-10
   6.400213340445E-2  1.047071767163E-10
   6.466882229408E-2  1.091380898143E-10
   6.533551118371E-2  1.137081479599E-10
   6.600220007334E-2  1.184202331205E-10
   6.666888896297E-2  1.232772567502E-10
   6.733557785260E-2  1.282821597879E-10
   6.800226674222E-2  1.334379126551E-10
   6.866895563185E-2  1.387475152534E-10
   6.933564452148E-2  1.442139969623E-10
   7.000233341111E-2  1.498404166373E-10
   7.066902230074E-2  1.556298626070E-10
   7.133571119037E-2  1.615854526711E-10
   7.200240008000E-2  1.677103340983E-10
   7.266908896963E-2  1.740076836233E-10
   7.333577785926E-2  1.804807074448E-10
   7.400246674889E-2  1.871326412232E-10
   7.466915563852E-2  1.939667500778E-10
   7.533584452815E-2  2.009863285847E-10
   7.600253341778E-2  2.081947007740E-10
   7.666922230741E-2  2.155952201275E-10
   7.733591119704E-2  2.231912695760E-10
   7.800260008667E-2  2.309862614970E-10
   7.866928897630E-2  2.389836377118E-10
   7.933597786593E-2  2.471868694834E-10
   8.000266675556E-2  2.555994575132E-10
   8.066935564519E-2  2.642249319389E-10
   8.133604453482E-2  2.730668523318E-10
   8.200273342445E-2  2.821288076936E-10
   8.266942231408E-2  2.914144164545E-10
   8.333611120371E-2  3.009273264697E-10
   8.400280009334E-2  3.106712150173E-10
   8.466948898297E-2  3.206497887949E-10
   8.533617787260E-2  3.308667839174E-10
   8.600286676223E-2  3.413259659138E-10
   8.666955565186E-2  3.520311297243E-10
   8.733624454148E-2  3.629860996979E-10
   8.800293343111E-2  3.741947295891E-10
   8.866962232074E-2  3.856609025550E-10
   8.933631121037E-2  3.973885311526E-10
   9.000300010000E-2  4.093815573358E-10
   9.066968898963E-2  4.216439524522E-10
   9.133637787926E-2  4.341797172404E-10
   9.200306676889E-2  4.469928818267E-10
   9.266975565852E-2  4.600875057224E-10
   9.333644454815E-2  4.734676778203E-10
   9.400313343778E-2  4.871375163922E-10
   9.466982232741E-2  5.011011690852E-10
   9.533651121704E-2  5.153628129189E-10
   9.600320010667E-2  5.299266542821E-10
   9.666988899630E-2  5.447969289298E-10
   9.733657788593E-2  5.599779019800E-10
   9.800326677556E-2  5.754738679101E-10
   9.866995566519E-2  5.912891505543E-10
   9.933664455482E-2  6.074281030997E-10
   1.000033334444E-1  6.238951080835E-10
   1.006700223341E-1  6.406945773895E-10
   1.013367112237E-1  6.578309522445E-10
   1.020034001133E-1  6.753087032157E-10
   1.026700890030E-1  6.931323302064E-10
   1.033367778926E-1  7.113063624534E-10
   1.040034667822E-1  7.298353585229E-10
   1.046701556719E-1  7.487239063077E-10
   1.053368445615E-1  7.679766230234E-10
   1.060035334511E-1  7.875981552048E-10
   1.066702223407E-1  8.075931787027E-10
   1.073369112304E-1  8.279663986800E-10
   1.080036001200E-1  8.487225496088E-10
   1.086702890096E-1  8.698663952661E-10
   1.093369778993E-1  8.914027287304E-10
   1.100036667889E-1  9.133363723785E-10
   1.106703556785E-1  9.356721778814E-10
   1.113370445682E-1  9.584150262007E-10
   1.120037334578E-1  9.815698275853E-10
   1.126704223474E-1   1.005141521567E-9
   1.133371112370E-1   1.029135076958E-9
   1.140038001267E-1   1.053555491845E-9
   1.146704890163E-1   1.078407793588E-9
   1.153371779059E-1   1.103697038815E-9
   1.160038667956E-1   1.129428313417E-9
   1.166705556852E-1   1.155606732548E-9
   1.173372445748E-1   1.182237440618E-9
   1.180039334644E-1   1.209325611289E-9
   1.186706223541E-1   1.236876447471E-9
   1.193373112437E-1   1.264895181323E-9
   1.200040001333E-1   1.293387074242E-9
   1.206706890230E-1   1.322357416861E-9
   1.213373779126E-1   1.351811529050E-9
   1.220040668022E-1   1.381754759905E-9
   1.226707556919E-1   1.412192487748E-9
   1.233374445815E-1   1.443130120123E-9
   1.240041334711E-1   1.474573093789E-9
   1.246708223607E-1   1.506526874720E-9
   1.253375112504E-1   1.538996958097E-9
   1.260042001400E-1   1.571988868307E-9
   1.266708890296E-1   1.605508158935E-9
   1.273375779193E-1   1.639560412765E-9
   1.280042668089E-1   1.674151241772E-9
   1.286709556985E-1   1.709286287119E-9
   1.293376445882E-1   1.744971219151E-9
   1.300043334778E-1   1.781211737394E-9
   1.306710223674E-1   1.818013570548E-9
   1.313377112570E-1   1.855382476484E-9
   1.320044001467E-1   1.893324242240E-9
   1.326710890363E-1   1.931844684014E-9
   1.333377779259E-1   1.970949647163E-9
   1.340044668156E-1   2.010645006197E-9
   1.346711557052E-1   2.050936664773E-9
   1.353378445948E-1   2.091830555696E-9
   1.360045334844E-1   2.133332640906E-9
   1.366712223741E-1   2.175448911482E-9
   1.373379112637E-1   2.218185387631E-9
   1.380046001533E-1   2.261548118688E-9
   1.386712890430E-1   2.305543183109E-9
   1.393379779326E-1   2.350176688467E-9
   1.400046668222E-1   2.395454771447E-9
   1.406713557119E-1   2.441383597842E-9
   1.413380446015E-1   2.487969362550E-9
   1.420047334911E-1   2.535218289563E-9
   1.426714223807E-1   2.583136631972E-9
   1.433381112704E-1   2.631730671953E-9
   1.440048001600E-1   2.681006720767E-9
   1.446714890496E-1   2.730971118757E-9
   1.453381779393E-1   2.781630235339E-9
   1.460048668289E-1   2.832990468997E-9
   1.466715557185E-1   2.885058247284E-9
   1.473382446082E-1   2.937840026809E-9
   1.480049334978E-1   2.991342293241E-9
   1.486716223874E-1   3.045571561296E-9
   1.493383112770E-1   3.100534374736E-9
   1.500050001667E-1   3.156237306365E-9
   1.506716890563E-1   3.212686958022E-9
   1.513383779459E-1   3.269889960575E-9
   1.520050668356E-1   3.327852973921E-9
   1.526717557252E-1   3.386582686976E-9
   1.533384446148E-1   3.446085817669E-9
   1.540051335045E-1   3.506369112944E-9
   1.546718223941E-1   3.567439348748E-9
   1.553385112837E-1   3.629303330028E-9
   1.560052001733E-1   3.691967890727E-9
   1.566718890630E-1   3.755439893778E-9
   1.573385779526E-1   3.819726231098E-9
   1.580052668422E-1   3.884833823585E-9
   1.586719557319E-1   3.950769621110E-9
   1.593386446215E-1   4.017540602514E-9
   1.600053335111E-1   4.085153775601E-9
   1.606720224007E-1   4.153616177135E-9
   1.613387112904E-1   4.222934872832E-9
   1.620054001800E-1   4.293116957356E-9
   1.626720890696E-1   4.364169554314E-9
   1.633387779593E-1   4.436099816251E-9
   1.640054668489E-1   4.508914924642E-9
   1.646721557385E-1   4.582622089890E-9
   1.653388446282E-1   4.657228551318E-9
   1.660055335178E-1   4.732741577164E-9
   1.666722224074E-1   4.809168464578E-9
   1.673389112970E-1   4.886516539612E-9
   1.680056001867E-1   4.964793157218E-9
   1.686722890763E-1   5.044005701241E-9
   1.693389779659E-1   5.124161584416E-9
   1.700056668556E-1   5.205268248356E-9
   1.706723557452E-1   5.287333163555E-9
   1.713390446348E-1   5.370363829375E-9
   1.720057335245E-1   5.454367774044E-9
   1.726724224141E-1   5.539352554650E-9
   1.733391113037E-1   5.625325757135E-9
   1.740058001933E-1   5.712294996288E-9
   1.746724890830E-1   5.800267915741E-9
   1.753391779726E-1   5.889252187963E-9
   1.760058668622E-1   5.979255514255E-9
   1.766725557519E-1   6.070285624739E-9
   1.773392446415E-1   6.162350278361E-9
   1.780059335311E-1   6.255457262877E-9
   1.786726224207E-1   6.349614394851E-9
   1.793393113104E-1   6.444829519651E-9
   1.800060002000E-1   6.541110511436E-9
   1.806726890896E-1   6.638465273159E-9
   1.813393779793E-1   6.736901736555E-9
   1.820060668689E-1   6.836427862135E-9
   1.826727557585E-1   6.937051639185E-9
   1.833394446482E-1   7.038781085754E-9
   1.840061335378E-1   7.141624248651E-9
   1.846728224274E-1   7.245589203440E-9
   1.853395113170E-1   7.350684054432E-9
   1.860062002067E-1   7.456916934676E-9
   1.866728890963E-1   7.564296005961E-9
   1.873395779859E-1   7.672829458802E-9
   1.880062668756E-1   7.782525512438E-9
   1.886729557652E-1   7.893392414823E-9
   1.893396446548E-1   8.005438442623E-9
   1.900063335445E-1   8.118671901207E-9
   1.906730224341E-1   8.233101124643E-9
   1.913397113237E-1   8.348734475690E-9
   1.920064002133E-1   8.465580345790E-9
   1.926730891030E-1   8.583647155067E-9
   1.933397779926E-1   8.702943352317E-9
   1.940064668822E-1   8.823477415000E-9
   1.946731557719E-1   8.945257849237E-9
   1.953398446615E-1   9.068293189803E-9
   1.960065335511E-1   9.192592000120E-9
   1.966732224407E-1   9.318162872247E-9
   1.973399113304E-1   9.445014426880E-9
   1.980066002200E-1   9.573155313343E-9
   1.986732891096E-1   9.702594209578E-9
   1.993399779993E-1   9.833339822143E-9
   2.000066668889E-1   9.965400886204E-9
   2.006733557785E-1   1.009878616553E-8
   2.013400446682E-1   1.023350445247E-8
   2.020067335578E-1   1.036956456798E-8
   2.026734224474E-1   1.050697536160E-8
   2.033401113370E-1   1.064574571142E-8
   2.040068002267E-1   1.078588452411E-8
   2.046734891163E-1   1.092740073492E-8
   2.053401780059E-1   1.107030330762E-8
   2.060068668956E-1   1.121460123455E-8
   2.066735557852E-1   1.136030353658E-8
   2.073402446748E-1   1.150741926313E-8
   2.080069335645E-1   1.165595749213E-8
   2.086736224541E-1   1.180592733003E-8
   2.093403113437E-1   1.195733791181E-8
   2.100070002333E-1   1.211019840094E-8
   2.106736891230E-1   1.226451798940E-8
   2.113403780126E-1   1.242030589765E-8
   2.120070669022E-1   1.257757137464E-8
   2.126737557919E-1   1.273632369781E-8
   2.133404446815E-1   1.289657217306E-8
   2.140071335711E-1   1.305832613476E-8
   2.146738224607E-1   1.322159494573E-8
   2.153405113504E-1   1.338638799725E-8
   2.160072002400E-1   1.355271470904E-8
   2.166738891296E-1   1.372058452924E-8
   2.173405780193E-1   1.389000693445E-8
   2.180072669089E-1   1.406099142966E-8
   2.186739557985E-1   1.423354754830E-8
   2.193406446882E-1   1.440768485220E-8
   2.200073335778E-1   1.458341293157E-8
   2.206740224674E-1   1.476074140505E-8
   2.213407113570E-1   1.493967991964E-8
   2.220074002467E-1   1.512023815071E-8
   2.226740891363E-1   1.530242580204E-8
   2.233407780259E-1   1.548625260572E-8
   2.240074669156E-1   1.567172832225E-8
   2.246741558052E-1   1.585886274044E-8
   2.253408446948E-1   1.604766567746E-8
   2.260075335845E-1   1.623814697881E-8
   2.266742224741E-1   1.643031651831E-8
   2.273409113637E-1   1.662418419811E-8
   2.280076002533E-1   1.681975994867E-8
   2.286742891430E-1   1.701705372874E-8
   2.293409780326E-1   1.721607552539E-8
   2.300076669222E-1   1.741683535396E-8
   2.306743558119E-1   1.761934325808E-8
   2.313410447015E-1   1.782360930966E-8
   2.320077335911E-1   1.802964360885E-8
   2.326744224807E-1   1.823745628410E-8
   2.333411113704E-1   1.844705749207E-8
   2.340078002600E-1   1.865845741768E-8
   2.346744891496E-1   1.887166627411E-8
   2.353411780393E-1   1.908669430272E-8
   2.360078669289E-1   1.930355177313E-8
   2.366745558185E-1   1.952224898315E-8
   2.373412447082E-1   1.974279625881E-8
   2.380079335978E-1   1.996520395431E-8
   2.386746224874E-1   2.018948245208E-8
   2.393413113770E-1   2.041564216270E-8
   2.400080002667E-1   2.064369352493E-8
   2.406746891563E-1   2.087364700570E-8
   2.413413780459E-1   2.110551310009E-8
   2.420080669356E-1   2.133930233134E-8
   2.426747558252E-1   2.157502525082E-8
   2.433414447148E-1   2.181269243805E-8
   2.440081336045E-1   2.205231450064E-8
   2.446748224941E-1   2.229390207437E-8
   2.453415113837E-1   2.253746582308E-8
   2.460082002733E-1   2.278301643875E-8
   2.466748891630E-1   2.303056464142E-8
   2.473415780526E-1   2.328012117924E-8
   2.480082669422E-1   2.353169682842E-8
   2.486749558319E-1   2.378530239325E-8
   2.493416447215E-1   2.404094870609E-8
   2.500083336111E-1   2.429864662732E-8
   2.506750225008E-1   2.455840704539E-8
   2.513417113904E-1   2.482024087678E-8
   2.520084002800E-1   2.508415906601E-8
   2.526750891696E-1   2.535017258559E-8
   2.533417780593E-1   2.561829243606E-8
   2.540084669489E-1   2.588852964597E-8
   2.546751558385E-1   2.616089527185E-8
   2.553418447282E-1   2.643540039823E-8
   2.560085336178E-1   2.671205613759E-8
   2.566752225074E-1   2.699087363041E-8
   2.573419113970E-1   2.727186404512E-8
   2.580086002867E-1   2.755503857810E-8
   2.586752891763E-1   2.784040845367E-8
   2.593419780659E-1   2.812798492410E-8
   2.600086669556E-1   2.841777926957E-8
   2.606753558452E-1   2.870980279819E-8
   2.613420447348E-1   2.900406684598E-8
   2.620087336245E-1   2.930058277684E-8
   2.626754225141E-1   2.959936198260E-8
   2.633421114037E-1   2.990041588294E-8
   2.640088002933E-1   3.020375592544E-8
   2.646754891830E-1   3.050939358552E-8
   2.653421780726E-1   3.081734036649E-8
   2.660088669622E-1   3.112760779948E-8
   2.666755558519E-1   3.144020744348E-8
   2.673422447415E-1   3.175515088530E-8
   2.680089336311E-1   3.207244973958E-8
   2.686756225208E-1   3.239211564877E-8
