#             R [au]        psi_0 [a.u.]
    0.000000000000E0    0.000000000000E0
   6.666888896297E-4  7.661492665027E-10
   1.333377779259E-3   2.931353304504E-9
   2.000066668889E-3   6.567260673510E-9
   2.666755558519E-3   1.166295326079E-8
   3.333444448148E-3   1.821659143828E-8
   4.000133337778E-3   2.622757391616E-8
   4.666822227408E-3   3.569564186652E-8
   5.333511117037E-3   4.662066325175E-8
   6.000200006667E-3   5.900256175848E-8
   6.666888896297E-3   7.284128850175E-8
   7.333577785926E-3   8.813680919096E-8
   8.000266675556E-3   1.048890977201E-7
   8.666955565186E-3   1.230981327186E-7
   9.333644454815E-3   1.427638955810E-7
   1.000033334444E-2   1.638863692852E-7
   1.066702223407E-2   1.864655376539E-7
   1.133371112370E-2   2.105013848767E-7
   1.200040001333E-2   2.359938951918E-7
   1.266708890296E-2   2.629430526679E-7
   1.333377779259E-2   2.913488410516E-7
   1.400046668222E-2   3.212112436586E-7
   1.466715557185E-2   3.525302432946E-7
   1.533384446148E-2   3.853058221963E-7
   1.600053335111E-2   4.195379619880E-7
   1.666722224074E-2   4.552266436478E-7
   1.733391113037E-2   4.923718474822E-7
   1.800060002000E-2   5.309735531060E-7
   1.866728890963E-2   5.710317394267E-7
   1.933397779926E-2   6.125463846321E-7
   2.000066668889E-2   6.555174661800E-7
   2.066735557852E-2   6.999449607907E-7
   2.133404446815E-2   7.458288444404E-7
   2.200073335778E-2   7.931690923554E-7
   2.266742224741E-2   8.419656790081E-7
   2.333411113704E-2   8.922185781135E-7
   2.400080002667E-2   9.439277626258E-7
   2.466748891630E-2   9.970932047363E-7
   2.533417780593E-2   1.051714875871E-6
   2.600086669556E-2   1.107792746688E-6
   2.666755558519E-2   1.165326787078E-6
   2.733424447482E-2   1.224316966161E-6
   2.800093336445E-2   1.284763252287E-6
   2.866762225408E-2   1.346665613032E-6
   2.933431114370E-2   1.410024015203E-6
   3.000100003333E-2   1.474838424828E-6
   3.066768892296E-2   1.541108807166E-6
   3.133437781259E-2   1.608835126699E-6
   3.200106670222E-2   1.678017347134E-6
   3.266775559185E-2   1.748655431402E-6
   3.333444448148E-2   1.820749341660E-6
   3.400113337111E-2   1.894299039286E-6
   3.466782226074E-2   1.969304484886E-6
   3.533451115037E-2   2.045765638283E-6
   3.600120004000E-2   2.123682458530E-6
   3.666788892963E-2   2.203054903897E-6
   3.733457781926E-2   2.283882931880E-6
   3.800126670889E-2   2.366166499198E-6
   3.866795559852E-2   2.449905561790E-6
   3.933464448815E-2   2.535100074819E-6
   4.000133337778E-2   2.621749992670E-6
   4.066802226741E-2   2.709855268951E-6
   4.133471115704E-2   2.799415856491E-6
   4.200140004667E-2   2.890431707341E-6
   4.266808893630E-2   2.982902772775E-6
   4.333477782593E-2   3.076829003288E-6
   4.400146671556E-2   3.172210348597E-6
   4.466815560519E-2   3.269046757642E-6
   4.533484449482E-2   3.367338178583E-6
   4.600153338445E-2   3.467084558804E-6
   4.666822227408E-2   3.568285844908E-6
   4.733491116371E-2   3.670941982723E-6
   4.800160005334E-2   3.775052917297E-6
   4.866828894296E-2   3.880618592899E-6
   4.933497783259E-2   3.987638953022E-6
   5.000166672222E-2   4.096113940378E-6
   5.066835561185E-2   4.206043496903E-6
   5.133504450148E-2   4.317427563755E-6
   5.200173339111E-2   4.430266081311E-6
   5.266842228074E-2   4.544558989172E-6
   5.333511117037E-2   4.660306226161E-6
   5.400180006000E-2   4.777507730322E-6
   5.466848894963E-2   4.896163438921E-6
   5.533517783926E-2   5.016273288445E-6
   5.600186672889E-2   5.137837214604E-6
   5.666855561852E-2   5.260855152330E-6
   5.733524450815E-2   5.385327035776E-6
   5.800193339778E-2   5.511252798316E-6
   5.866862228741E-2   5.638632372549E-6
   5.933531117704E-2   5.767465690293E-6
   6.000200006667E-2   5.897752682589E-6
   6.066868895630E-2   6.029493279701E-6
   6.133537784593E-2   6.162687411112E-6
   6.200206673556E-2   6.297335005531E-6
   6.266875562519E-2   6.433435990887E-6
   6.333544451482E-2   6.570990294330E-6
   6.400213340445E-2   6.709997842234E-6
   6.466882229408E-2   6.850458560194E-6
   6.533551118371E-2   6.992372373029E-6
   6.600220007334E-2   7.135739204777E-6
   6.666888896297E-2   7.280558978701E-6
   6.733557785260E-2   7.426831617286E-6
   6.800226674222E-2   7.574557042237E-6
   6.866895563185E-2   7.723735174485E-6
   6.933564452148E-2   7.874365934179E-6
   7.000233341111E-2   8.026449240695E-6
   7.066902230074E-2   8.179985012628E-6
   7.133571119037E-2   8.334973167797E-6
   7.200240008000E-2   8.491413623243E-6
   7.266908896963E-2   8.649306295229E-6
   7.333577785926E-2   8.808651099243E-6
   7.400246674889E-2   8.969447949993E-6
   7.466915563852E-2   9.131696761411E-6
   7.533584452815E-2   9.295397446651E-6
   7.600253341778E-2   9.460549918089E-6
   7.666922230741E-2   9.627154087327E-6
   7.733591119704E-2   9.795209865186E-6
   7.800260008667E-2   9.964717161713E-6
