#             R [au]        psi_0 [a.u.]        psi_1 [a.u.]
    0.000000000000E0    0.000000000000E0    0.000000000000E0
   6.666888896297E-4   2.175229181701E-3   2.301822381181E-3
   1.333377779259E-3   4.350451948184E-3   4.603621316538E-3
   2.000066668889E-3   6.525661884249E-3   6.905373360485E-3
   2.666755558519E-3   8.700852574735E-3   9.207055067914E-3
   3.333444448148E-3   1.087601760454E-2   1.150864299443E-2
   4.000133337778E-3   1.305115055863E-2   1.381011369661E-2
   4.666822227408E-3   1.522624502207E-2   1.611144373219E-2
   5.333511117037E-3   1.740129458004E-2   1.841260966038E-2
   6.000200006667E-3   1.957629281785E-2   2.071358804203E-2
   6.666888896297E-3   2.175123332097E-2   2.301435543992E-2
   7.333577785926E-3   2.392610967503E-2   2.531488841897E-2
   8.000266675556E-3   2.610091546585E-2   2.761516354648E-2
   8.666955565186E-3   2.827564427946E-2   2.991515739240E-2
   9.333644454815E-3   3.045028970212E-2   3.221484652952E-2
   1.000033334444E-2   3.262484532033E-2   3.451420753375E-2
   1.066702223407E-2   3.479930472086E-2   3.681321698433E-2
   1.133371112370E-2   3.697366149076E-2   3.911185146410E-2
   1.200040001333E-2   3.914790921739E-2   4.141008755969E-2
   1.266708890296E-2   4.132204148842E-2   4.370790186182E-2
   1.333377779259E-2   4.349605189187E-2   4.600527096548E-2
   1.400046668222E-2   4.566993401612E-2   4.830217147021E-2
   1.466715557185E-2   4.784368144992E-2   5.059857998032E-2
   1.533384446148E-2   5.001728778241E-2   5.289447310513E-2
   1.600053335111E-2   5.219074660318E-2   5.518982745920E-2
   1.666722224074E-2   5.436405150222E-2   5.748461966260E-2
   1.733391113037E-2   5.653719606999E-2   5.977882634111E-2
   1.800060002000E-2   5.871017389741E-2   6.207242412648E-2
   1.866728890963E-2   6.088297857592E-2   6.436538965665E-2
   1.933397779926E-2   6.305560369744E-2   6.665769957602E-2
   2.000066668889E-2   6.522804285443E-2   6.894933053565E-2
   2.066735557852E-2   6.740028963991E-2   7.124025919353E-2
   2.133404446815E-2   6.957233764745E-2   7.353046221478E-2
   2.200073335778E-2   7.174418047121E-2   7.581991627195E-2
   2.266742224741E-2   7.391581170597E-2   7.810859804518E-2
   2.333411113704E-2   7.608722494711E-2   8.039648422250E-2
   2.400080002667E-2   7.825841379067E-2   8.268355150004E-2
   2.466748891630E-2   8.042937183336E-2   8.496977658226E-2
   2.533417780593E-2   8.260009267254E-2   8.725513618221E-2
   2.600086669556E-2   8.477056990630E-2   8.953960702175E-2
   2.666755558519E-2   8.694079713342E-2   9.182316583179E-2
   2.733424447482E-2   8.911076795346E-2   9.410578935254E-2
   2.800093336445E-2   9.128047596669E-2   9.638745433373E-2
   2.866762225408E-2   9.344991477418E-2   9.866813753486E-2
   2.933431114370E-2   9.561907797779E-2   1.009478157254E-1
   3.000100003333E-2   9.778795918018E-2   1.032264656851E-1
   3.066768892296E-2   9.995655198487E-2   1.055040642042E-1
   3.133437781259E-2   1.021248499962E-1   1.077805880836E-1
   3.200106670222E-2   1.042928468194E-1   1.100560141350E-1
   3.266775559185E-2   1.064605360606E-1   1.123303191817E-1
   3.333444448148E-2   1.086279113268E-1   1.146034800580E-1
   3.400113337111E-2   1.107949662259E-1   1.168754736101E-1
   3.466782226074E-2   1.129616943669E-1   1.191462766959E-1
   3.533451115037E-2   1.151280893596E-1   1.214158661857E-1
   3.600120004000E-2   1.172941448147E-1   1.236842189618E-1
   3.666788892963E-2   1.194598543443E-1   1.259513119193E-1
   3.733457781926E-2   1.216252115610E-1   1.282171219663E-1
   3.800126670889E-2   1.237902100789E-1   1.304816260237E-1
   3.866795559852E-2   1.259548435128E-1   1.327448010257E-1
   3.933464448815E-2   1.281191054789E-1   1.350066239203E-1
   4.000133337778E-2   1.302829895941E-1   1.372670716689E-1
   4.066802226741E-2   1.324464894769E-1   1.395261212473E-1
   4.133471115704E-2   1.346095987464E-1   1.417837496452E-1
   4.200140004667E-2   1.367723110233E-1   1.440399338670E-1
   4.266808893630E-2   1.389346199293E-1   1.462946509317E-1
   4.333477782593E-2   1.410965190873E-1   1.485478778733E-1
   4.400146671556E-2   1.432580021213E-1   1.507995917410E-1
   4.466815560519E-2   1.454190626566E-1   1.530497695993E-1
   4.533484449482E-2   1.475796943199E-1   1.552983885285E-1
   4.600153338445E-2   1.497398907389E-1   1.575454256246E-1
   4.666822227408E-2   1.518996455429E-1   1.597908579998E-1
   4.733491116371E-2   1.540589523621E-1   1.620346627828E-1
   4.800160005334E-2   1.562178048284E-1   1.642768171185E-1
   4.866828894296E-2   1.583761965747E-1   1.665172981690E-1
   4.933497783259E-2   1.605341212357E-1   1.687560831133E-1
   5.000166672222E-2   1.626915724470E-1   1.709931491476E-1
   5.066835561185E-2   1.648485438459E-1   1.732284734856E-1
   5.133504450148E-2   1.670050290711E-1   1.754620333589E-1
   5.200173339111E-2   1.691610217625E-1   1.776938060170E-1
   5.266842228074E-2   1.713165155617E-1   1.799237687276E-1
   5.333511117037E-2   1.734715041117E-1   1.821518987767E-1
   5.400180006000E-2   1.756259810569E-1   1.843781734692E-1
   5.466848894963E-2   1.777799400434E-1   1.866025701287E-1
