#             R [au]        psi_0 [a.u.]
    0.000000000000E0    0.000000000000E0
   6.666888896297E-4   2.331335460581E-9
   1.333377779259E-3   1.865064612674E-8
   2.000066668889E-3   6.294571941494E-8
   2.666755558519E-3   1.492039671654E-7
   3.333444448148E-3   2.914122378593E-7
   4.000133337778E-3   5.035566288418E-7
   4.666822227408E-3   7.996222985535E-7
   5.333511117037E-3   1.193593278772E-6
   6.000200006667E-3   1.699452286868E-6
   6.666888896297E-3   2.331180538069E-6
   7.333577785926E-3   3.102757557750E-6
   8.000266675556E-3   4.028160993733E-6
   8.666955565186E-3   5.121366428614E-6
   9.333644454815E-3   6.396347192106E-6
   1.000033334444E-2   7.867074173414E-6
   1.066702223407E-2   9.547515633631E-6
   1.133371112370E-2   1.145163701817E-5
   1.200040001333E-2   1.359340076921E-5
   1.266708890296E-2   1.598676613820E-5
   1.333377779259E-2   1.864568899838E-5
   1.400046668222E-2   2.158412165734E-5
   1.466715557185E-2   2.481601266962E-5
   1.533384446148E-2   2.835530664938E-5
   1.600053335111E-2   3.221594408303E-5
   1.666722224074E-2   3.641186114203E-5
   1.733391113037E-2   4.095698949562E-5
   1.800060002000E-2   4.586525612365E-5
   1.866728890963E-2   5.115058312950E-5
   1.933397779926E-2   5.682688755297E-5
   2.000066668889E-2   6.290808118327E-5
   2.066735557852E-2   6.940807037212E-5
   2.133404446815E-2   7.634075584677E-5
   2.200073335778E-2   8.372003252326E-5
   2.266742224741E-2   9.155978931956E-5
   2.333411113704E-2   9.987390896896E-5
   2.400080002667E-2   1.086762678333E-4
   2.466748891630E-2   1.179807357167E-4
   2.533417780593E-2   1.278011756785E-4
   2.600086669556E-2   1.381514438476E-4
   2.666755558519E-2   1.490453892354E-4
   2.733424447482E-2   1.604968535500E-4
   2.800093336445E-2   1.725196710099E-4
   2.866762225408E-2   1.851276681578E-4
   2.933431114370E-2   1.983346636745E-4
   3.000100003333E-2   2.121544681934E-4
   3.066768892296E-2   2.266008841142E-4
   3.133437781259E-2   2.416877054172E-4
   3.200106670222E-2   2.574287174781E-4
   3.266775559185E-2   2.738376968816E-4
   3.333444448148E-2   2.909284112369E-4
   3.400113337111E-2   3.087146189914E-4
   3.466782226074E-2   3.272100692463E-4
   3.533451115037E-2   3.464285015705E-4
   3.600120004000E-2   3.663836458165E-4
   3.666788892963E-2   3.870892219346E-4
   3.733457781926E-2   4.085589397887E-4
   3.800126670889E-2   4.308064989712E-4
   3.866795559852E-2   4.538455886183E-4
   3.933464448815E-2   4.776898872258E-4
   4.000133337778E-2   5.023530624646E-4
   4.066802226741E-2   5.278487709961E-4
   4.133471115704E-2   5.541906582887E-4
   4.200140004667E-2   5.813923584331E-4
   4.266808893630E-2   6.094674939587E-4
   4.333477782593E-2   6.384296756498E-4
   4.400146671556E-2   6.682925023621E-4
   4.466815560519E-2   6.990695608389E-4
   4.533484449482E-2   7.307744255278E-4
   4.600153338445E-2   7.634206583974E-4
   4.666822227408E-2   7.970218087545E-4
   4.733491116371E-2   8.315914130607E-4
   4.800160005334E-2   8.671429947497E-4
   4.866828894296E-2   9.036900640447E-4
   4.933497783259E-2   9.412461177760E-4
   5.000166672222E-2   9.798246391981E-4
   5.066835561185E-2   1.019439097808E-3
   5.133504450148E-2   1.060102949162E-3
   5.200173339111E-2   1.101829634696E-3
   5.266842228074E-2   1.144632581542E-3
   5.333511117037E-2   1.188525202345E-3
   5.400180006000E-2   1.233520895086E-3
   5.466848894963E-2   1.279633042896E-3
   5.533517783926E-2   1.326875013877E-3
   5.600186672889E-2   1.375260160921E-3
   5.666855561852E-2   1.424801821530E-3
   5.733524450815E-2   1.475513317633E-3
   5.800193339778E-2   1.527407955408E-3
   5.866862228741E-2   1.580499025098E-3
   5.933531117704E-2   1.634799800838E-3
   6.000200006667E-2   1.690323540466E-3
   6.066868895630E-2   1.747083485350E-3
   6.133537784593E-2   1.805092860205E-3
   6.200206673556E-2   1.864364872915E-3
   6.266875562519E-2   1.924912714354E-3
   6.333544451482E-2   1.986749558206E-3
   6.400213340445E-2   2.049888560787E-3
   6.466882229408E-2   2.114342860864E-3
   6.533551118371E-2   2.180125579480E-3
   6.600220007334E-2   2.247249819774E-3
   6.666888896297E-2   2.315728666802E-3
   6.733557785260E-2   2.385575187362E-3
   6.800226674222E-2   2.456802429813E-3
   6.866895563185E-2   2.529423423899E-3
   6.933564452148E-2   2.603451180572E-3
