#             E [au]      sigma_0 [au^2]
  2.220446049250E-16    5.465321002285E2
  3.100382477730E-16    5.465321002285E2
  4.329027274254E-16    5.465321002285E2
  6.044569428401E-16    5.465321002285E2
  8.439960587001E-16    5.465321002284E2
  1.178461684557E-15    5.465321002284E2
  1.645472070222E-15    5.465321002285E2
  2.297553131647E-15    5.465321002284E2
  3.208046182170E-15    5.465321002284E2
  4.479356827565E-15    5.465321002284E2
  6.254472800350E-15    5.465321002283E2
  8.733046175200E-15    5.465321002283E2
  1.219384877554E-14    5.465321002281E2
  1.702612639137E-14    5.465321002281E2
  2.377337830174E-14    5.465321002279E2
  3.319448610248E-14    5.465321002276E2
  4.634906716339E-14    5.465321002273E2
  6.471665264779E-14    5.465321002268E2
  9.036309436758E-14    5.465321002261E2
  1.261729167008E-13    5.465321002251E2
  1.761737468178E-13    5.465321002238E2
  2.459893127574E-13    5.465321002220E2
  3.434719592666E-13    5.465321002193E2
  4.795858221645E-13    5.465321002157E2
  6.696399942294E-13    5.465321002107E2
  9.350103800976E-13    5.465321002036E2
  1.305543901834E-12    5.465321001937E2
  1.822915462648E-12    5.465321001799E2
  2.545315235506E-12    5.465321001607E2
  3.553993468621E-12    5.465321001338E2
  4.962398919712E-12    5.465321000963E2
  6.928938743355E-12    5.465321000439E2
  9.674794970323E-12    5.465320999708E2
  1.350880144633E-11    5.465320998687E2
  1.886217920651E-11    5.465320997261E2
  2.633703706668E-11    5.465320995270E2
  3.677409242364E-11    5.465320979502E2
  5.134722900526E-11    5.465320975621E2
  7.169552673510E-11    5.465320970201E2
  1.001076134663E-10    5.465320962633E2
  1.397790731205E-10    5.465320952067E2
  1.951718616187E-10    5.465320882872E2
  2.725161550819E-10    5.465320862271E2
  3.805110745202E-10    5.465320820798E2
  5.313030994033E-10    5.465320762930E2
  7.418522149230E-10    5.465320694113E2
   1.035839447209E-9    5.465320591030E2
   1.446330332120E-9    5.465320415759E2
   2.019493885127E-9    5.465320151026E2
   2.819795354831E-9    5.465319857759E2
   3.937246803116E-9    5.465319394462E2
   5.497531004188E-9    5.465318768433E2
   7.676137324712E-9    5.465317855055E2
   1.071809948556E-8    5.465316630450E2
   1.496555516438E-8    5.465314951017E2
   2.089622714176E-8    5.465312542388E2
   2.917715406904E-8    5.465309187674E2
   4.073971410214E-8    5.465304502248E2
   5.688437951133E-8    5.465297996884E2
   7.942698430030E-8    5.465288845098E2
   1.109029559474E-7    5.465276155559E2
   1.548524817632E-7    5.465258366026E2
   2.162186832928E-7    5.465233556038E2
   3.019035825100E-7    5.465198911044E2
   4.215443908191E-7    5.465150533829E2
   5.885974321790E-7    5.465083020342E2
   8.218516121032E-7    5.464988694061E2
   1.147541656470E-6    5.464857010962E2
   1.602298801804E-6    5.464673186569E2
   2.237270809114E-6    5.464416499050E2
   3.123874690338E-6    5.464058156589E2
   4.361829172034E-6    5.463557863285E2
   6.090370329147E-6    5.462859487026E2
   8.503911841383E-6    5.461884637158E2
   1.187391122342E-5    5.460524031250E2
   1.657940138272E-5    5.458625355820E2
   2.314962147159E-5    5.455976484978E2
   3.232354184009E-5    5.452282158369E2
   4.513297802170E-5    5.447132107122E2
   6.301864180554E-5    5.439957278327E2
   8.799218197181E-5    5.429970457858E2
   1.228624398484E-4    5.416086792347E2
   1.715513672605E-4    5.396818667944E2
   2.395351390162E-4    5.370141429979E2
   3.344600730367E-4    5.333327406560E2
   4.670026323285E-4    5.282754845036E2
   6.520702355338E-4    5.213713184562E2
   9.104779344586E-4    5.120254817060E2
   1.271289539013E-3    4.995188871513E2
   1.775086502196E-3    4.830372598296E2
   2.478532225415E-3    4.617506879959E2
   3.460745143868E-3    4.349629195003E2
   4.832197390052E-3    4.023322764644E2
   6.747139892053E-3    3.641247598590E2
   9.420951390904E-3    3.214039918315E2
   1.315436266770E-2    2.760317717964E2
   1.836728054456E-2    2.304015303977E2
   2.564601593591E-2    1.869608346352E2
   3.580922781624E-2    1.477111110155E2
   5.000000000000E-2    1.138880321518E2
