#             e [au]            f [a.u.]
   -9.001196260037E0  -9.999999148311E-1
   -8.992185978496E0  -9.999999141044E-1
   -8.983175696954E0  -9.999999133711E-1
   -8.974165415413E0  -9.999999126312E-1
   -8.965155133871E0  -9.999999118846E-1
   -8.956144852329E0  -9.999999111312E-1
   -8.947134570788E0  -9.999999103710E-1
   -8.938124289246E0  -9.999999096039E-1
   -8.929114007705E0  -9.999999088298E-1
   -8.920103726163E0  -9.999999080488E-1
   -8.911093444621E0  -9.999999072606E-1
   -8.902083163080E0  -9.999999064653E-1
   -8.893072881538E0  -9.999999056627E-1
   -8.884062599997E0  -9.999999048529E-1
   -8.875052318455E0  -9.999999040356E-1
   -8.866042036914E0  -9.999999032110E-1
   -8.857031755372E0  -9.999999023788E-1
   -8.848021473830E0  -9.999999015390E-1
   -8.839011192289E0  -9.999999006916E-1
   -8.830000910747E0  -9.999998998365E-1
   -8.820990629206E0  -9.999998989735E-1
   -8.811980347664E0  -9.999998981027E-1
   -8.802970066123E0  -9.999998972239E-1
   -8.793959784581E0  -9.999998963371E-1
   -8.784949503039E0  -9.999998954421E-1
   -8.775939221498E0  -9.999998945390E-1
   -8.766928939956E0  -9.999998936276E-1
   -8.757918658415E0  -9.999998927078E-1
   -8.748908376873E0  -9.999998917797E-1
   -8.739898095331E0  -9.999998908430E-1
   -8.730887813790E0  -9.999998898977E-1
   -8.721877532248E0  -9.999998889437E-1
   -8.712867250707E0  -9.999998879810E-1
   -8.703856969165E0  -9.999998870094E-1
   -8.694846687624E0  -9.999998860288E-1
   -8.685836406082E0  -9.999998850393E-1
   -8.676826124540E0  -9.999998840406E-1
   -8.667815842999E0  -9.999998830328E-1
   -8.658805561457E0  -9.999998820156E-1
   -8.649795279916E0  -9.999998809891E-1
   -8.640784998374E0  -9.999998799531E-1
   -8.631774716833E0  -9.999998789075E-1
   -8.622764435291E0  -9.999998778523E-1
   -8.613754153749E0  -9.999998767873E-1
   -8.604743872208E0  -9.999998757124E-1
   -8.595733590666E0  -9.999998746277E-1
   -8.586723309125E0  -9.999998735328E-1
   -8.577713027583E0  -9.999998724279E-1
   -8.568702746041E0  -9.999998713126E-1
   -8.559692464500E0  -9.999998701871E-1
   -8.550682182958E0  -9.999998690511E-1
   -8.541671901417E0  -9.999998679045E-1
   -8.532661619875E0  -9.999998667473E-1
   -8.523651338334E0  -9.999998655794E-1
   -8.514641056792E0  -9.999998644006E-1
   -8.505630775250E0  -9.999998632108E-1
   -8.496620493709E0  -9.999998620099E-1
   -8.487610212167E0  -9.999998607978E-1
   -8.478599930626E0  -9.999998595745E-1
   -8.469589649084E0  -9.999998583397E-1
   -8.460579367543E0  -9.999998570934E-1
   -8.451569086001E0  -9.999998558355E-1
   -8.442558804459E0  -9.999998545658E-1
   -8.433548522918E0  -9.999998532843E-1
   -8.424538241376E0  -9.999998519908E-1
   -8.415527959835E0  -9.999998506851E-1
   -8.406517678293E0  -9.999998493672E-1
   -8.397507396751E0  -9.999998480370E-1
   -8.388497115210E0  -9.999998466944E-1
   -8.379486833668E0  -9.999998453391E-1
   -8.370476552127E0  -9.999998439711E-1
   -8.361466270585E0  -9.999998425902E-1
   -8.352455989044E0  -9.999998411964E-1
   -8.343445707502E0  -9.999998397895E-1
   -8.334435425960E0  -9.999998383694E-1
   -8.325425144419E0  -9.999998369358E-1
   -8.316414862877E0  -9.999998354888E-1
   -8.307404581336E0  -9.999998340281E-1
   -8.298394299794E0  -9.999998325537E-1
   -8.289384018253E0  -9.999998310654E-1
   -8.280373736711E0  -9.999998295630E-1
   -8.271363455169E0  -9.999998280464E-1
   -8.262353173628E0  -9.999998265155E-1
   -8.253342892086E0  -9.999998249701E-1
   -8.244332610545E0  -9.999998234101E-1
   -8.235322329003E0  -9.999998218353E-1
   -8.226312047461E0  -9.999998202457E-1
   -8.217301765920E0  -9.999998186409E-1
   -8.208291484378E0  -9.999998170209E-1
   -8.199281202837E0  -9.999998153856E-1
   -8.190270921295E0  -9.999998137347E-1
   -8.181260639754E0  -9.999998120681E-1
   -8.172250358212E0  -9.999998103857E-1
   -8.163240076670E0  -9.999998086873E-1
   -8.154229795129E0  -9.999998069728E-1
   -8.145219513587E0  -9.999998052419E-1
   -8.136209232046E0  -9.999998034945E-1
   -8.127198950504E0  -9.999998017305E-1
   -8.118188668963E0  -9.999997999496E-1
   -8.109178387421E0  -9.999997981517E-1
   -8.100168105879E0  -9.999997963367E-1
   -8.091157824338E0  -9.999997945043E-1
   -8.082147542796E0  -9.999997926544E-1
   -8.073137261255E0  -9.999997907868E-1
   -8.064126979713E0  -9.999997889014E-1
   -8.055116698171E0  -9.999997869978E-1
   -8.046106416630E0  -9.999997850760E-1
   -8.037096135088E0  -9.999997831358E-1
   -8.028085853547E0  -9.999997811770E-1
   -8.019075572005E0  -9.999997791994E-1
   -8.010065290464E0  -9.999997772027E-1
   -8.001055008922E0  -9.999997751869E-1
   -7.992044727380E0  -9.999997731517E-1
   -7.983034445839E0  -9.999997710969E-1
   -7.974024164297E0  -9.999997690223E-1
   -7.965013882756E0  -9.999997669277E-1
   -7.956003601214E0  -9.999997648129E-1
   -7.946993319673E0  -9.999997626777E-1
   -7.937983038131E0  -9.999997605219E-1
   -7.928972756589E0  -9.999997583453E-1
   -7.919962475048E0  -9.999997561477E-1
   -7.910952193506E0  -9.999997539288E-1
   -7.901941911965E0  -9.999997516884E-1
   -7.892931630423E0  -9.999997494263E-1
   -7.883921348881E0  -9.999997471423E-1
   -7.874911067340E0  -9.999997448362E-1
   -7.865900785798E0  -9.999997425077E-1
   -7.856890504257E0  -9.999997401566E-1
   -7.847880222715E0  -9.999997377827E-1
   -7.838869941174E0  -9.999997353856E-1
   -7.829859659632E0  -9.999997329653E-1
   -7.820849378090E0  -9.999997305215E-1
   -7.811839096549E0  -9.999997280538E-1
   -7.802828815007E0  -9.999997255621E-1
   -7.793818533466E0  -9.999997230461E-1
   -7.784808251924E0  -9.999997205056E-1
   -7.775797970383E0  -9.999997179403E-1
   -7.766787688841E0  -9.999997153499E-1
   -7.757777407299E0  -9.999997127342E-1
   -7.748767125758E0  -9.999997100929E-1
   -7.739756844216E0  -9.999997074258E-1
   -7.730746562675E0  -9.999997047326E-1
   -7.721736281133E0  -9.999997020130E-1
   -7.712725999591E0  -9.999996992667E-1
   -7.703715718050E0  -9.999996964935E-1
   -7.694705436508E0  -9.999996936931E-1
   -7.685695154967E0  -9.999996908652E-1
   -7.676684873425E0  -9.999996880095E-1
   -7.667674591884E0  -9.999996851257E-1
   -7.658664310342E0  -9.999996822135E-1
   -7.649654028800E0  -9.999996792727E-1
   -7.640643747259E0  -9.999996763029E-1
   -7.631633465717E0  -9.999996733038E-1
   -7.622623184176E0  -9.999996702752E-1
   -7.613612902634E0  -9.999996672166E-1
   -7.604602621093E0  -9.999996641278E-1
   -7.595592339551E0  -9.999996610086E-1
   -7.586582058009E0  -9.999996578584E-1
   -7.577571776468E0  -9.999996546771E-1
   -7.568561494926E0  -9.999996514643E-1
   -7.559551213385E0  -9.999996482197E-1
   -7.550540931843E0  -9.999996449429E-1
   -7.541530650301E0  -9.999996416336E-1
   -7.532520368760E0  -9.999996382914E-1
   -7.523510087218E0  -9.999996349161E-1
   -7.514499805677E0  -9.999996315072E-1
   -7.505489524135E0  -9.999996280644E-1
   -7.496479242594E0  -9.999996245873E-1
   -7.487468961052E0  -9.999996210756E-1
   -7.478458679510E0  -9.999996175290E-1
   -7.469448397969E0  -9.999996139469E-1
   -7.460438116427E0  -9.999996103291E-1
   -7.451427834886E0  -9.999996066752E-1
   -7.442417553344E0  -9.999996029848E-1
   -7.433407271803E0  -9.999995992575E-1
   -7.424396990261E0  -9.999995954930E-1
   -7.415386708719E0  -9.999995916907E-1
   -7.406376427178E0  -9.999995878503E-1
   -7.397366145636E0  -9.999995839715E-1
   -7.388355864095E0  -9.999995800538E-1
   -7.379345582553E0  -9.999995760967E-1
   -7.370335301011E0  -9.999995720999E-1
   -7.361325019470E0  -9.999995680630E-1
   -7.352314737928E0  -9.999995639854E-1
   -7.343304456387E0  -9.999995598669E-1
   -7.334294174845E0  -9.999995557068E-1
   -7.325283893304E0  -9.999995515049E-1
   -7.316273611762E0  -9.999995472606E-1
   -7.307263330220E0  -9.999995429734E-1
   -7.298253048679E0  -9.999995386430E-1
   -7.289242767137E0  -9.999995342689E-1
   -7.280232485596E0  -9.999995298505E-1
   -7.271222204054E0  -9.999995253874E-1
   -7.262211922513E0  -9.999995208792E-1
   -7.253201640971E0  -9.999995163253E-1
   -7.244191359429E0  -9.999995117253E-1
   -7.235181077888E0  -9.999995070786E-1
   -7.226170796346E0  -9.999995023847E-1
   -7.217160514805E0  -9.999994976432E-1
   -7.208150233263E0  -9.999994928535E-1
   -7.199139951722E0  -9.999994880151E-1
   -7.190129670180E0  -9.999994831275E-1
   -7.181119388638E0  -9.999994781901E-1
   -7.172109107097E0  -9.999994732024E-1
   -7.163098825555E0  -9.999994681638E-1
   -7.154088544014E0  -9.999994630738E-1
   -7.145078262472E0  -9.999994579319E-1
   -7.136067980930E0  -9.999994527374E-1
   -7.127057699389E0  -9.999994474898E-1
   -7.118047417847E0  -9.999994421886E-1
   -7.109037136306E0  -9.999994368330E-1
   -7.100026854764E0  -9.999994314227E-1
   -7.091016573223E0  -9.999994259568E-1
   -7.082006291681E0  -9.999994204349E-1
   -7.072996010139E0  -9.999994148563E-1
   -7.063985728598E0  -9.999994092204E-1
   -7.054975447056E0  -9.999994035265E-1
   -7.045965165515E0  -9.999993977741E-1
   -7.036954883973E0  -9.999993919625E-1
   -7.027944602432E0  -9.999993860911E-1
   -7.018934320890E0  -9.999993801591E-1
   -7.009924039348E0  -9.999993741659E-1
   -7.000913757807E0  -9.999993681109E-1
   -6.991903476265E0  -9.999993619933E-1
   -6.982893194724E0  -9.999993558125E-1
   -6.973882913182E0  -9.999993495678E-1
   -6.964872631640E0  -9.999993432585E-1
   -6.955862350099E0  -9.999993368838E-1
   -6.946852068557E0  -9.999993304430E-1
   -6.937841787016E0  -9.999993239355E-1
   -6.928831505474E0  -9.999993173604E-1
   -6.919821223933E0  -9.999993107170E-1
   -6.910810942391E0  -9.999993040046E-1
   -6.901800660849E0  -9.999992972224E-1
   -6.892790379308E0  -9.999992903696E-1
   -6.883780097766E0  -9.999992834454E-1
   -6.874769816225E0  -9.999992764491E-1
   -6.865759534683E0  -9.999992693798E-1
   -6.856749253142E0  -9.999992622367E-1
   -6.847738971600E0  -9.999992550190E-1
   -6.838728690058E0  -9.999992477259E-1
   -6.829718408517E0  -9.999992403565E-1
   -6.820708126975E0  -9.999992329100E-1
   -6.811697845434E0  -9.999992253855E-1
   -6.802687563892E0  -9.999992177822E-1
   -6.793677282350E0  -9.999992100991E-1
   -6.784667000809E0  -9.999992023353E-1
   -6.775656719267E0  -9.999991944901E-1
   -6.766646437726E0  -9.999991865623E-1
   -6.757636156184E0  -9.999991785512E-1
   -6.748625874643E0  -9.999991704558E-1
   -6.739615593101E0  -9.999991622751E-1
   -6.730605311559E0  -9.999991540082E-1
   -6.721595030018E0  -9.999991456540E-1
   -6.712584748476E0  -9.999991372117E-1
   -6.703574466935E0  -9.999991286802E-1
   -6.694564185393E0  -9.999991200586E-1
   -6.685553903852E0  -9.999991113457E-1
   -6.676543622310E0  -9.999991025406E-1
   -6.667533340768E0  -9.999990936422E-1
   -6.658523059227E0  -9.999990846495E-1
   -6.649512777685E0  -9.999990755614E-1
   -6.640502496144E0  -9.999990663769E-1
   -6.631492214602E0  -9.999990570947E-1
   -6.622481933060E0  -9.999990477138E-1
   -6.613471651519E0  -9.999990382332E-1
   -6.604461369977E0  -9.999990286516E-1
   -6.595451088436E0  -9.999990189679E-1
   -6.586440806894E0  -9.999990091809E-1
   -6.577430525353E0  -9.999989992895E-1
   -6.568420243811E0  -9.999989892925E-1
   -6.559409962269E0  -9.999989791887E-1
   -6.550399680728E0  -9.999989689768E-1
   -6.541389399186E0  -9.999989586556E-1
   -6.532379117645E0  -9.999989482239E-1
   -6.523368836103E0  -9.999989376804E-1
   -6.514358554562E0  -9.999989270238E-1
   -6.505348273020E0  -9.999989162528E-1
   -6.496337991478E0  -9.999989053661E-1
   -6.487327709937E0  -9.999988943624E-1
   -6.478317428395E0  -9.999988832403E-1
   -6.469307146854E0  -9.999988719984E-1
   -6.460296865312E0  -9.999988606355E-1
   -6.451286583770E0  -9.999988491500E-1
   -6.442276302229E0  -9.999988375406E-1
   -6.433266020687E0  -9.999988258059E-1
   -6.424255739146E0  -9.999988139444E-1
   -6.415245457604E0  -9.999988019545E-1
   -6.406235176063E0  -9.999987898350E-1
   -6.397224894521E0  -9.999987775841E-1
   -6.388214612979E0  -9.999987652005E-1
   -6.379204331438E0  -9.999987526826E-1
   -6.370194049896E0  -9.999987400288E-1
   -6.361183768355E0  -9.999987272375E-1
   -6.352173486813E0  -9.999987143072E-1
   -6.343163205272E0  -9.999987012362E-1
   -6.334152923730E0  -9.999986880229E-1
   -6.325142642188E0  -9.999986746656E-1
   -6.316132360647E0  -9.999986611627E-1
   -6.307122079105E0  -9.999986475124E-1
