#             e [au]            f [a.u.]
   -1.100373208668E1  -9.999999858245E-1
   -1.099271731482E1  -9.999999856907E-1
   -1.098170254296E1  -9.999999855555E-1
   -1.097068777110E1  -9.999999854191E-1
   -1.095967299924E1  -9.999999852812E-1
   -1.094865822739E1  -9.999999851420E-1
   -1.093764345553E1  -9.999999850014E-1
   -1.092662868367E1  -9.999999848594E-1
   -1.091561391181E1  -9.999999847160E-1
   -1.090459913995E1  -9.999999845712E-1
   -1.089358436809E1  -9.999999844249E-1
   -1.088256959624E1  -9.999999842771E-1
   -1.087155482438E1  -9.999999841279E-1
   -1.086054005252E1  -9.999999839772E-1
   -1.084952528066E1  -9.999999838250E-1
   -1.083851050880E1  -9.999999836712E-1
   -1.082749573694E1  -9.999999835159E-1
   -1.081648096508E1  -9.999999833591E-1
   -1.080546619323E1  -9.999999832006E-1
   -1.079445142137E1  -9.999999830406E-1
   -1.078343664951E1  -9.999999828790E-1
   -1.077242187765E1  -9.999999827158E-1
   -1.076140710579E1  -9.999999825509E-1
   -1.075039233393E1  -9.999999823843E-1
   -1.073937756207E1  -9.999999822161E-1
   -1.072836279022E1  -9.999999820462E-1
   -1.071734801836E1  -9.999999818746E-1
   -1.070633324650E1  -9.999999817012E-1
   -1.069531847464E1  -9.999999815261E-1
   -1.068430370278E1  -9.999999813492E-1
   -1.067328893092E1  -9.999999811705E-1
   -1.066227415906E1  -9.999999809901E-1
   -1.065125938721E1  -9.999999808078E-1
   -1.064024461535E1  -9.999999806237E-1
   -1.062922984349E1  -9.999999804377E-1
   -1.061821507163E1  -9.999999802498E-1
   -1.060720029977E1  -9.999999800600E-1
   -1.059618552791E1  -9.999999798683E-1
   -1.058517075605E1  -9.999999796746E-1
   -1.057415598420E1  -9.999999794790E-1
   -1.056314121234E1  -9.999999792814E-1
   -1.055212644048E1  -9.999999790818E-1
   -1.054111166862E1  -9.999999788802E-1
   -1.053009689676E1  -9.999999786765E-1
   -1.051908212490E1  -9.999999784707E-1
   -1.050806735304E1  -9.999999782629E-1
   -1.049705258119E1  -9.999999780529E-1
   -1.048603780933E1  -9.999999778408E-1
   -1.047502303747E1  -9.999999776265E-1
   -1.046400826561E1  -9.999999774100E-1
   -1.045299349375E1  -9.999999771914E-1
   -1.044197872189E1  -9.999999769704E-1
   -1.043096395004E1  -9.999999767473E-1
   -1.041994917818E1  -9.999999765218E-1
   -1.040893440632E1  -9.999999762941E-1
   -1.039791963446E1  -9.999999760640E-1
   -1.038690486260E1  -9.999999758316E-1
   -1.037589009074E1  -9.999999755967E-1
   -1.036487531888E1  -9.999999753595E-1
   -1.035386054703E1  -9.999999751198E-1
   -1.034284577517E1  -9.999999748777E-1
   -1.033183100331E1  -9.999999746331E-1
   -1.032081623145E1  -9.999999743860E-1
   -1.030980145959E1  -9.999999741363E-1
   -1.029878668773E1  -9.999999738840E-1
   -1.028777191587E1  -9.999999736292E-1
   -1.027675714402E1  -9.999999733718E-1
   -1.026574237216E1  -9.999999731116E-1
   -1.025472760030E1  -9.999999728488E-1
   -1.024371282844E1  -9.999999725833E-1
   -1.023269805658E1  -9.999999723151E-1
   -1.022168328472E1  -9.999999720441E-1
   -1.021066851286E1  -9.999999717702E-1
   -1.019965374101E1  -9.999999714936E-1
   -1.018863896915E1  -9.999999712141E-1
   -1.017762419729E1  -9.999999709316E-1
   -1.016660942543E1  -9.999999706463E-1
   -1.015559465357E1  -9.999999703580E-1
   -1.014457988171E1  -9.999999700667E-1
   -1.013356510985E1  -9.999999697724E-1
   -1.012255033800E1  -9.999999694751E-1
   -1.011153556614E1  -9.999999691746E-1
   -1.010052079428E1  -9.999999688710E-1
   -1.008950602242E1  -9.999999685643E-1
