#             e [au]            f [a.u.]
   -1.018518208668E1  -9.999999711257E-1
   -1.017498668419E1  -9.999999708636E-1
   -1.016479128170E1  -9.999999705989E-1
   -1.015459587921E1  -9.999999703317E-1
   -1.014440047672E1  -9.999999700620E-1
   -1.013420507423E1  -9.999999697896E-1
   -1.012400967174E1  -9.999999695146E-1
   -1.011381426925E1  -9.999999692370E-1
   -1.010361886677E1  -9.999999689567E-1
   -1.009342346428E1  -9.999999686737E-1
   -1.008322806179E1  -9.999999683880E-1
   -1.007303265930E1  -9.999999680996E-1
   -1.006283725681E1  -9.999999678083E-1
   -1.005264185432E1  -9.999999675143E-1
   -1.004244645183E1  -9.999999672174E-1
   -1.003225104934E1  -9.999999669176E-1
   -1.002205564685E1  -9.999999666150E-1
   -1.001186024436E1  -9.999999663094E-1
   -1.000166484187E1  -9.999999660009E-1
   -9.991469439385E0  -9.999999656894E-1
   -9.981274036896E0  -9.999999653749E-1
   -9.971078634407E0  -9.999999650573E-1
   -9.960883231917E0  -9.999999647366E-1
   -9.950687829428E0  -9.999999644129E-1
   -9.940492426939E0  -9.999999640860E-1
   -9.930297024450E0  -9.999999637559E-1
   -9.920101621961E0  -9.999999634226E-1
   -9.909906219472E0  -9.999999630861E-1
   -9.899710816982E0  -9.999999627463E-1
   -9.889515414493E0  -9.999999624032E-1
   -9.879320012004E0  -9.999999620568E-1
   -9.869124609515E0  -9.999999617070E-1
   -9.858929207026E0  -9.999999613538E-1
   -9.848733804537E0  -9.999999609971E-1
   -9.838538402047E0  -9.999999606370E-1
   -9.828342999558E0  -9.999999602733E-1
   -9.818147597069E0  -9.999999599061E-1
   -9.807952194580E0  -9.999999595353E-1
   -9.797756792091E0  -9.999999591609E-1
   -9.787561389602E0  -9.999999587828E-1
   -9.777365987112E0  -9.999999584011E-1
   -9.767170584623E0  -9.999999580156E-1
   -9.756975182134E0  -9.999999576263E-1
   -9.746779779645E0  -9.999999572332E-1
   -9.736584377156E0  -9.999999568362E-1
   -9.726388974667E0  -9.999999564353E-1
   -9.716193572177E0  -9.999999560305E-1
   -9.705998169688E0  -9.999999556218E-1
   -9.695802767199E0  -9.999999552090E-1
   -9.685607364710E0  -9.999999547921E-1
   -9.675411962221E0  -9.999999543712E-1
   -9.665216559732E0  -9.999999539461E-1
   -9.655021157242E0  -9.999999535168E-1
   -9.644825754753E0  -9.999999530833E-1
   -9.634630352264E0  -9.999999526455E-1
   -9.624434949775E0  -9.999999522034E-1
   -9.614239547286E0  -9.999999517569E-1
   -9.604044144797E0  -9.999999513061E-1
   -9.593848742307E0  -9.999999508507E-1
   -9.583653339818E0  -9.999999503909E-1
   -9.573457937329E0  -9.999999499265E-1
   -9.563262534840E0  -9.999999494575E-1
   -9.553067132351E0  -9.999999489838E-1
   -9.542871729861E0  -9.999999485055E-1
   -9.532676327372E0  -9.999999480224E-1
   -9.522480924883E0  -9.999999475346E-1
   -9.512285522394E0  -9.999999470418E-1
   -9.502090119905E0  -9.999999465442E-1
   -9.491894717416E0  -9.999999460417E-1
   -9.481699314926E0  -9.999999455341E-1
   -9.471503912437E0  -9.999999450215E-1
   -9.461308509948E0  -9.999999445038E-1
   -9.451113107459E0  -9.999999439809E-1
   -9.440917704970E0  -9.999999434529E-1
   -9.430722302481E0  -9.999999429195E-1
   -9.420526899991E0  -9.999999423808E-1
   -9.410331497502E0  -9.999999418368E-1
   -9.400136095013E0  -9.999999412873E-1
   -9.389940692524E0  -9.999999407323E-1
   -9.379745290035E0  -9.999999401718E-1
   -9.369549887546E0  -9.999999396056E-1
   -9.359354485056E0  -9.999999390338E-1
   -9.349159082567E0  -9.999999384563E-1
   -9.338963680078E0  -9.999999378729E-1
   -9.328768277589E0  -9.999999372838E-1
   -9.318572875100E0  -9.999999366887E-1
   -9.308377472611E0  -9.999999360876E-1
   -9.298182070121E0  -9.999999354805E-1
   -9.287986667632E0  -9.999999348673E-1
   -9.277791265143E0  -9.999999342479E-1
   -9.267595862654E0  -9.999999336222E-1
   -9.257400460165E0  -9.999999329903E-1
   -9.247205057676E0  -9.999999323520E-1
   -9.237009655186E0  -9.999999317073E-1
   -9.226814252697E0  -9.999999310560E-1
   -9.216618850208E0  -9.999999303982E-1
   -9.206423447719E0  -9.999999297338E-1
   -9.196228045230E0  -9.999999290626E-1
   -9.186032642741E0  -9.999999283846E-1
   -9.175837240251E0  -9.999999276998E-1
   -9.165641837762E0  -9.999999270080E-1
   -9.155446435273E0  -9.999999263092E-1
   -9.145251032784E0  -9.999999256034E-1
   -9.135055630295E0  -9.999999248904E-1
   -9.124860227806E0  -9.999999241701E-1
   -9.114664825316E0  -9.999999234425E-1
   -9.104469422827E0  -9.999999227076E-1
   -9.094274020338E0  -9.999999219651E-1
