#             e [au]            f [a.u.]
   -1.366888860575E0  -9.973198571714E-1
   -1.365520602456E0  -9.973109804118E-1
   -1.364152344338E0  -9.973020698215E-1
   -1.362784086219E0  -9.972931252523E-1
   -1.361415828100E0  -9.972841465555E-1
   -1.360047569982E0  -9.972751335817E-1
   -1.358679311863E0  -9.972660861806E-1
   -1.357311053744E0  -9.972570042014E-1
   -1.355942795626E0  -9.972478874922E-1
   -1.354574537507E0  -9.972387359006E-1
   -1.353206279388E0  -9.972295492734E-1
   -1.351838021269E0  -9.972203274565E-1
   -1.350469763151E0  -9.972110702952E-1
   -1.349101505032E0  -9.972017776339E-1
   -1.347733246913E0  -9.971924493162E-1
   -1.346364988795E0  -9.971830851851E-1
   -1.344996730676E0  -9.971736850825E-1
   -1.343628472557E0  -9.971642488498E-1
   -1.342260214439E0  -9.971547763275E-1
   -1.340891956320E0  -9.971452673552E-1
   -1.339523698201E0  -9.971357217717E-1
   -1.338155440083E0  -9.971261394152E-1
   -1.336787181964E0  -9.971165201229E-1
   -1.335418923845E0  -9.971068637311E-1
   -1.334050665726E0  -9.970971700755E-1
   -1.332682407608E0  -9.970874389907E-1
   -1.331314149489E0  -9.970776703107E-1
   -1.329945891370E0  -9.970678638686E-1
   -1.328577633252E0  -9.970580194966E-1
   -1.327209375133E0  -9.970481370260E-1
   -1.325841117014E0  -9.970382162873E-1
   -1.324472858896E0  -9.970282571102E-1
   -1.323104600777E0  -9.970182593234E-1
   -1.321736342658E0  -9.970082227549E-1
   -1.320368084540E0  -9.969981472316E-1
   -1.318999826421E0  -9.969880325797E-1
   -1.317631568302E0  -9.969778786245E-1
   -1.316263310183E0  -9.969676851904E-1
   -1.314895052065E0  -9.969574521008E-1
   -1.313526793946E0  -9.969471791781E-1
   -1.312158535827E0  -9.969368662441E-1
   -1.310790277709E0  -9.969265131196E-1
   -1.309422019590E0  -9.969161196242E-1
   -1.308053761471E0  -9.969056855770E-1
   -1.306685503353E0  -9.968952107959E-1
   -1.305317245234E0  -9.968846950979E-1
   -1.303948987115E0  -9.968741382991E-1
   -1.302580728997E0  -9.968635402146E-1
   -1.301212470878E0  -9.968529006587E-1
   -1.299844212759E0  -9.968422194444E-1
   -1.298475954640E0  -9.968314963842E-1
   -1.297107696522E0  -9.968207312893E-1
   -1.295739438403E0  -9.968099239700E-1
   -1.294371180284E0  -9.967990742356E-1
   -1.293002922166E0  -9.967881818946E-1
   -1.291634664047E0  -9.967772467543E-1
   -1.290266405928E0  -9.967662686209E-1
   -1.288898147810E0  -9.967552473000E-1
   -1.287529889691E0  -9.967441825957E-1
   -1.286161631572E0  -9.967330743116E-1
   -1.284793373453E0  -9.967219222499E-1
   -1.283425115335E0  -9.967107262119E-1
   -1.282056857216E0  -9.966994859977E-1
   -1.280688599097E0  -9.966882014067E-1
   -1.279320340979E0  -9.966768722370E-1
   -1.277952082860E0  -9.966654982857E-1
   -1.276583824741E0  -9.966540793490E-1
   -1.275215566623E0  -9.966426152217E-1
   -1.273847308504E0  -9.966311056977E-1
   -1.272479050385E0  -9.966195505701E-1
   -1.271110792267E0  -9.966079496303E-1
   -1.269742534148E0  -9.965963026692E-1
   -1.268374276029E0  -9.965846094764E-1
   -1.267006017910E0  -9.965728698402E-1
   -1.265637759792E0  -9.965610835480E-1
   -1.264269501673E0  -9.965492503862E-1
   -1.262901243554E0  -9.965373701398E-1
   -1.261532985436E0  -9.965254425928E-1
   -1.260164727317E0  -9.965134675281E-1
   -1.258796469198E0  -9.965014447273E-1
   -1.257428211080E0  -9.964893739710E-1
   -1.256059952961E0  -9.964772550386E-1
   -1.254691694842E0  -9.964650877083E-1
   -1.253323436724E0  -9.964528717573E-1
   -1.251955178605E0  -9.964406069614E-1
   -1.250586920486E0  -9.964282930953E-1
   -1.249218662367E0  -9.964159299325E-1
   -1.247850404249E0  -9.964035172453E-1
   -1.246482146130E0  -9.963910548048E-1
   -1.245113888011E0  -9.963785423810E-1
   -1.243745629893E0  -9.963659797424E-1
   -1.242377371774E0  -9.963533666565E-1
   -1.241009113655E0  -9.963407028895E-1
   -1.239640855537E0  -9.963279882065E-1
   -1.238272597418E0  -9.963152223709E-1
   -1.236904339299E0  -9.963024051454E-1
   -1.235536081181E0  -9.962895362911E-1
   -1.234167823062E0  -9.962766155678E-1
   -1.232799564943E0  -9.962636427343E-1
   -1.231431306824E0  -9.962506175478E-1
   -1.230063048706E0  -9.962375397644E-1
   -1.228694790587E0  -9.962244091388E-1
   -1.227326532468E0  -9.962112254245E-1
   -1.225958274350E0  -9.961979883735E-1
   -1.224590016231E0  -9.961846977365E-1
   -1.223221758112E0  -9.961713532630E-1
   -1.221853499994E0  -9.961579547011E-1
   -1.220485241875E0  -9.961445017977E-1
   -1.219116983756E0  -9.961309942977E-1
   -1.217748725637E0  -9.961174319455E-1
   -1.216380467519E0  -9.961038144836E-1
   -1.215012209400E0  -9.960901416531E-1
   -1.213643951281E0  -9.960764131940E-1
   -1.212275693163E0  -9.960626288445E-1
   -1.210907435044E0  -9.960487883418E-1
   -1.209539176925E0  -9.960348914215E-1
   -1.208170918807E0  -9.960209378176E-1
   -1.206802660688E0  -9.960069272629E-1
   -1.205434402569E0  -9.959928594887E-1
   -1.204066144451E0  -9.959787342247E-1
   -1.202697886332E0  -9.959645511993E-1
   -1.201329628213E0  -9.959503101394E-1
   -1.199961370094E0  -9.959360107703E-1
   -1.198593111976E0  -9.959216528159E-1
   -1.197224853857E0  -9.959072359986E-1
   -1.195856595738E0  -9.958927600392E-1
   -1.194488337620E0  -9.958782246572E-1
   -1.193120079501E0  -9.958636295702E-1
   -1.191751821382E0  -9.958489744947E-1
   -1.190383563264E0  -9.958342591451E-1
   -1.189015305145E0  -9.958194832349E-1
   -1.187647047026E0  -9.958046464755E-1
   -1.186278788908E0  -9.957897485769E-1
   -1.184910530789E0  -9.957747892475E-1
   -1.183542272670E0  -9.957597681942E-1
   -1.182174014551E0  -9.957446851221E-1
   -1.180805756433E0  -9.957295397349E-1
   -1.179437498314E0  -9.957143317345E-1
   -1.178069240195E0  -9.956990608211E-1
   -1.176700982077E0  -9.956837266937E-1
   -1.175332723958E0  -9.956683290488E-1
   -1.173964465839E0  -9.956528675820E-1
   -1.172596207721E0  -9.956373419871E-1
   -1.171227949602E0  -9.956217519557E-1
   -1.169859691483E0  -9.956060971783E-1
   -1.168491433365E0  -9.955903773432E-1
   -1.167123175246E0  -9.955745921374E-1
   -1.165754917127E0  -9.955587412460E-1
   -1.164386659008E0  -9.955428243521E-1
   -1.163018400890E0  -9.955268411374E-1
   -1.161650142771E0  -9.955107912817E-1
   -1.160281884652E0  -9.954946744630E-1
   -1.158913626534E0  -9.954784903575E-1
   -1.157545368415E0  -9.954622386394E-1
   -1.156177110296E0  -9.954459189818E-1
   -1.154808852178E0  -9.954295310550E-1
   -1.153440594059E0  -9.954130745281E-1
   -1.152072335940E0  -9.953965490682E-1
   -1.150704077821E0  -9.953799543405E-1
   -1.149335819703E0  -9.953632900084E-1
   -1.147967561584E0  -9.953465557332E-1
   -1.146599303465E0  -9.953297511746E-1
   -1.145231045347E0  -9.953128759903E-1
   -1.143862787228E0  -9.952959298358E-1
   -1.142494529109E0  -9.952789123651E-1
   -1.141126270991E0  -9.952618232298E-1
   -1.139758012872E0  -9.952446620801E-1
   -1.138389754753E0  -9.952274285637E-1
   -1.137021496635E0  -9.952101223266E-1
   -1.135653238516E0  -9.951927430125E-1
   -1.134284980397E0  -9.951752902638E-1
   -1.132916722278E0  -9.951577637201E-1
   -1.131548464160E0  -9.951401630192E-1
   -1.130180206041E0  -9.951224877968E-1
   -1.128811947922E0  -9.951047376869E-1
   -1.127443689804E0  -9.950869123211E-1
   -1.126075431685E0  -9.950690113289E-1
   -1.124707173566E0  -9.950510343379E-1
   -1.123338915448E0  -9.950329809732E-1
   -1.121970657329E0  -9.950148508582E-1
   -1.120602399210E0  -9.949966436141E-1
   -1.119234141092E0  -9.949783588594E-1
   -1.117865882973E0  -9.949599962112E-1
   -1.116497624854E0  -9.949415552840E-1
   -1.115129366735E0  -9.949230356901E-1
   -1.113761108617E0  -9.949044370395E-1
   -1.112392850498E0  -9.948857589403E-1
   -1.111024592379E0  -9.948670009980E-1
   -1.109656334261E0  -9.948481628160E-1
   -1.108288076142E0  -9.948292439955E-1
   -1.106919818023E0  -9.948102441355E-1
   -1.105551559905E0  -9.947911628322E-1
   -1.104183301786E0  -9.947719996798E-1
   -1.102815043667E0  -9.947527542705E-1
   -1.101446785549E0  -9.947334261936E-1
   -1.100078527430E0  -9.947140150361E-1
   -1.098710269311E0  -9.946945203831E-1
   -1.097342011192E0  -9.946749418166E-1
   -1.095973753074E0  -9.946552789168E-1
   -1.094605494955E0  -9.946355312611E-1
   -1.093237236836E0  -9.946156984248E-1
   -1.091868978718E0  -9.945957799802E-1
   -1.090500720599E0  -9.945757754977E-1
   -1.089132462480E0  -9.945556845448E-1
   -1.087764204362E0  -9.945355066866E-1
   -1.086395946243E0  -9.945152414858E-1
   -1.085027688124E0  -9.944948885024E-1
   -1.083659430006E0  -9.944744472939E-1
   -1.082291171887E0  -9.944539174151E-1
   -1.080922913768E0  -9.944332984184E-1
   -1.079554655649E0  -9.944125898537E-1
   -1.078186397531E0  -9.943917912678E-1
   -1.076818139412E0  -9.943709022051E-1
   -1.075449881293E0  -9.943499222074E-1
   -1.074081623175E0  -9.943288508141E-1
   -1.072713365056E0  -9.943076875610E-1
   -1.071345106937E0  -9.942864319821E-1
   -1.069976848819E0  -9.942650836082E-1
   -1.068608590700E0  -9.942436419673E-1
   -1.067240332581E0  -9.942221065853E-1
   -1.065872074462E0  -9.942004769841E-1
   -1.064503816344E0  -9.941787526838E-1
   -1.063135558225E0  -9.941569332014E-1
