#             e [au]            f [a.u.]
   -1.004373208668E1  -9.999999672550E-1
   -1.003367827578E1  -9.999999669598E-1
   -1.002362446488E1  -9.999999666618E-1
   -1.001357065399E1  -9.999999663609E-1
   -1.000351684309E1  -9.999999660572E-1
   -9.993463032191E0  -9.999999657505E-1
   -9.983409221294E0  -9.999999654410E-1
   -9.973355410396E0  -9.999999651285E-1
   -9.963301599498E0  -9.999999648130E-1
   -9.953247788601E0  -9.999999644945E-1
   -9.943193977703E0  -9.999999641729E-1
   -9.933140166806E0  -9.999999638483E-1
   -9.923086355908E0  -9.999999635205E-1
   -9.913032545011E0  -9.999999631896E-1
   -9.902978734113E0  -9.999999628556E-1
   -9.892924923215E0  -9.999999625183E-1
   -9.882871112318E0  -9.999999621778E-1
   -9.872817301420E0  -9.999999618341E-1
   -9.862763490523E0  -9.999999614870E-1
   -9.852709679625E0  -9.999999611366E-1
   -9.842655868728E0  -9.999999607828E-1
   -9.832602057830E0  -9.999999604257E-1
   -9.822548246932E0  -9.999999600651E-1
   -9.812494436035E0  -9.999999597010E-1
   -9.802440625137E0  -9.999999593334E-1
   -9.792386814240E0  -9.999999589622E-1
   -9.782333003342E0  -9.999999585875E-1
   -9.772279192445E0  -9.999999582092E-1
   -9.762225381547E0  -9.999999578272E-1
   -9.752171570649E0  -9.999999574415E-1
   -9.742117759752E0  -9.999999570521E-1
   -9.732063948854E0  -9.999999566589E-1
   -9.722010137957E0  -9.999999562620E-1
   -9.711956327059E0  -9.999999558611E-1
   -9.701902516161E0  -9.999999554564E-1
   -9.691848705264E0  -9.999999550478E-1
   -9.681794894366E0  -9.999999546352E-1
   -9.671741083469E0  -9.999999542186E-1
   -9.661687272571E0  -9.999999537980E-1
   -9.651633461674E0  -9.999999533732E-1
   -9.641579650776E0  -9.999999529444E-1
   -9.631525839878E0  -9.999999525114E-1
   -9.621472028981E0  -9.999999520741E-1
   -9.611418218083E0  -9.999999516326E-1
   -9.601364407186E0  -9.999999511868E-1
   -9.591310596288E0  -9.999999507367E-1
   -9.581256785391E0  -9.999999502821E-1
   -9.571202974493E0  -9.999999498231E-1
   -9.561149163595E0  -9.999999493597E-1
   -9.551095352698E0  -9.999999488917E-1
   -9.541041541800E0  -9.999999484191E-1
   -9.530987730903E0  -9.999999479420E-1
   -9.520933920005E0  -9.999999474601E-1
   -9.510880109108E0  -9.999999469735E-1
