#             e [au]            f [a.u.]
   -1.104500000000E1  -9.999999863139E-1
   -1.103394394394E1  -9.999999861845E-1
   -1.102288788789E1  -9.999999860538E-1
   -1.101183183183E1  -9.999999859217E-1
   -1.100077577578E1  -9.999999857884E-1
   -1.098971971972E1  -9.999999856538E-1
   -1.097866366366E1  -9.999999855177E-1
   -1.096760760761E1  -9.999999853804E-1
   -1.095655155155E1  -9.999999852416E-1
   -1.094549549550E1  -9.999999851015E-1
   -1.093443943944E1  -9.999999849600E-1
   -1.092338338338E1  -9.999999848171E-1
   -1.091232732733E1  -9.999999846727E-1
   -1.090127127127E1  -9.999999845269E-1
   -1.089021521522E1  -9.999999843796E-1
   -1.087915915916E1  -9.999999842308E-1
   -1.086810310310E1  -9.999999840806E-1
   -1.085704704705E1  -9.999999839288E-1
   -1.084599099099E1  -9.999999837755E-1
   -1.083493493493E1  -9.999999836207E-1
   -1.082387887888E1  -9.999999834643E-1
   -1.081282282282E1  -9.999999833063E-1
   -1.080176676677E1  -9.999999831468E-1
   -1.079071071071E1  -9.999999829856E-1
   -1.077965465465E1  -9.999999828228E-1
   -1.076859859860E1  -9.999999826584E-1
   -1.075754254254E1  -9.999999824923E-1
   -1.074648648649E1  -9.999999823245E-1
   -1.073543043043E1  -9.999999821551E-1
   -1.072437437437E1  -9.999999819839E-1
   -1.071331831832E1  -9.999999818110E-1
   -1.070226226226E1  -9.999999816363E-1
   -1.069120620621E1  -9.999999814599E-1
   -1.068015015015E1  -9.999999812817E-1
   -1.066909409409E1  -9.999999811017E-1
   -1.065803803804E1  -9.999999809198E-1
   -1.064698198198E1  -9.999999807361E-1
   -1.063592592593E1  -9.999999805506E-1
   -1.062486986987E1  -9.999999803631E-1
   -1.061381381381E1  -9.999999801738E-1
   -1.060275775776E1  -9.999999799825E-1
   -1.059170170170E1  -9.999999797893E-1
   -1.058064564565E1  -9.999999795941E-1
   -1.056958958959E1  -9.999999793970E-1
   -1.055853353353E1  -9.999999791978E-1
   -1.054747747748E1  -9.999999789966E-1
   -1.053642142142E1  -9.999999787933E-1
   -1.052536536537E1  -9.999999785879E-1
   -1.051430930931E1  -9.999999783805E-1
   -1.050325325325E1  -9.999999781709E-1
   -1.049219719720E1  -9.999999779592E-1
   -1.048114114114E1  -9.999999777454E-1
   -1.047008508509E1  -9.999999775293E-1
   -1.045902902903E1  -9.999999773110E-1
   -1.044797297297E1  -9.999999770905E-1
   -1.043691691692E1  -9.999999768677E-1
   -1.042586086086E1  -9.999999766427E-1
   -1.041480480480E1  -9.999999764153E-1
   -1.040374874875E1  -9.999999761856E-1
   -1.039269269269E1  -9.999999759535E-1
   -1.038163663664E1  -9.999999757191E-1
   -1.037058058058E1  -9.999999754822E-1
   -1.035952452452E1  -9.999999752429E-1
   -1.034846846847E1  -9.999999750011E-1
   -1.033741241241E1  -9.999999747569E-1
   -1.032635635636E1  -9.999999745101E-1
   -1.031530030030E1  -9.999999742608E-1
   -1.030424424424E1  -9.999999740089E-1
   -1.029318818819E1  -9.999999737543E-1
   -1.028213213213E1  -9.999999734972E-1
   -1.027107607608E1  -9.999999732374E-1
   -1.026002002002E1  -9.999999729749E-1
   -1.024896396396E1  -9.999999727097E-1
   -1.023790790791E1  -9.999999724418E-1
   -1.022685185185E1  -9.999999721710E-1
   -1.021579579580E1  -9.999999718975E-1
   -1.020473973974E1  -9.999999716211E-1
   -1.019368368368E1  -9.999999713419E-1
   -1.018262762763E1  -9.999999710597E-1
   -1.017157157157E1  -9.999999707747E-1
   -1.016051551552E1  -9.999999704866E-1
   -1.014945945946E1  -9.999999701956E-1
   -1.013840340340E1  -9.999999699015E-1
   -1.012734734735E1  -9.999999696043E-1
   -1.011629129129E1  -9.999999693041E-1
   -1.010523523524E1  -9.999999690007E-1
   -1.009417917918E1  -9.999999686942E-1
   -1.008312312312E1  -9.999999683845E-1
   -1.007206706707E1  -9.999999680715E-1
   -1.006101101101E1  -9.999999677552E-1
   -1.004995495495E1  -9.999999674357E-1
   -1.003889889890E1  -9.999999671128E-1
   -1.002784284284E1  -9.999999667865E-1
   -1.001678678679E1  -9.999999664568E-1
   -1.000573073073E1  -9.999999661236E-1
   -9.994674674675E0  -9.999999657870E-1
   -9.983618618619E0  -9.999999654468E-1
   -9.972562562563E0  -9.999999651030E-1
   -9.961506506507E0  -9.999999647556E-1
   -9.950450450450E0  -9.999999644046E-1
