#             E [au]      sigma_0 [au^2]
  2.220446049250E-16    5.410595578269E1
  3.100382477730E-16    5.410595578269E1
  4.329027274254E-16    5.410595578269E1
  6.044569428401E-16    5.410595578269E1
  8.439960587001E-16    5.410595578269E1
  1.178461684557E-15    5.410595578269E1
  1.645472070222E-15    5.410595578269E1
  2.297553131647E-15    5.410595578269E1
  3.208046182170E-15    5.410595578269E1
  4.479356827565E-15    5.410595578269E1
  6.254472800350E-15    5.410595578269E1
  8.733046175200E-15    5.410595578269E1
  1.219384877554E-14    5.410595578269E1
  1.702612639137E-14    5.410595578269E1
  2.377337830174E-14    5.410595578268E1
  3.319448610248E-14    5.410595578268E1
  4.634906716339E-14    5.410595578268E1
  6.471665264779E-14    5.410595578268E1
  9.036309436758E-14    5.410595578267E1
  1.261729167008E-13    5.410595578267E1
  1.761737468178E-13    5.410595578266E1
  2.459893127574E-13    5.410595578265E1
  3.434719592666E-13    5.410595578263E1
  4.795858221645E-13    5.410595578261E1
  6.696399942294E-13    5.410595578258E1
  9.350103800976E-13    5.410595578254E1
  1.305543901834E-12    5.410595578248E1
  1.822915462648E-12    5.410595578240E1
  2.545315235506E-12    5.410595578229E1
  3.553993468621E-12    5.410595578214E1
  4.962398919712E-12    5.410595578192E1
  6.928938743355E-12    5.410595578161E1
  9.674794970323E-12    5.410595578119E1
  1.350880144633E-11    5.410595578059E1
  1.886217920651E-11    5.410595577976E1
  2.633703706668E-11    5.410595577860E1
  3.677409242364E-11    5.410595577698E1
  5.134722900526E-11    5.410595577471E1
  7.169552673510E-11    5.410595577155E1
  1.001076134663E-10    5.410595576714E1
  1.397790731205E-10    5.410595576098E1
  1.951718616187E-10    5.410595573669E1
  2.725161550819E-10    5.410595570795E1
  3.805110745202E-10    5.410595569118E1
  5.313030994033E-10    5.410595566326E1
  7.418522149230E-10    5.410595561490E1
   1.035839447209E-9    5.410595554060E1
   1.446330332120E-9    5.410595543800E1
   2.019493885127E-9    5.410595524340E1
   2.819795354831E-9    5.410595504911E1
   3.937246803116E-9    5.410595476781E1
   5.497531004188E-9    5.410595433621E1
   7.676137324712E-9    5.410595374415E1
   1.071809948556E-8    5.410595294858E1
   1.496555516438E-8    5.410595184100E1
   2.089622714176E-8    5.410595028977E1
   2.917715406904E-8    5.410594809784E1
   4.073971410214E-8    5.410594503576E1
   5.688437951133E-8    5.410594080315E1
   7.942698430030E-8    5.410593488198E1
   1.109029559474E-7    5.410592659262E1
   1.548524817632E-7    5.410591499640E1
   2.162186832928E-7    5.410589887891E1
   3.019035825100E-7    5.410587630065E1
   4.215443908191E-7    5.410584479354E1
   5.885974321790E-7    5.410580084556E1
   8.218516121032E-7    5.410573943720E1
   1.147541656470E-6    5.410565368435E1
   1.602298801804E-6    5.410553395437E1
   2.237270809114E-6    5.410536677730E1
   3.123874690338E-6    5.410513336718E1
   4.361829172034E-6    5.410480748020E1
   6.090370329147E-6    5.410435241977E1
   8.503911841383E-6    5.410371702917E1
   1.187391122342E-5    5.410282989760E1
   1.657940138272E-5    5.410159122445E1
   2.314962147159E-5    5.409986179165E1
   3.232354184009E-5    5.409744717598E1
   4.513297802170E-5    5.409407595886E1
   6.301864180554E-5    5.408936938454E1
   8.799218197181E-5    5.408279885679E1
   1.228624398484E-4    5.407362692215E1
   1.715513672605E-4    5.406082477620E1
   2.395351390162E-4    5.404295834513E1
   3.344600730367E-4    5.401802907385E1
   4.670026323285E-4    5.398325462659E1
   6.520702355338E-4    5.393476562914E1
   9.104779344586E-4    5.386718975213E1
   1.271289539013E-3    5.377308437182E1
   1.775086502196E-3    5.364217125434E1
   2.478532225415E-3    5.346031836186E1
   3.460745143868E-3    5.320821408523E1
   4.832197390052E-3    5.285969659895E1
   6.747139892053E-3    5.237975395361E1
   9.420951390904E-3    5.172233495837E1
   1.315436266770E-2    5.082834841768E1
   1.836728054456E-2    4.962464043525E1
   2.564601593591E-2    4.802533714855E1
   3.580922781624E-2    4.593761872437E1
   5.000000000000E-2    4.327432267944E1
