#             R [au]        psi_0 [a.u.]        psi_1 [a.u.]
    0.000000000000E0    0.000000000000E0    0.000000000000E0
   6.666888896297E-4   2.189854615047E-3   2.909303066889E-3
   1.333377779259E-3   4.379702719355E-3   5.818575681722E-3
   2.000066668889E-3   6.569537802202E-3   8.727787392760E-3
   2.666755558519E-3   8.759353352909E-3   1.163690774890E-2
   3.333444448148E-3   1.094914286085E-2   1.454590630001E-2
   4.000133337778E-3   1.313889981548E-2   1.745475259721E-2
   4.666822227408E-3   1.532861770635E-2   2.036341619322E-2
   5.333511117037E-3   1.751829002313E-2   2.327186664269E-2
   6.000200006667E-3   1.970791025561E-2   2.618007350248E-2
   6.666888896297E-3   2.189747189376E-2   2.908800633202E-2
   7.333577785926E-3   2.408696842771E-2   3.199563469357E-2
   8.000266675556E-3   2.627639334778E-2   3.490292815263E-2
   8.666955565186E-3   2.846574014451E-2   3.780985627816E-2
   9.333644454815E-3   3.065500230868E-2   4.071638864298E-2
   1.000033334444E-2   3.284417333129E-2   4.362249482401E-2
   1.066702223407E-2   3.503324670365E-2   4.652814440268E-2
   1.133371112370E-2   3.722221591734E-2   4.943330696516E-2
   1.200040001333E-2   3.941107446425E-2   5.233795210274E-2
   1.266708890296E-2   4.159981583660E-2   5.524204941212E-2
   1.333377779259E-2   4.378843352696E-2   5.814556849573E-2
   1.400046668222E-2   4.597692102828E-2   6.104847896205E-2
   1.466715557185E-2   4.816527183387E-2   6.395075042594E-2
   1.533384446148E-2   5.035347943747E-2   6.685235250895E-2
   1.600053335111E-2   5.254153733323E-2   6.975325483962E-2
   1.666722224074E-2   5.472943901576E-2   7.265342705384E-2
   1.733391113037E-2   5.691717798013E-2   7.555283879511E-2
   1.800060002000E-2   5.910474772187E-2   7.845145971491E-2
   1.866728890963E-2   6.129214173706E-2   8.134925947301E-2
   1.933397779926E-2   6.347935352226E-2   8.424620773775E-2
   2.000066668889E-2   6.566637657459E-2   8.714227418639E-2
   2.066735557852E-2   6.785320439173E-2   9.003742850543E-2
   2.133404446815E-2   7.003983047194E-2   9.293164039090E-2
   2.200073335778E-2   7.222624831408E-2   9.582487954872E-2
   2.266742224741E-2   7.441245141762E-2   9.871711569496E-2
   2.333411113704E-2   7.659843328269E-2   1.016083185562E-1
   2.400080002667E-2   7.878418741006E-2   1.044984578699E-1
   2.466748891630E-2   8.096970730118E-2   1.073875033845E-1
   2.533417780593E-2   8.315498645820E-2   1.102754248601E-1
   2.600086669556E-2   8.534001838398E-2   1.131621920683E-1
   2.666755558519E-2   8.752479658212E-2   1.160477747930E-1
   2.733424447482E-2   8.970931455698E-2   1.189321428305E-1
   2.800093336445E-2   9.189356581368E-2   1.218152659896E-1
   2.866762225408E-2   9.407754385814E-2   1.246971140924E-1
   2.933431114370E-2   9.626124219709E-2   1.275776569742E-1
   3.000100003333E-2   9.844465433810E-2   1.304568644839E-1
   3.066768892296E-2   1.006277737896E-1   1.333347064845E-1
   3.133437781259E-2   1.028105940608E-1   1.362111528532E-1
   3.200106670222E-2   1.049931086620E-1   1.390861734820E-1
   3.266775559185E-2   1.071753111042E-1   1.419597382776E-1
   3.333444448148E-2   1.093571948994E-1   1.448318171620E-1
   3.400113337111E-2   1.115387535606E-1   1.477023800727E-1
   3.466782226074E-2   1.137199806017E-1   1.505713969633E-1
   3.533451115037E-2   1.159008695376E-1   1.534388378034E-1
   3.600120004000E-2   1.180814138843E-1   1.563046725790E-1
   3.666788892963E-2   1.202616071586E-1   1.591688712932E-1
   3.733457781926E-2   1.224414428786E-1   1.620314039659E-1
   3.800126670889E-2   1.246209145634E-1   1.648922406347E-1
