#             R [au]        psi_0 [a.u.]
   1.006700223341E-1   8.159810425097E-3
   1.013367112237E-1   8.321282096227E-3
   1.020034001133E-1   8.484835586598E-3
   1.026700890030E-1   8.650483104647E-3
   1.033367778926E-1   8.818236830062E-3
   1.040034667822E-1   8.988108913608E-3
   1.046701556719E-1   9.160111476958E-3
   1.053368445615E-1   9.334256612522E-3
   1.060035334511E-1   9.510556383275E-3
   1.066702223407E-1   9.689022822591E-3
   1.073369112304E-1   9.869667934070E-3
   1.080036001200E-1   1.005250369137E-2
   1.086702890096E-1   1.023754203804E-2
   1.093369778993E-1   1.042479488735E-2
   1.100036667889E-1   1.061427412211E-2
   1.106703556785E-1   1.080599159454E-2
   1.113370445682E-1   1.099995912605E-2
   1.120037334578E-1   1.119618850712E-2
   1.126704223474E-1   1.139469149711E-2
   1.133371112370E-1   1.159547982408E-2
   1.140038001267E-1   1.179856518466E-2
   1.146704890163E-1   1.200395924386E-2
   1.153371779059E-1   1.221167363490E-2
   1.160038667956E-1   1.242171995906E-2
   1.166705556852E-1   1.263410978552E-2
   1.173372445748E-1   1.284885465117E-2
   1.180039334644E-1   1.306596606046E-2
   1.186706223541E-1   1.328545548526E-2
   1.193373112437E-1   1.350733436465E-2
   1.200040001333E-1   1.373161410479E-2
   1.206706890230E-1   1.395830607875E-2
   1.213373779126E-1   1.418742162634E-2
   1.220040668022E-1   1.441897205397E-2
   1.226707556919E-1   1.465296863446E-2
   1.233374445815E-1   1.488942260689E-2
   1.240041334711E-1   1.512834517645E-2
   1.246708223607E-1   1.536974751428E-2
   1.253375112504E-1   1.561364075728E-2
   1.260042001400E-1   1.586003600799E-2
   1.266708890296E-1   1.610894433440E-2
   1.273375779193E-1   1.636037676980E-2
   1.280042668089E-1   1.661434431265E-2
   1.286709556985E-1   1.687085792638E-2
   1.293376445882E-1   1.712992853925E-2
   1.300043334778E-1   1.739156704420E-2
   1.306710223674E-1   1.765578429867E-2
   1.313377112570E-1   1.792259112447E-2
   1.320044001467E-1   1.819199830763E-2
   1.326710890363E-1   1.846401659820E-2
   1.333377779259E-1   1.873865671014E-2
   1.340044668156E-1   1.901592932115E-2
   1.346711557052E-1   1.929584507248E-2
   1.353378445948E-1   1.957841456886E-2
   1.360045334844E-1   1.986364837827E-2
   1.366712223741E-1   2.015155703180E-2
   1.373379112637E-1   2.044215102353E-2
   1.380046001533E-1   2.073544081035E-2
   1.386712890430E-1   2.103143681182E-2
   1.393379779326E-1   2.133014941002E-2
   1.400046668222E-1   2.163158894936E-2
   1.406713557119E-1   2.193576573650E-2
   1.413380446015E-1   2.224269004015E-2
   1.420047334911E-1   2.255237209092E-2
   1.426714223807E-1   2.286482208120E-2
   1.433381112704E-1   2.318005016499E-2
   1.440048001600E-1   2.349806645773E-2
   1.446714890496E-1   2.381888103622E-2
   1.453381779393E-1   2.414250393839E-2
   1.460048668289E-1   2.446894516321E-2
   1.466715557185E-1   2.479821467054E-2
   1.473382446082E-1   2.513032238094E-2
   1.480049334978E-1   2.546527817556E-2
   1.486716223874E-1   2.580309189600E-2
   1.493383112770E-1   2.614377334414E-2
   1.500050001667E-1   2.648733228201E-2
   1.506716890563E-1   2.683377843164E-2
   1.513383779459E-1   2.718312147494E-2
   1.520050668356E-1   2.753537105351E-2
   1.526717557252E-1   2.789053676853E-2
   1.533384446148E-1   2.824862818062E-2
   1.540051335045E-1   2.860965480967E-2
