#             R [au]        psi_0 [a.u.]
    0.000000000000E0    0.000000000000E0
   6.666888896297E-4   2.660029035445E-6
   1.333377779259E-3   1.017748332230E-5
   2.000066668889E-3   2.280107268007E-5
   2.666755558519E-3   4.049280626377E-5
   3.333444448148E-3   6.324617975860E-5
   4.000133337778E-3   9.105895480490E-5
   4.666822227408E-3   1.239300485634E-4
   5.333511117037E-3   1.618587849158E-4
   6.000200006667E-3   2.048446477288E-4
   6.666888896297E-3   2.528871826137E-4
   7.333577785926E-3   3.059859523698E-4
   8.000266675556E-3   3.641405147319E-4
   8.666955565186E-3   4.273504103972E-4
   9.333644454815E-3   4.956151561874E-4
   1.000033334444E-2   5.689342409488E-4
   1.066702223407E-2   6.473071229905E-4
   1.133371112370E-2   7.307332284293E-4
   1.200040001333E-2   8.192119500872E-4
   1.266708890296E-2   9.127426467386E-4
   1.333377779259E-2   1.011324642585E-3
   1.400046668222E-2   1.114957226880E-3
   1.466715557185E-2   1.223639653661E-3
   1.533384446148E-2   1.337371141547E-3
   1.600053335111E-2   1.456150873594E-3
   1.666722224074E-2   1.579977997185E-3
   1.733391113037E-2   1.708851623941E-3
   1.800060002000E-2   1.842770829666E-3
   1.866728890963E-2   1.981734654288E-3
   1.933397779926E-2   2.125742101832E-3
   2.000066668889E-2   2.274792140384E-3
   2.066735557852E-2   2.428883702074E-3
   2.133404446815E-2   2.588015683060E-3
   2.200073335778E-2   2.752186943513E-3
   2.266742224741E-2   2.921396307614E-3
   2.333411113704E-2   3.095642563546E-3
   2.400080002667E-2   3.274924463490E-3
   2.466748891630E-2   3.459240723627E-3
   2.533417780593E-2   3.648590024138E-3
   2.600086669556E-2   3.842971009205E-3
   2.666755558519E-2   4.042382287014E-3
   2.733424447482E-2   4.246822429763E-3
   2.800093336445E-2   4.456289973661E-3
   2.866762225408E-2   4.670783418940E-3
   2.933431114370E-2   4.890301229858E-3
   3.000100003333E-2   5.114841834709E-3
   3.066768892296E-2   5.344403625828E-3
   3.133437781259E-2   5.578984959601E-3
   3.200106670222E-2   5.818584156472E-3
   3.266775559185E-2   6.063199500957E-3
   3.333444448148E-2   6.312829241648E-3
   3.400113337111E-2   6.567471591227E-3
   3.466782226074E-2   6.827124726473E-3
   3.533451115037E-2   7.091786788275E-3
   3.600120004000E-2   7.361455881646E-3
   3.666788892963E-2   7.636130075726E-3
   3.733457781926E-2   7.915807403804E-3
   3.800126670889E-2   8.200485863321E-3
   3.866795559852E-2   8.490163415887E-3
   3.933464448815E-2   8.784837987295E-3
   4.000133337778E-2   9.084507467529E-3
   4.066802226741E-2   9.389169710780E-3
   4.133471115704E-2   9.698822535461E-3
   4.200140004667E-2   1.001346372422E-2
   4.266808893630E-2   1.033309102394E-2
   4.333477782593E-2   1.065770214578E-2
   4.400146671556E-2   1.098729476518E-2
   4.466815560519E-2   1.132186652185E-2
   4.533484449482E-2   1.166141501983E-2
   4.600153338445E-2   1.200593782745E-2
   4.666822227408E-2   1.235543247741E-2
   4.733491116371E-2   1.270989646674E-2
   4.800160005334E-2   1.306932725685E-2
   4.866828894296E-2   1.343372227352E-2
   4.933497783259E-2   1.380307890694E-2
   5.000166672222E-2   1.417739451172E-2
   5.066835561185E-2   1.455666640689E-2
   5.133504450148E-2   1.494089187595E-2
   5.200173339111E-2   1.533006816684E-2
   5.266842228074E-2   1.572419249202E-2
   5.333511117037E-2   1.612326202843E-2
   5.400180006000E-2   1.652727391753E-2
   5.466848894963E-2   1.693622526533E-2
   5.533517783926E-2   1.735011314240E-2
   5.600186672889E-2   1.776893458387E-2
   5.666855561852E-2   1.819268658949E-2
   5.733524450815E-2   1.862136612359E-2
   5.800193339778E-2   1.905497011517E-2
   5.866862228741E-2   1.949349545786E-2
   5.933531117704E-2   1.993693900998E-2
   6.000200006667E-2   2.038529759452E-2
   6.066868895630E-2   2.083856799921E-2
   6.133537784593E-2   2.129674697649E-2
   6.200206673556E-2   2.175983124358E-2
   6.266875562519E-2   2.222781748245E-2
   6.333544451482E-2   2.270070233989E-2
   6.400213340445E-2   2.317848242749E-2
   6.466882229408E-2   2.366115432170E-2
   6.533551118371E-2   2.414871456380E-2
   6.600220007334E-2   2.464115965999E-2
   6.666888896297E-2   2.513848608135E-2
   6.733557785260E-2   2.564069026391E-2
   6.800226674222E-2   2.614776860863E-2
   6.866895563185E-2   2.665971748146E-2
   6.933564452148E-2   2.717653321335E-2
   7.000233341111E-2   2.769821210025E-2
   7.066902230074E-2   2.822475040318E-2
   7.133571119037E-2   2.875614434821E-2
   7.200240008000E-2   2.929239012652E-2
   7.266908896963E-2   2.983348389439E-2
   7.333577785926E-2   3.037942177326E-2
   7.400246674889E-2   3.093019984971E-2
   7.466915563852E-2   3.148581417555E-2
   7.533584452815E-2   3.204626076777E-2
   7.600253341778E-2   3.261153560863E-2
   7.666922230741E-2   3.318163464563E-2
   7.733591119704E-2   3.375655379159E-2
   7.800260008667E-2   3.433628892463E-2
   7.866928897630E-2   3.492083588824E-2
   7.933597786593E-2   3.551019049126E-2
   8.000266675556E-2   3.610434850795E-2
   8.066935564519E-2   3.670330567796E-2
   8.133604453482E-2   3.730705770645E-2
   8.200273342445E-2   3.791560026401E-2
   8.266942231408E-2   3.852892898677E-2
   8.333611120371E-2   3.914703947638E-2
   8.400280009334E-2   3.976992730007E-2
   8.466948898297E-2   4.039758799065E-2
   8.533617787260E-2   4.103001704655E-2
   8.600286676223E-2   4.166720993188E-2
   8.666955565186E-2   4.230916207639E-2
   8.733624454148E-2   4.295586887556E-2
   8.800293343111E-2   4.360732569062E-2
   8.866962232074E-2   4.426352784853E-2
   8.933631121037E-2   4.492447064209E-2
   9.000300010000E-2   4.559014932990E-2
   9.066968898963E-2   4.626055913644E-2
   9.133637787926E-2   4.693569525205E-2
   9.200306676889E-2   4.761555283302E-2
   9.266975565852E-2   4.830012700158E-2
   9.333644454815E-2   4.898941284593E-2
   9.400313343778E-2   4.968340542029E-2
   9.466982232741E-2   5.038209974494E-2
   9.533651121704E-2   5.108549080622E-2
   9.600320010667E-2   5.179357355658E-2
   9.666988899630E-2   5.250634291461E-2
   9.733657788593E-2   5.322379376509E-2
   9.800326677556E-2   5.394592095898E-2
   9.866995566519E-2   5.467271931351E-2
   9.933664455482E-2   5.540418361215E-2
   1.000033334444E-1   5.614030860469E-2
   1.006700223341E-1   5.688108900728E-2
   1.013367112237E-1   5.762651950240E-2
   1.020034001133E-1   5.837659473898E-2
   1.026700890030E-1   5.913130933236E-2
   1.033367778926E-1   5.989065786437E-2
   1.040034667822E-1   6.065463488334E-2
   1.046701556719E-1   6.142323490417E-2
   1.053368445615E-1   6.219645240832E-2
   1.060035334511E-1   6.297428184385E-2
   1.066702223407E-1   6.375671762551E-2
   1.073369112304E-1   6.454375413472E-2
   1.080036001200E-1   6.533538571960E-2
   1.086702890096E-1   6.613160669506E-2
   1.093369778993E-1   6.693241134280E-2
   1.100036667889E-1   6.773779391134E-2
   1.106703556785E-1   6.854774861607E-2
   1.113370445682E-1   6.936226963929E-2
   1.120037334578E-1   7.018135113025E-2
   1.126704223474E-1   7.100498720517E-2
   1.133371112370E-1   7.183317194729E-2
   1.140038001267E-1   7.266589940691E-2
   1.146704890163E-1   7.350316360142E-2
   1.153371779059E-1   7.434495851534E-2
   1.160038667956E-1   7.519127810037E-2
   1.166705556852E-1   7.604211627540E-2
   1.173372445748E-1   7.689746692659E-2
   1.180039334644E-1   7.775732390738E-2
   1.186706223541E-1   7.862168103853E-2
   1.193373112437E-1   7.949053210817E-2
   1.200040001333E-1   8.036387087184E-2
   1.206706890230E-1   8.124169105252E-2
   1.213373779126E-1   8.212398634068E-2
   1.220040668022E-1   8.301075039432E-2
   1.226707556919E-1   8.390197683899E-2
   1.233374445815E-1   8.479765926786E-2
   1.240041334711E-1   8.569779124176E-2
   1.246708223607E-1   8.660236628919E-2
   1.253375112504E-1   8.751137790639E-2
   1.260042001400E-1   8.842481955737E-2
   1.266708890296E-1   8.934268467396E-2
   1.273375779193E-1   9.026496665584E-2
   1.280042668089E-1   9.119165887059E-2
   1.286709556985E-1   9.212275465374E-2
   1.293376445882E-1   9.305824730880E-2
   1.300043334778E-1   9.399813010730E-2
   1.306710223674E-1   9.494239628884E-2
   1.313377112570E-1   9.589103906114E-2
   1.320044001467E-1   9.684405160009E-2
   1.326710890363E-1   9.780142704974E-2
   1.333377779259E-1   9.876315852242E-2
   1.340044668156E-1   9.972923909875E-2
   1.346711557052E-1   1.006996618276E-1
   1.353378445948E-1   1.016744197264E-1
   1.360045334844E-1   1.026535057809E-1
   1.366712223741E-1   1.036369129451E-1
   1.373379112637E-1   1.046246341420E-1
   1.380046001533E-1   1.056166622626E-1
   1.386712890430E-1   1.066129901670E-1
   1.393379779326E-1   1.076136106835E-1
   1.400046668222E-1   1.086185166096E-1
   1.406713557119E-1   1.096277007110E-1
   1.413380446015E-1   1.106411557226E-1
   1.420047334911E-1   1.116588743479E-1
   1.426714223807E-1   1.126808492594E-1
   1.433381112704E-1   1.137070730985E-1
   1.440048001600E-1   1.147375384755E-1
   1.446714890496E-1   1.157722379698E-1
   1.453381779393E-1   1.168111641299E-1
   1.460048668289E-1   1.178543094733E-1
   1.466715557185E-1   1.189016664867E-1
   1.473382446082E-1   1.199532276261E-1
   1.480049334978E-1   1.210089853167E-1
   1.486716223874E-1   1.220689319531E-1
   1.493383112770E-1   1.231330598989E-1
   1.500050001667E-1   1.242013614876E-1
   1.506716890563E-1   1.252738290219E-1
   1.513383779459E-1   1.263504547740E-1
   1.520050668356E-1   1.274312309856E-1
   1.526717557252E-1   1.285161498683E-1
   1.533384446148E-1   1.296052036029E-1
   1.540051335045E-1   1.306983843403E-1
   1.546718223941E-1   1.317956842010E-1
   1.553385112837E-1   1.328970952753E-1
   1.560052001733E-1   1.340026096234E-1
   1.566718890630E-1   1.351122192752E-1
   1.573385779526E-1   1.362259162309E-1
   1.580052668422E-1   1.373436924605E-1
   1.586719557319E-1   1.384655399041E-1
   1.593386446215E-1   1.395914504718E-1
   1.600053335111E-1   1.407214160441E-1
   1.606720224007E-1   1.418554284716E-1
   1.613387112904E-1   1.429934795750E-1
   1.620054001800E-1   1.441355611456E-1
   1.626720890696E-1   1.452816649449E-1
   1.633387779593E-1   1.464317827048E-1
   1.640054668489E-1   1.475859061279E-1
   1.646721557385E-1   1.487440268871E-1
   1.653388446282E-1   1.499061366259E-1
   1.660055335178E-1   1.510722269586E-1
   1.666722224074E-1   1.522422894700E-1
   1.673389112970E-1   1.534163157158E-1
   1.680056001867E-1   1.545942972225E-1
   1.686722890763E-1   1.557762254873E-1
   1.693389779659E-1   1.569620919784E-1
   1.700056668556E-1   1.581518881349E-1
   1.706723557452E-1   1.593456053671E-1
   1.713390446348E-1   1.605432350563E-1
   1.720057335245E-1   1.617447685547E-1
   1.726724224141E-1   1.629501971860E-1
   1.733391113037E-1   1.641595122449E-1
   1.740058001933E-1   1.653727049976E-1
   1.746724890830E-1   1.665897666816E-1
   1.753391779726E-1   1.678106885055E-1
   1.760058668622E-1   1.690354616499E-1
   1.766725557519E-1   1.702640772665E-1
   1.773392446415E-1   1.714965264787E-1
   1.780059335311E-1   1.727328003816E-1
   1.786726224207E-1   1.739728900419E-1
   1.793393113104E-1   1.752167864981E-1
   1.800060002000E-1   1.764644807606E-1
