#             E [au]      sigma_0 [au^2]
  2.220446049250E-16    2.124871163433E3
  3.100382477730E-16    2.124871163433E3
  4.329027274254E-16    2.124871163433E3
  6.044569428401E-16    2.124871163433E3
  8.439960587001E-16    2.124871163432E3
  1.178461684557E-15    2.124871163432E3
  1.645472070222E-15    2.124871163432E3
  2.297553131647E-15    2.124871163432E3
  3.208046182170E-15    2.124871163431E3
  4.479356827565E-15    2.124871163431E3
  6.254472800350E-15    2.124871163430E3
  8.733046175200E-15    2.124871163429E3
  1.219384877554E-14    2.124871163426E3
  1.702612639137E-14    2.124871163424E3
  2.377337830174E-14    2.124871163421E3
  3.319448610248E-14    2.124871163415E3
  4.634906716339E-14    2.124871163409E3
  6.471665264779E-14    2.124871163399E3
  9.036309436758E-14    2.124871163385E3
  1.261729167008E-13    2.124871163366E3
  1.761737468178E-13    2.124871163339E3
  2.459893127574E-13    2.124871163303E3
  3.434719592666E-13    2.124871163251E3
  4.795858221645E-13    2.124871163179E3
  6.696399942294E-13    2.124871163078E3
  9.350103800976E-13    2.124871162937E3
  1.305543901834E-12    2.124871162740E3
  1.822915462648E-12    2.124871162466E3
  2.545315235506E-12    2.124871162083E3
  3.553993468621E-12    2.124871161547E3
  4.962398919712E-12    2.124871160800E3
  6.928938743355E-12    2.124871159756E3
  9.674794970323E-12    2.124871158299E3
  1.350880144633E-11    2.124871156265E3
  1.886217920651E-11    2.124871153425E3
  2.633703706668E-11    2.124871149459E3
  3.677409242364E-11    2.124871143920E3
  5.134722900526E-11    2.124871136188E3
  7.169552673510E-11    2.124871125392E3
  1.001076134663E-10    2.124871110316E3
  1.397790731205E-10    2.124871089267E3
  1.951718616187E-10    2.124871021540E3
  2.725161550819E-10    2.124870980501E3
  3.805110745202E-10    2.124870923200E3
  5.313030994033E-10    2.124870804842E3
  7.418522149230E-10    2.124870693125E3
   1.035839447209E-9    2.124870520794E3
   1.446330332120E-9    2.124870231434E3
   2.019493885127E-9    2.124869778163E3
   2.819795354831E-9    2.124869294933E3
   3.937246803116E-9    2.124868565443E3
   5.497531004188E-9    2.124867522480E3
   7.676137324712E-9    2.124866023952E3
   1.071809948556E-8    2.124864016341E3
   1.496555516438E-8    2.124861232875E3
   2.089622714176E-8    2.124857286181E3
   2.917715406904E-8    2.124851794434E3
   4.073971410214E-8    2.124844100819E3
   5.688437951133E-8    2.124833408624E3
   7.942698430030E-8    2.124818426988E3
   1.109029559474E-7    2.124797575972E3
   1.548524817632E-7    2.124768379909E3
   2.162186832928E-7    2.124727687449E3
   3.019035825100E-7    2.124670808241E3
   4.215443908191E-7    2.124591437464E3
   5.885974321790E-7    2.124480649531E3
   8.218516121032E-7    2.124325913674E3
   1.147541656470E-6    2.124109884602E3
   1.602298801804E-6    2.123808340468E3
   2.237270809114E-6    2.123387454565E3
   3.123874690338E-6    2.122800065321E3
   4.361829172034E-6    2.121980433021E3
   6.090370329147E-6    2.120837053741E3
   8.503911841383E-6    2.119242587088E3
   1.187391122342E-5    2.117020274837E3
   1.657940138272E-5    2.113925057411E3
   2.314962147159E-5    2.109618360395E3
   3.232354184009E-5    2.103634226385E3
   4.513297802170E-5    2.095335057640E3
   6.301864180554E-5    2.083855789635E3
   8.799218197181E-5    2.068035879993E3
   1.228624398484E-4    2.046343801877E3
   1.715513672605E-4    2.016804364817E3
   2.395351390162E-4    1.976955096419E3
   3.344600730367E-4    1.923873408989E3
   4.670026323285E-4    1.854344709721E3
   6.520702355338E-4    1.765252444752E3
   9.104779344586E-4    1.654251987545E3
   1.271289539013E-3    1.520693236607E3
   1.775086502196E-3    1.366569396315E3
   2.478532225415E-3    1.197062042382E3
   3.460745143868E-3    1.020214600711E3
   4.832197390052E-3    8.455779795595E2
   6.747139892053E-3    6.822393913961E2
   9.420951390904E-3    5.370459905313E2
   1.315436266770E-2    4.137043439311E2
   1.836728054456E-2    3.128985162015E2
   2.564601593591E-2    2.330816200372E2
   3.580922781624E-2    1.714547650128E2
   5.000000000000E-2    1.247907147135E2
