#             R [au]        psi_0 [a.u.]
    0.000000000000E0    0.000000000000E0
   6.666888896297E-4   2.273464394968E-9
   1.333377779259E-3   1.818767887268E-8
   2.000066668889E-3   6.138321208094E-8
   2.666755558519E-3   1.455002697996E-7
   3.333444448148E-3   2.841785135117E-7
   4.000133337778E-3   4.910568789800E-7
   4.666822227408E-3   7.797733948321E-7
   5.333511117037E-3   1.163965001155E-6
   6.000200006667E-3   1.657267368101E-6
   6.666888896297E-3   2.273314714508E-6
   7.333577785926E-3   3.025739626538E-6
   8.000266675556E-3   3.928172876326E-6
   8.666955565186E-3   4.994243240658E-6
   9.333644454815E-3   6.237577319663E-6
   1.000033334444E-2   7.671799355534E-6
   1.066702223407E-2   9.310531051270E-6
   1.133371112370E-2   1.116739138945E-5
   1.200040001333E-2   1.325599645104E-5
   1.266708890296E-2   1.558995923421E-5
   1.333377779259E-2   1.818288947321E-5
   1.400046668222E-2   2.104839345728E-5
   1.466715557185E-2   2.420007384958E-5
   1.533384446148E-2   2.765152950616E-5
   1.600053335111E-2   3.141635529502E-5
   1.666722224074E-2   3.550814191510E-5
   1.733391113037E-2   3.994047571547E-5
   1.800060002000E-2   4.472693851444E-5
   1.866728890963E-2   4.988110741875E-5
   1.933397779926E-2   5.541655464289E-5
   2.000066668889E-2   6.134684732834E-5
   2.066735557852E-2   6.768554736298E-5
   2.133404446815E-2   7.444621120049E-5
   2.200073335778E-2   8.164238967983E-5
   2.266742224741E-2   8.928762784480E-5
   2.333411113704E-2   9.739546476364E-5
   2.400080002667E-2   1.059794333487E-4
   2.466748891630E-2   1.150530601761E-4
   2.533417780593E-2   1.246298653057E-4
   2.600086669556E-2   1.347233621008E-4
   2.666755558519E-2   1.453470570483E-4
   2.733424447482E-2   1.565144495784E-4
   2.800093336445E-2   1.682390318851E-4
   2.866762225408E-2   1.805342887459E-4
   2.933431114370E-2   1.934136973427E-4
   3.000100003333E-2   2.068907270815E-4
   3.066768892296E-2   2.209788394132E-4
   3.133437781259E-2   2.356914876539E-4
   3.200106670222E-2   2.510421168059E-4
   3.266775559185E-2   2.670441633777E-4
   3.333444448148E-2   2.837110552055E-4
   3.400113337111E-2   3.010562112737E-4
   3.466782226074E-2   3.190930415359E-4
   3.533451115037E-2   3.378349467360E-4
   3.600120004000E-2   3.572953182295E-4
   3.666788892963E-2   3.774875378044E-4
   3.733457781926E-2   3.984249775033E-4
   3.800126670889E-2   4.201209994439E-4
   3.866795559852E-2   4.425889556416E-4
   3.933464448815E-2   4.658421878302E-4
   4.000133337778E-2   4.898940272848E-4
   4.066802226741E-2   5.147577946427E-4
   4.133471115704E-2   5.404467997262E-4
   4.200140004667E-2   5.669743413642E-4
   4.266808893630E-2   5.943537072151E-4
   4.333477782593E-2   6.225981735885E-4
   4.400146671556E-2   6.517210052682E-4
   4.466815560519E-2   6.817354553348E-4
   4.533484449482E-2   7.126547649883E-4
   4.600153338445E-2   7.444921633712E-4
   4.666822227408E-2   7.772608673912E-4
   4.733491116371E-2   8.109740815449E-4
   4.800160005334E-2   8.456449977407E-4
   4.866828894296E-2   8.812867951224E-4
   4.933497783259E-2   9.179126398926E-4
   5.000166672222E-2   9.555356851367E-4
   5.066835561185E-2   9.941690706466E-4
   5.133504450148E-2   1.033825922745E-3
   5.200173339111E-2   1.074519354108E-3
   5.266842228074E-2   1.116262463593E-3
   5.333511117037E-2   1.159068336059E-3
   5.400180006000E-2   1.202950042193E-3
   5.466848894963E-2   1.247920638336E-3
   5.533517783926E-2   1.293993166306E-3
   5.600186672889E-2   1.341180653224E-3
   5.666855561852E-2   1.389496111340E-3
   5.733524450815E-2   1.438952537854E-3
   5.800193339778E-2   1.489562914749E-3
   5.866862228741E-2   1.541340208611E-3
   5.933531117704E-2   1.594297370457E-3
   6.000200006667E-2   1.648447335559E-3
   6.066868895630E-2   1.703803023274E-3
