#             R [au]        psi_0 [a.u.]        psi_1 [a.u.]
    0.000000000000E0    0.000000000000E0    0.000000000000E0
   6.666888896297E-4   2.164637133302E-3   1.203771796455E-3
   1.333377779259E-3   4.329267919955E-3   2.407531625323E-3
   2.000066668889E-3   6.493886013330E-3   3.611267519134E-3
   2.666755558519E-3   8.658485066834E-3   4.814967510659E-3
   3.333444448148E-3   1.082305873393E-2   6.018619633022E-3
   4.000133337778E-3   1.298760066816E-2   7.222211919826E-3
   4.666822227408E-3   1.515210452314E-2   8.425732405268E-3
   5.333511117037E-3   1.731656395263E-2   9.629169124260E-3
   6.000200006667E-3   1.948097261049E-2   1.083251011254E-2
   6.666888896297E-3   2.164532415075E-2   1.203574340681E-2
   7.333577785926E-3   2.380961222760E-2   1.323885704484E-2
   8.000266675556E-3   2.597383049541E-2   1.444183906557E-2
   8.666955565186E-3   2.813797260875E-2   1.564467750928E-2
   9.333644454815E-3   3.030203222244E-2   1.684736041765E-2
   1.000033334444E-2   3.246600299152E-2   1.804987583393E-2
   1.066702223407E-2   3.462987857128E-2   1.925221180301E-2
   1.133371112370E-2   3.679365261733E-2   2.045435637158E-2
   1.200040001333E-2   3.895731878553E-2   2.165629758823E-2
   1.266708890296E-2   4.112087073210E-2   2.285802350358E-2
   1.333377779259E-2   4.328430211355E-2   2.405952217037E-2
   1.400046668222E-2   4.544760658678E-2   2.526078164362E-2
   1.466715557185E-2   4.761077780905E-2   2.646178998072E-2
   1.533384446148E-2   4.977380943800E-2   2.766253524155E-2
   1.600053335111E-2   5.193669513170E-2   2.886300548861E-2
   1.666722224074E-2   5.409942854863E-2   3.006318878714E-2
   1.733391113037E-2   5.626200334772E-2   3.126307320522E-2
   1.800060002000E-2   5.842441318838E-2   3.246264681393E-2
   1.866728890963E-2   6.058665173048E-2   3.366189768739E-2
   1.933397779926E-2   6.274871263441E-2   3.486081390299E-2
   2.000066668889E-2   6.491058956107E-2   3.605938354139E-2
   2.066735557852E-2   6.707227617191E-2   3.725759468673E-2
   2.133404446815E-2   6.923376612893E-2   3.845543542671E-2
   2.200073335778E-2   7.139505309471E-2   3.965289385270E-2
   2.266742224741E-2   7.355613073242E-2   4.084995805988E-2
   2.333411113704E-2   7.571699270585E-2   4.204661614735E-2
   2.400080002667E-2   7.787763267943E-2   4.324285621824E-2
   2.466748891630E-2   8.003804431822E-2   4.443866637984E-2
   2.533417780593E-2   8.219822128796E-2   4.563403474373E-2
   2.600086669556E-2   8.435815725508E-2   4.682894942585E-2
   2.666755558519E-2   8.651784588671E-2   4.802339854667E-2
   2.733424447482E-2   8.867728085073E-2   4.921737023129E-2
   2.800093336445E-2   9.083645581572E-2   5.041085260956E-2
   2.866762225408E-2   9.299536445107E-2   5.160383381617E-2
   2.933431114370E-2   9.515400042690E-2   5.279630199082E-2
   3.000100003333E-2   9.731235741418E-2   5.398824527830E-2
   3.066768892296E-2   9.947042908467E-2   5.517965182861E-2
   3.133437781259E-2   1.016282091110E-1   5.637050979711E-2
   3.200106670222E-2   1.037856911665E-1   5.756080734458E-2
   3.266775559185E-2   1.059428689257E-1   5.875053263741E-2
   3.333444448148E-2   1.080997360636E-1   5.993967384764E-2
   3.400113337111E-2   1.102562862565E-1   6.112821915314E-2
   3.466782226074E-2   1.124125131815E-1   6.231615673771E-2
   3.533451115037E-2   1.145684105164E-1   6.350347479118E-2
   3.600120004000E-2   1.167239719404E-1   6.469016150953E-2
   3.666788892963E-2   1.188791911333E-1   6.587620509504E-2
   3.733457781926E-2   1.210340617761E-1   6.706159375636E-2
   3.800126670889E-2   1.231885775508E-1   6.824631570867E-2
   3.866795559852E-2   1.253427321405E-1   6.943035917377E-2
   3.933464448815E-2   1.274965192292E-1   7.061371238021E-2
   4.000133337778E-2   1.296499325020E-1   7.179636356339E-2
   4.066802226741E-2   1.318029656454E-1   7.297830096571E-2
   4.133471115704E-2   1.339556123465E-1   7.415951283664E-2
   4.200140004667E-2   1.361078662940E-1   7.533998743289E-2
   4.266808893630E-2   1.382597211774E-1   7.651971301848E-2
   4.333477782593E-2   1.404111706877E-1   7.769867786488E-2
   4.400146671556E-2   1.425622085168E-1   7.887687025113E-2
   4.466815560519E-2   1.447128283579E-1   8.005427846396E-2
   4.533484449482E-2   1.468630239056E-1   8.123089079786E-2
   4.600153338445E-2   1.490127888555E-1   8.240669555526E-2
   4.666822227408E-2   1.511621169045E-1   8.358168104663E-2
   4.733491116371E-2   1.533110017509E-1   8.475583559055E-2
   4.800160005334E-2   1.554594370942E-1   8.592914751388E-2
   4.866828894296E-2   1.576074166353E-1   8.710160515187E-2
   4.933497783259E-2   1.597549340764E-1   8.827319684824E-2
   5.000166672222E-2   1.619019831210E-1   8.944391095533E-2
   5.066835561185E-2   1.640485574741E-1   9.061373583421E-2
   5.133504450148E-2   1.661946508419E-1   9.178265985477E-2
   5.200173339111E-2   1.683402569322E-1   9.295067139587E-2
   5.266842228074E-2   1.704853694541E-1   9.411775884546E-2
   5.333511117037E-2   1.726299821182E-1   9.528391060064E-2
   5.400180006000E-2   1.747740886366E-1   9.644911506785E-2
   5.466848894963E-2   1.769176827228E-1   9.761336066290E-2
   5.533517783926E-2   1.790607580919E-1   9.877663581119E-2
   5.600186672889E-2   1.812033084605E-1   9.993892894773E-2
   5.666855561852E-2   1.833453275466E-1   1.011002285173E-1
   5.733524450815E-2   1.854868090699E-1   1.022605229745E-1
   5.800193339778E-2   1.876277467517E-1   1.034198007841E-1
   5.866862228741E-2   1.897681343148E-1   1.045780504209E-1
   5.933531117704E-2   1.919079654837E-1   1.057352603696E-1
   6.000200006667E-2   1.940472339844E-1   1.068914191258E-1
   6.066868895630E-2   1.961859335446E-1   1.080465151952E-1
   6.133537784593E-2   1.983240578938E-1   1.092005370941E-1
   6.200206673556E-2   2.004616007631E-1   1.103534733495E-1
   6.266875562519E-2   2.025985558853E-1   1.115053124992E-1
   6.333544451482E-2   2.047349169947E-1   1.126560430919E-1
   6.400213340445E-2   2.068706778278E-1   1.138056536874E-1
   6.466882229408E-2   2.090058321226E-1   1.149541328566E-1
   6.533551118371E-2   2.111403736187E-1   1.161014691815E-1
   6.600220007334E-2   2.132742960579E-1   1.172476512557E-1
   6.666888896297E-2   2.154075931835E-1   1.183926676841E-1
   6.733557785260E-2   2.175402587408E-1   1.195365070832E-1
   6.800226674222E-2   2.196722864768E-1   1.206791580812E-1
   6.866895563185E-2   2.218036701405E-1   1.218206093183E-1
   6.933564452148E-2   2.239344034828E-1   1.229608494465E-1
   7.000233341111E-2   2.260644802564E-1   1.240998671297E-1
   7.066902230074E-2   2.281938942160E-1   1.252376510441E-1
   7.133571119037E-2   2.303226391182E-1   1.263741898782E-1
   7.200240008000E-2   2.324507087217E-1   1.275094723328E-1
   7.266908896963E-2   2.345780967869E-1   1.286434871213E-1
   7.333577785926E-2   2.367047970765E-1   1.297762229694E-1
   7.400246674889E-2   2.388308033550E-1   1.309076686160E-1
   7.466915563852E-2   2.409561093890E-1   1.320378128124E-1
   7.533584452815E-2   2.430807089472E-1   1.331666443230E-1
   7.600253341778E-2   2.452045958004E-1   1.342941519253E-1
   7.666922230741E-2   2.473277637214E-1   1.354203244099E-1
   7.733591119704E-2   2.494502064851E-1   1.365451505807E-1
   7.800260008667E-2   2.515719178686E-1   1.376686192549E-1
   7.866928897630E-2   2.536928916510E-1   1.387907192634E-1
   7.933597786593E-2   2.558131216139E-1   1.399114394504E-1
   8.000266675556E-2   2.579326015406E-1   1.410307686741E-1
   8.066935564519E-2   2.600513252170E-1   1.421486958064E-1
   8.133604453482E-2   2.621692864310E-1   1.432652097331E-1
   8.200273342445E-2   2.642864789729E-1   1.443802993542E-1
   8.266942231408E-2   2.664028966351E-1   1.454939535838E-1
   8.333611120371E-2   2.685185332123E-1   1.466061613501E-1
   8.400280009334E-2   2.706333825015E-1   1.477169115958E-1
   8.466948898297E-2   2.727474383021E-1   1.488261932783E-1
   8.533617787260E-2   2.748606944158E-1   1.499339953693E-1
   8.600286676223E-2   2.769731446464E-1   1.510403068553E-1
   8.666955565186E-2   2.790847828005E-1   1.521451167376E-1
   8.733624454148E-2   2.811956026866E-1   1.532484140326E-1
   8.800293343111E-2   2.833055981161E-1   1.543501877714E-1
