#             R [au]        psi_0 [a.u.]
    0.000000000000E0    0.000000000000E0
   6.666888896297E-4   2.160004679945E-3
   1.333377779259E-3   4.320003043068E-3
   2.000066668889E-3   6.479988772568E-3
   2.666755558519E-3   8.639955551678E-3
   3.333444448148E-3   1.079989706369E-2
   4.000133337778E-3   1.295980699196E-2
   4.666822227408E-3   1.511967901996E-2
   5.333511117037E-3   1.727950683124E-2
   6.000200006667E-3   1.943928410950E-2
   6.666888896297E-3   2.159900453859E-2
   7.333577785926E-3   2.375866180251E-2
   8.000266675556E-3   2.591824958547E-2
   8.666955565186E-3   2.807776157186E-2
   9.333644454815E-3   3.023719144630E-2
   1.000033334444E-2   3.239653289364E-2
   1.066702223407E-2   3.455577959901E-2
   1.133371112370E-2   3.671492524781E-2
   1.200040001333E-2   3.887396352572E-2
   1.266708890296E-2   4.103288811875E-2
   1.333377779259E-2   4.319169271324E-2
   1.400046668222E-2   4.535037099587E-2
   1.466715557185E-2   4.750891665370E-2
   1.533384446148E-2   4.966732337419E-2
   1.600053335111E-2   5.182558484517E-2
   1.666722224074E-2   5.398369475493E-2
   1.733391113037E-2   5.614164679219E-2
   1.800060002000E-2   5.829943464613E-2
   1.866728890963E-2   6.045705200641E-2
   1.933397779926E-2   6.261449256319E-2
   2.000066668889E-2   6.477175000715E-2
   2.066735557852E-2   6.692881802950E-2
   2.133404446815E-2   6.908569032201E-2
   2.200073335778E-2   7.124236057702E-2
   2.266742224741E-2   7.339882248746E-2
   2.333411113704E-2   7.555506974686E-2
   2.400080002667E-2   7.771109604940E-2
   2.466748891630E-2   7.986689508989E-2
   2.533417780593E-2   8.202246056381E-2
   2.600086669556E-2   8.417778616731E-2
   2.666755558519E-2   8.633286559727E-2
   2.733424447482E-2   8.848769255126E-2
   2.800093336445E-2   9.064226072760E-2
   2.866762225408E-2   9.279656382537E-2
   2.933431114370E-2   9.495059554443E-2
   3.000100003333E-2   9.710434958542E-2
   3.066768892296E-2   9.925781964979E-2
   3.133437781259E-2   1.014109994398E-1
   3.200106670222E-2   1.035638826587E-1
   3.266775559185E-2   1.057164630104E-1
   3.333444448148E-2   1.078687341998E-1
   3.400113337111E-2   1.100206899327E-1
   3.466782226074E-2   1.121723239159E-1
   3.533451115037E-2   1.143236298569E-1
   3.600120004000E-2   1.164746014644E-1
   3.666788892963E-2   1.186252324480E-1
   3.733457781926E-2   1.207755165183E-1
   3.800126670889E-2   1.229254473869E-1
   3.866795559852E-2   1.250750187665E-1
   3.933464448815E-2   1.272242243706E-1
   4.000133337778E-2   1.293730579142E-1
   4.066802226741E-2   1.315215131130E-1
   4.133471115704E-2   1.336695836839E-1
   4.200140004667E-2   1.358172633452E-1
   4.266808893630E-2   1.379645458159E-1
   4.333477782593E-2   1.401114248165E-1
   4.400146671556E-2   1.422578940685E-1
   4.466815560519E-2   1.444039472948E-1
   4.533484449482E-2   1.465495782192E-1
   4.600153338445E-2   1.486947805670E-1
   4.666822227408E-2   1.508395480647E-1
   4.733491116371E-2   1.529838744400E-1
   4.800160005334E-2   1.551277534219E-1
   4.866828894296E-2   1.572711787407E-1
   4.933497783259E-2   1.594141441282E-1
   5.000166672222E-2   1.615566433174E-1
   5.066835561185E-2   1.636986700426E-1
   5.133504450148E-2   1.658402180395E-1
   5.200173339111E-2   1.679812810453E-1
   5.266842228074E-2   1.701218527987E-1
   5.333511117037E-2   1.722619270396E-1
   5.400180006000E-2   1.744014975094E-1
   5.466848894963E-2   1.765405579511E-1
   5.533517783926E-2   1.786791021092E-1
   5.600186672889E-2   1.808171237295E-1
   5.666855561852E-2   1.829546165596E-1
   5.733524450815E-2   1.850915743485E-1
   5.800193339778E-2   1.872279908467E-1
   5.866862228741E-2   1.893638598064E-1
   5.933531117704E-2   1.914991749813E-1
   6.000200006667E-2   1.936339301269E-1
   6.066868895630E-2   1.957681190001E-1
   6.133537784593E-2   1.979017353597E-1
   6.200206673556E-2   2.000347729659E-1
   6.266875562519E-2   2.021672255809E-1
   6.333544451482E-2   2.042990869684E-1
   6.400213340445E-2   2.064303508939E-1
   6.466882229408E-2   2.085610111245E-1
   6.533551118371E-2   2.106910614293E-1
   6.600220007334E-2   2.128204955791E-1
   6.666888896297E-2   2.149493073465E-1
   6.733557785260E-2   2.170774905058E-1
   6.800226674222E-2   2.192050388332E-1
   6.866895563185E-2   2.213319461070E-1
   6.933564452148E-2   2.234582061070E-1
   7.000233341111E-2   2.255838126152E-1
   7.066902230074E-2   2.277087594152E-1
   7.133571119037E-2   2.298330402929E-1
   7.200240008000E-2   2.319566490357E-1
   7.266908896963E-2   2.340795794335E-1
   7.333577785926E-2   2.362018252777E-1
   7.400246674889E-2   2.383233803620E-1
   7.466915563852E-2   2.404442384820E-1
   7.533584452815E-2   2.425643934353E-1
   7.600253341778E-2   2.446838390217E-1
   7.666922230741E-2   2.468025690430E-1
   7.733591119704E-2   2.489205773030E-1
   7.800260008667E-2   2.510378576078E-1
   7.866928897630E-2   2.531544037654E-1
   7.933597786593E-2   2.552702095861E-1
   8.000266675556E-2   2.573852688825E-1
