#             R [au]        psi_0 [a.u.]
    0.000000000000E0    0.000000000000E0
   6.666888896297E-4   2.247111705027E-9
   1.333377779259E-3   1.797685792233E-8
   2.000066668889E-3   6.067169457514E-8
   2.666755558519E-3   1.438137204105E-7
   3.333444448148E-3   2.808844984162E-7
   4.000133337778E-3   4.853648772428E-7
   4.666822227408E-3   7.707348126347E-7
   5.333511117037E-3   1.150473188869E-6
   6.000200006667E-3   1.638057640209E-6
   6.666888896297E-3   2.246964372365E-6
   7.333577785926E-3   2.990667983981E-6
   8.000266675556E-3   3.882641288128E-6
   8.666955565186E-3   4.936355133821E-6
   9.333644454815E-3   6.165278227562E-6
   1.000033334444E-2   7.582876954894E-6
   1.066702223407E-2   9.202615201997E-6
   1.133371112370E-2   1.103795417729E-5
   1.200040001333E-2   1.310235223310E-5
   1.266708890296E-2   1.540926468728E-5
   1.333377779259E-2   1.797214364499E-5
   1.400046668222E-2   2.080443782038E-5
   1.466715557185E-2   2.391959235838E-5
   1.533384446148E-2   2.733104865656E-5
   1.600053335111E-2   3.105224418690E-5
   1.666722224074E-2   3.509661231779E-5
   1.733391113037E-2   3.947758213589E-5
   1.800060002000E-2   4.420857826817E-5
   1.866728890963E-2   4.930302070394E-5
   1.933397779926E-2   5.477432461692E-5
   2.000066668889E-2   6.063590018738E-5
   2.066735557852E-2   6.690115242439E-5
   2.133404446815E-2   7.358348098799E-5
   2.200073335778E-2   8.069628001155E-5
   2.266742224741E-2   8.825293792412E-5
   2.333411113704E-2   9.626683727288E-5
   2.400080002667E-2   1.047513545456E-4
   2.466748891630E-2   1.137198599932E-4
   2.533417780593E-2   1.231857174525E-4
   2.600086669556E-2   1.331622841687E-4
   2.666755558519E-2   1.436629106183E-4
   2.733424447482E-2   1.547009403318E-4
   2.800093336445E-2   1.662897097169E-4
   2.866762225408E-2   1.784425478812E-4
   2.933431114370E-2   1.911727764554E-4
   3.000100003333E-2   2.044937094164E-4
   3.066768892296E-2   2.184186529106E-4
   3.133437781259E-2   2.329609050773E-4
   3.200106670222E-2   2.481337558717E-4
   3.266775559185E-2   2.639504868889E-4
   3.333444448148E-2   2.804243711874E-4
   3.400113337111E-2   2.975686731124E-4
   3.466782226074E-2   3.153966481198E-4
   3.533451115037E-2   3.339215426005E-4
   3.600120004000E-2   3.531565937035E-4
   3.666788892963E-2   3.731150291607E-4
   3.733457781926E-2   3.938100671107E-4
   3.800126670889E-2   4.152549159232E-4
   3.866795559852E-2   4.374627740234E-4
   3.933464448815E-2   4.604468297163E-4
   4.000133337778E-2   4.842202610115E-4
   4.066802226741E-2   5.087962354479E-4
