#             E [au]      sigma_0 [au^2]      sigma_1 [au^2]    sigma_tot [au^2]
   2.000000000000E-2    1.180480076053E2    6.220968811340E0    1.242689764166E2
   2.050000000000E-2    1.175919246264E2    6.468355492472E0    1.240602801188E2
   2.100000000000E-2    1.171373883702E2    6.717991267990E0    1.238553796382E2
   2.150000000000E-2    1.166843942949E2    6.969772478783E0    1.236541667737E2
   2.200000000000E-2    1.162329378721E2    7.223598888943E0    1.234565367611E2
   2.250000000000E-2    1.157830145791E2    7.479373565640E0    1.232623881447E2
   2.300000000000E-2    1.153346199128E2    7.737002743867E0    1.230716226567E2
   2.350000000000E-2    1.148877493764E2    7.996395720987E0    1.228841450974E2
   2.400000000000E-2    1.144423984890E2    8.257464723813E0    1.226998632128E2
   2.450000000000E-2    1.139985627778E2    8.520124816998E0    1.225186875948E2
   2.500000000000E-2    1.135562377821E2    8.784293781352E0    1.223405315635E2
   2.550000000000E-2    1.131154190526E2    9.049892033349E0    1.221653110859E2
   2.600000000000E-2    1.126761021532E2    9.316842508981E0    1.219929446622E2
   2.650000000000E-2    1.122382826641E2    9.585070587901E0    1.218233532520E2
   2.700000000000E-2    1.118019561625E2    9.854503999391E0    1.216564601619E2
   2.750000000000E-2    1.113671182460E2    1.012507273597E1    1.214921909820E2
   2.800000000000E-2    1.109337645353E2    1.039670898077E1    1.213304735161E2
   2.850000000000E-2    1.105018906410E2    1.066934701981E1    1.211712376609E2
   2.900000000000E-2    1.100714922001E2    1.094292318094E1    1.210144153810E2
   2.950000000000E-2    1.096425648519E2    1.121737574882E1    1.208599406007E2
   3.000000000000E-2    1.092151042550E2    1.149264491464E1    1.207077491696E2
   3.050000000000E-2    1.087891060761E2    1.176867268943E1    1.205577787655E2
   3.100000000000E-2    1.083645659897E2    1.204540286523E1    1.204099688549E2
   3.150000000000E-2    1.079414796843E2    1.232278092905E1    1.202642606133E2
   3.200000000000E-2    1.075198428646E2    1.260075403260E1    1.201205968972E2
   3.250000000000E-2    1.070996512417E2    1.287927091897E1    1.199789221606E2
   3.300000000000E-2    1.066809005346E2    1.315828186759E1    1.198391824022E2
   3.350000000000E-2    1.062635864787E2    1.343773866048E1    1.197013251392E2
   3.400000000000E-2    1.058477048173E2    1.371759451330E1    1.195652993306E2
   3.450000000000E-2    1.054332513124E2    1.399780404528E1    1.194310553577E2
   3.500000000000E-2    1.050202217246E2    1.427832322020E1    1.192985449448E2
   3.550000000000E-2    1.046086118383E2    1.455910931433E1    1.191677211526E2
   3.600000000000E-2    1.041984174379E2    1.484012086010E1    1.190385382980E2
   3.650000000000E-2    1.037896343260E2    1.512131762601E1    1.189109519520E2
   3.700000000000E-2    1.033822583149E2    1.540266055470E1    1.187849188696E2
   3.750000000000E-2    1.029762852226E2    1.568411174583E1    1.186603969684E2
   3.800000000000E-2    1.025717108912E2    1.596563440570E1    1.185373452969E2
   3.850000000000E-2    1.021685311552E2    1.624719282143E1    1.184157239767E2
   3.900000000000E-2    1.017667418781E2    1.652875232437E1    1.182954942025E2
   3.950000000000E-2    1.013663389196E2    1.681027925163E1    1.181766181712E2
