#             E [au]      sigma_0 [au^2]      sigma_1 [au^2]    sigma_tot [au^2]
   1.800000000000E-1    3.087347643654E1    6.265221656944E1    9.352569300598E1
   1.805000000000E-1    3.073415351508E1    6.269447075269E1    9.342862426777E1
   1.810000000000E-1    3.059540135645E1    6.273607801364E1    9.333147937009E1
   1.815000000000E-1    3.045721807935E1    6.277704093732E1    9.323425901667E1
   1.820000000000E-1    3.031960180787E1    6.281736210177E1    9.313696390964E1
   1.825000000000E-1    3.018255067197E1    6.285704408301E1    9.303959475497E1
   1.830000000000E-1    3.004606280717E1    6.289608944977E1    9.294215225694E1
   1.835000000000E-1    2.991013635416E1    6.293450076960E1    9.284463712375E1
   1.840000000000E-1    2.977476945947E1    6.297228060229E1    9.274705006176E1
   1.845000000000E-1    2.963996027498E1    6.300943150496E1    9.264939177994E1
   1.850000000000E-1    2.950570695832E1    6.304595602938E1    9.255166298770E1
   1.855000000000E-1    2.937200767230E1    6.308185672262E1    9.245386439493E1
   1.860000000000E-1    2.923886058512E1    6.311713612698E1    9.235599671210E1
   1.865000000000E-1    2.910626387061E1    6.315179678055E1    9.225806065116E1
   1.870000000000E-1    2.897421570831E1    6.318584121583E1    9.216005692414E1
   1.875000000000E-1    2.884271428263E1    6.321927195985E1    9.206198624248E1
   1.880000000000E-1    2.871175778380E1    6.325209153708E1    9.196384932088E1
   1.885000000000E-1    2.858134440739E1    6.328430246610E1    9.186564687349E1
   1.890000000000E-1    2.845147235401E1    6.331590725892E1    9.176737961292E1
   1.895000000000E-1    2.832213983033E1    6.334690842371E1    9.166904825404E1
   1.900000000000E-1    2.819334504769E1    6.337730846423E1    9.157065351192E1
   1.905000000000E-1    2.806508622332E1    6.340710987900E1    9.147219610233E1
   1.910000000000E-1    2.793736157963E1    6.343631516029E1    9.137367673993E1
   1.915000000000E-1    2.781016934419E1    6.346492679719E1    9.127509614138E1
   1.920000000000E-1    2.768350775002E1    6.349294727143E1    9.117645502144E1
   1.925000000000E-1    2.755737503563E1    6.352037906188E1    9.107775409751E1
   1.930000000000E-1    2.743176944433E1    6.354722464038E1    9.097899408471E1
   1.935000000000E-1    2.730668922516E1    6.357348647539E1    9.088017570054E1
   1.940000000000E-1    2.718213263247E1    6.359916702781E1    9.078129966028E1
   1.945000000000E-1    2.705809792559E1    6.362426875549E1    9.068236668108E1
   1.950000000000E-1    2.693458336919E1    6.364879411022E1    9.058337747941E1
   1.955000000000E-1    2.681158723326E1    6.367274553755E1    9.048433277081E1
   1.960000000000E-1    2.668910779294E1    6.369612547932E1    9.038523327226E1
   1.965000000000E-1    2.656714332886E1    6.371893637088E1    9.028607969974E1
   1.970000000000E-1    2.644569212638E1    6.374118064270E1    9.018687276908E1
   1.975000000000E-1    2.632475247642E1    6.376286071988E1    9.008761319630E1
   1.980000000000E-1    2.620432267494E1    6.378397902236E1    8.998830169730E1
   1.985000000000E-1    2.608440102313E1    6.380453796313E1    8.988893898626E1
   1.990000000000E-1    2.596498582731E1    6.382453995260E1    8.978952577991E1
   1.995000000000E-1    2.584607539886E1    6.384398739302E1    8.969006279189E1
   2.000000000000E-1    2.572766805452E1    6.386288268260E1    8.959055073713E1
   2.005000000000E-1    2.560976211594E1    6.388122821373E1    8.949099032967E1
   2.010000000000E-1    2.549235591002E1    6.389902637271E1    8.939138228273E1
   2.015000000000E-1    2.537544776886E1    6.391627954139E1    8.929172731025E1
   2.020000000000E-1    2.525903602947E1    6.393299009516E1    8.919202612464E1
   2.025000000000E-1    2.514311903403E1    6.394916040453E1    8.909227943856E1
   2.030000000000E-1    2.502769512982E1    6.396479283365E1    8.899248796346E1
   2.035000000000E-1    2.491276266908E1    6.397988974273E1    8.889265241181E1
   2.040000000000E-1    2.479832000908E1    6.399445348409E1    8.879277349318E1
   2.045000000000E-1    2.468436551236E1    6.400848640612E1    8.869285191848E1
   2.050000000000E-1    2.457089754648E1    6.402199085035E1    8.859288839683E1
   2.055000000000E-1    2.445791448369E1    6.403496915427E1    8.849288363795E1
   2.060000000000E-1    2.434541470151E1    6.404742364831E1    8.839283834982E1
   2.065000000000E-1    2.423339658244E1    6.405935665780E1    8.829275324024E1
   2.070000000000E-1    2.412185851407E1    6.407077050219E1    8.819262901627E1
   2.075000000000E-1    2.401079888874E1    6.408166749522E1    8.809246638396E1
   2.080000000000E-1    2.390021610405E1    6.409204994561E1    8.799226604967E1
   2.085000000000E-1    2.379010856213E1    6.410192015470E1    8.789202871683E1
   2.090000000000E-1    2.368047467053E1    6.411128042125E1    8.779175509178E1
   2.095000000000E-1    2.357131284146E1    6.412013303403E1    8.769144587549E1
   2.100000000000E-1    2.346262149203E1    6.412848028007E1    8.759110177210E1
   2.105000000000E-1    2.335439904467E1    6.413632443833E1    8.749072348300E1
   2.110000000000E-1    2.324664392623E1    6.414366778220E1    8.739031170843E1
   2.115000000000E-1    2.313935456871E1    6.415051258015E1    8.728986714886E1
   2.120000000000E-1    2.303252940890E1    6.415686109406E1    8.718939050296E1
   2.125000000000E-1    2.292616688887E1    6.416271558083E1    8.708888246969E1
   2.130000000000E-1    2.282026545488E1    6.416807829033E1    8.698834374520E1
   2.135000000000E-1    2.271482355843E1    6.417295146813E1    8.688777502656E1
   2.140000000000E-1    2.260983965604E1    6.417733735360E1    8.678717700964E1
   2.145000000000E-1    2.250531220881E1    6.418123817910E1    8.668655038791E1
   2.150000000000E-1    2.240123968270E1    6.418465617283E1    8.658589585553E1
   2.155000000000E-1    2.229762054860E1    6.418759355612E1    8.648521410472E1
   2.160000000000E-1    2.219445328216E1    6.419005254438E1    8.638450582654E1
   2.165000000000E-1    2.209173636388E1    6.419203534857E1    8.628377171246E1
   2.170000000000E-1    2.198946827893E1    6.419354417189E1    8.618301245082E1
   2.175000000000E-1    2.188764751742E1    6.419458121286E1    8.608222873028E1
   2.180000000000E-1    2.178627257439E1    6.419514866437E1    8.598142123876E1
   2.185000000000E-1    2.168534194909E1    6.419524871248E1    8.588059066156E1
   2.190000000000E-1    2.158485414615E1    6.419488353823E1    8.577973768439E1
   2.195000000000E-1    2.148480767467E1    6.419405531619E1    8.567886299086E1
   2.200000000000E-1    2.138520104848E1    6.419276621608E1    8.557796726456E1
   2.205000000000E-1    2.128603278600E1    6.419101840013E1    8.547705118614E1
   2.210000000000E-1    2.118730141080E1    6.418881402637E1    8.537611543717E1
   2.215000000000E-1    2.108900545107E1    6.418615524620E1    8.527516069727E1
   2.220000000000E-1    2.099114343930E1    6.418304420496E1    8.517418764427E1
   2.225000000000E-1    2.089371391303E1    6.417948304270E1    8.507319695573E1
   2.230000000000E-1    2.079671541435E1    6.417547389246E1    8.497218930681E1
   2.235000000000E-1    2.070014649044E1    6.417101888302E1    8.487116537345E1
   2.240000000000E-1    2.060400569241E1    6.416612013615E1    8.477012582856E1
   2.245000000000E-1    2.050829157676E1    6.416077976803E1    8.466907134479E1
   2.250000000000E-1    2.041300270419E1    6.415499988916E1    8.456800259335E1
   2.255000000000E-1    2.031813764034E1    6.414878260364E1    8.446692024397E1
   2.260000000000E-1    2.022369495524E1    6.414213001076E1    8.436582496601E1
   2.265000000000E-1    2.012967322366E1    6.413504420234E1    8.426471742599E1
   2.270000000000E-1    2.003607102522E1    6.412752726551E1    8.416359829073E1
   2.275000000000E-1    1.994288694369E1    6.411958128150E1    8.406246822519E1
   2.280000000000E-1    1.985011956793E1    6.411120832528E1    8.396132789321E1
   2.285000000000E-1    1.975776749107E1    6.410241046587E1    8.386017795694E1
   2.290000000000E-1    1.966582931105E1    6.409318976678E1    8.375901907783E1
   2.295000000000E-1    1.957430363033E1    6.408354828502E1    8.365785191535E1
   2.300000000000E-1    1.948318905583E1    6.407348807276E1    8.355667712858E1
   2.305000000000E-1    1.939248419936E1    6.406301117525E1    8.345549537461E1
   2.310000000000E-1    1.930218767675E1    6.405211963269E1    8.335430730944E1
   2.315000000000E-1    1.921229810913E1    6.404081547884E1    8.325311358797E1
   2.320000000000E-1    1.912281412139E1    6.402910074167E1    8.315191486305E1
   2.325000000000E-1    1.903373434367E1    6.401697744423E1    8.305071178790E1
   2.330000000000E-1    1.894505741013E1    6.400444760175E1    8.294950501187E1
   2.335000000000E-1    1.885678195995E1    6.399151322548E1    8.284829518543E1
   2.340000000000E-1    1.876890663605E1    6.397817631981E1    8.274708295586E1
   2.345000000000E-1    1.868143008682E1    6.396443888368E1    8.264586897050E1
   2.350000000000E-1    1.859435096467E1    6.395030290996E1    8.254465387464E1
   2.355000000000E-1    1.850766792649E1    6.393577038588E1    8.244343831237E1
   2.360000000000E-1    1.842137963363E1    6.392084329252E1    8.234222292615E1
   2.365000000000E-1    1.833548475220E1    6.390552360591E1    8.224100835811E1
   2.370000000000E-1    1.824998195254E1    6.388981329497E1    8.213979524751E1
   2.375000000000E-1    1.816486990952E1    6.387371432422E1    8.203858423374E1
   2.380000000000E-1    1.808014730255E1    6.385722865040E1    8.193737595295E1
   2.385000000000E-1    1.799581281559E1    6.384035822710E1    8.183617104269E1
   2.390000000000E-1    1.791186513682E1    6.382310499995E1    8.173497013677E1
   2.395000000000E-1    1.782830295897E1    6.380547090925E1    8.163377386822E1
   2.400000000000E-1    1.774512497939E1    6.378745789005E1    8.153258286944E1
   2.405000000000E-1    1.766232989962E1    6.376906787082E1    8.143139777044E1
   2.410000000000E-1    1.757991642584E1    6.375030277515E1    8.133021920098E1
   2.415000000000E-1    1.749788326854E1    6.373116452016E1    8.122904778870E1
   2.420000000000E-1    1.741622914244E1    6.371165501726E1    8.112788415970E1
   2.425000000000E-1    1.733495276714E1    6.369177617226E1    8.102672893940E1
   2.430000000000E-1    1.725405286632E1    6.367152988531E1    8.092558275162E1
   2.435000000000E-1    1.717352816818E1    6.365091805030E1    8.082444621847E1
   2.440000000000E-1    1.709337740524E1    6.362994255612E1    8.072331996136E1
   2.445000000000E-1    1.701359931457E1    6.360860528469E1    8.062220459925E1
   2.450000000000E-1    1.693419263734E1    6.358690811335E1    8.052110075069E1
   2.455000000000E-1    1.685515611952E1    6.356485291334E1    8.042000903286E1
   2.460000000000E-1    1.677648851121E1    6.354244154946E1    8.031893006067E1
   2.465000000000E-1    1.669818856687E1    6.351967588256E1    8.021786444943E1
   2.470000000000E-1    1.662025504523E1    6.349655776529E1    8.011681281052E1
   2.475000000000E-1    1.654268670981E1    6.347308904667E1    8.001577575648E1
   2.480000000000E-1    1.646548232810E1    6.344927156917E1    7.991475389727E1
   2.485000000000E-1    1.638864067201E1    6.342510716921E1    7.981374784123E1
   2.490000000000E-1    1.631216051786E1    6.340059767802E1    7.971275819588E1
   2.495000000000E-1    1.623604064636E1    6.337574492109E1    7.961178556745E1
   2.500000000000E-1    1.616027984266E1    6.335055071838E1    7.951083056105E1
   2.505000000000E-1    1.608487689576E1    6.332501688337E1    7.940989377913E1
   2.510000000000E-1    1.600983059984E1    6.329914522468E1    7.930897582452E1
   2.515000000000E-1    1.593513975244E1    6.327293754471E1    7.920807729715E1
   2.520000000000E-1    1.586080315632E1    6.324639564083E1    7.910719879714E1
   2.525000000000E-1    1.578681961784E1    6.321952130421E1    7.900634092205E1
   2.530000000000E-1    1.571318794818E1    6.319231632072E1    7.890550426890E1
   2.535000000000E-1    1.563990696250E1    6.316478247038E1    7.880468943288E1
   2.540000000000E-1    1.556697548057E1    6.313692152751E1    7.870389700808E1
   2.545000000000E-1    1.549439232627E1    6.310873526125E1    7.860312758752E1
   2.550000000000E-1    1.542215632794E1    6.308022543477E1    7.850238176271E1
   2.555000000000E-1    1.535026631803E1    6.305139380501E1    7.840166012304E1
   2.560000000000E-1    1.527872113339E1    6.302224212492E1    7.830096325830E1
   2.565000000000E-1    1.520751961510E1    6.299277214041E1    7.820029175551E1
   2.570000000000E-1    1.513666060887E1    6.296298559196E1    7.809964620083E1
   2.575000000000E-1    1.506614296431E1    6.293288421582E1    7.799902718014E1
   2.580000000000E-1    1.499596553538E1    6.290246974055E1    7.789843527593E1
   2.585000000000E-1    1.492612718046E1    6.287174389112E1    7.779787107158E1
   2.590000000000E-1    1.485662676233E1    6.284070838583E1    7.769733514816E1
   2.595000000000E-1    1.478746314749E1    6.280936493788E1    7.759682808537E1
   2.600000000000E-1    1.471863520745E1    6.277771525429E1    7.749635046174E1
   2.605000000000E-1    1.465014181759E1    6.274576103759E1    7.739590285518E1
   2.610000000000E-1    1.458198185761E1    6.271350398377E1    7.729548584139E1
   2.615000000000E-1    1.451415421142E1    6.268094578465E1    7.719509999607E1
   2.620000000000E-1    1.444665776752E1    6.264808812451E1    7.709474589203E1
   2.625000000000E-1    1.437949141849E1    6.261493268417E1    7.699442410266E1
   2.630000000000E-1    1.431265406092E1    6.258148113788E1    7.689413519880E1
   2.635000000000E-1    1.424614459605E1    6.254773515480E1    7.679387975085E1
   2.640000000000E-1    1.417996192917E1    6.251369639825E1    7.669365832742E1
   2.645000000000E-1    1.411410497011E1    6.247936652655E1    7.659347149666E1
   2.650000000000E-1    1.404857263258E1    6.244474719224E1    7.649331982483E1
   2.655000000000E-1    1.398336383495E1    6.240984004290E1    7.639320387785E1
   2.660000000000E-1    1.391847749950E1    6.237464672017E1    7.629312421967E1
   2.665000000000E-1    1.385391255312E1    6.233916886021E1    7.619308141333E1
   2.670000000000E-1    1.378966792647E1    6.230340809434E1    7.609307602080E1
   2.675000000000E-1    1.372574255514E1    6.226736604777E1    7.599310860291E1
   2.680000000000E-1    1.366213537858E1    6.223104434110E1    7.589317971968E1
   2.685000000000E-1    1.359884534042E1    6.219444458915E1    7.579328992957E1
   2.690000000000E-1    1.353587138893E1    6.215756840107E1    7.569343979000E1
   2.695000000000E-1    1.347321247620E1    6.212041738141E1    7.559362985761E1
   2.700000000000E-1    1.341086755903E1    6.208299312874E1    7.549386068777E1
   2.705000000000E-1    1.334883559813E1    6.204529723659E1    7.539413283472E1
   2.710000000000E-1    1.328711555864E1    6.200733129299E1    7.529444685163E1
   2.715000000000E-1    1.322570641010E1    6.196909688044E1    7.519480329054E1
   2.720000000000E-1    1.316460712605E1    6.193059557693E1    7.509520270298E1
   2.725000000000E-1    1.310381668438E1    6.189182895427E1    7.499564563864E1
   2.730000000000E-1    1.304333406759E1    6.185279857972E1    7.489613264731E1
   2.735000000000E-1    1.298315826196E1    6.181350601440E1    7.479666427635E1
   2.740000000000E-1    1.292328825833E1    6.177395281490E1    7.469724107323E1
   2.745000000000E-1    1.286372305174E1    6.173414053243E1    7.459786358417E1
   2.750000000000E-1    1.280446164147E1    6.169407071268E1    7.449853235415E1
   2.755000000000E-1    1.274550303134E1    6.165374489644E1    7.439924792778E1
   2.760000000000E-1    1.268684622927E1    6.161316461898E1    7.430001084825E1
   2.765000000000E-1    1.262849024744E1    6.157233141024E1    7.420082165768E1
   2.770000000000E-1    1.257043410229E1    6.153124679561E1    7.410168089790E1
   2.775000000000E-1    1.251267681461E1    6.148991229454E1    7.400258910915E1
   2.780000000000E-1    1.245521740969E1    6.144832942158E1    7.390354683127E1
   2.785000000000E-1    1.239805491684E1    6.140649968626E1    7.380455460310E1
   2.790000000000E-1    1.234118836989E1    6.136442459272E1    7.370561296261E1
   2.795000000000E-1    1.228461680684E1    6.132210563987E1    7.360672244670E1
   2.800000000000E-1    1.222833927000E1    6.127954432222E1    7.350788359222E1
   2.805000000000E-1    1.217235480623E1    6.123674212792E1    7.340909693416E1
   2.810000000000E-1    1.211666246646E1    6.119370054101E1    7.331036300748E1
   2.815000000000E-1    1.206126130603E1    6.115042104017E1    7.321168234621E1
   2.820000000000E-1    1.200615038460E1    6.110690509810E1    7.311305548271E1
   2.825000000000E-1    1.195132876634E1    6.106315418389E1    7.301448295023E1
   2.830000000000E-1    1.189679551949E1    6.101916976065E1    7.291596528015E1
   2.835000000000E-1    1.184254971685E1    6.097495328660E1    7.281750300345E1
   2.840000000000E-1    1.178859043556E1    6.093050621471E1    7.271909665028E1
   2.845000000000E-1    1.173491675703E1    6.088582999318E1    7.262074675021E1
   2.850000000000E-1    1.168152776715E1    6.084092606540E1    7.252245383254E1
   2.855000000000E-1    1.162842255609E1    6.079579586859E1    7.242421842468E1
   2.860000000000E-1    1.157560021851E1    6.075044083656E1    7.232604105507E1
   2.865000000000E-1    1.152305985332E1    6.070486239706E1    7.222792225038E1
   2.870000000000E-1    1.147080056397E1    6.065906197280E1    7.212986253678E1
   2.875000000000E-1    1.141882145831E1    6.061304098246E1    7.203186244076E1
   2.880000000000E-1    1.136712164850E1    6.056680083851E1    7.193392248701E1
   2.885000000000E-1    1.131570025127E1    6.052034294923E1    7.183604320051E1
   2.890000000000E-1    1.126455638752E1    6.047366871786E1    7.173822510538E1
   2.895000000000E-1    1.121368918288E1    6.042677954252E1    7.164046872540E1
   2.900000000000E-1    1.116309776742E1    6.037967681618E1    7.154277458359E1
   2.905000000000E-1    1.111278127540E1    6.033236192773E1    7.144514320313E1
   2.910000000000E-1    1.106273884582E1    6.028483626014E1    7.134757510596E1
   2.915000000000E-1    1.101296962203E1    6.023710119217E1    7.125007081420E1
   2.920000000000E-1    1.096347275186E1    6.018915809757E1    7.115263084943E1
   2.925000000000E-1    1.091424738756E1    6.014100834494E1    7.105525573250E1
   2.930000000000E-1    1.086529268639E1    6.009265329818E1    7.095794598457E1
   2.935000000000E-1    1.081660780935E1    6.004409431631E1    7.086070212565E1
   2.940000000000E-1    1.076819192248E1    5.999533275390E1    7.076352467638E1
   2.945000000000E-1    1.072004419618E1    5.994636995968E1    7.066641415586E1
   2.950000000000E-1    1.067216380563E1    5.989720727880E1    7.056937108442E1
   2.955000000000E-1    1.062454993020E1    5.984784605077E1    7.047239598097E1
   2.960000000000E-1    1.057720175429E1    5.979828761065E1    7.037548936494E1
   2.965000000000E-1    1.053011846635E1    5.974853328823E1    7.027865175458E1
   2.970000000000E-1    1.048329925988E1    5.969858440945E1    7.018188366933E1
   2.975000000000E-1    1.043674333292E1    5.964844229446E1    7.008518562737E1
   2.980000000000E-1    1.039044988799E1    5.959810825937E1    6.998855814736E1
   2.985000000000E-1    1.034441813226E1    5.954758361524E1    6.989200174750E1
   2.990000000000E-1    1.029864727781E1    5.949686966852E1    6.979551694634E1
   2.995000000000E-1    1.025313654113E1    5.944596772077E1    6.969910426191E1
   3.000000000000E-1    1.020788514321E1    5.939487906890E1    6.960276421212E1
   3.005000000000E-1    1.016289231044E1    5.934360500531E1    6.950649731575E1
   3.010000000000E-1    1.011815727322E1    5.929214681735E1    6.941030409057E1
   3.015000000000E-1    1.007367926695E1    5.924050578817E1    6.931418505512E1
   3.020000000000E-1    1.002945753200E1    5.918868319585E1    6.921814072785E1
   3.025000000000E-1    9.985491313160E0    5.913668031395E1    6.912217162711E1
   3.030000000000E-1    9.941779860187E0    5.908449841156E1    6.902627827175E1
   3.035000000000E-1    9.898322427513E0    5.903213875270E1    6.893046118021E1
   3.040000000000E-1    9.855118274654E0    5.897960259716E1    6.883472087182E1
   3.045000000000E-1    9.812166665654E0    5.892689119996E1    6.873905786561E1
   3.050000000000E-1    9.769466869467E0    5.887400581178E1    6.864347268125E1
   3.055000000000E-1    9.727018160160E0    5.882094767811E1    6.854796583827E1
   3.060000000000E-1    9.684819816581E0    5.876771804042E1    6.845253785700E1
   3.065000000000E-1    9.642871122233E0    5.871431813562E1    6.835718925785E1
   3.070000000000E-1    9.601171365956E0    5.866074919562E1    6.826192056158E1
   3.075000000000E-1    9.559719841286E0    5.860701244814E1    6.816673228943E1
   3.080000000000E-1    9.518515846840E0    5.855310911630E1    6.807162496314E1
   3.085000000000E-1    9.477558686188E0    5.849904041865E1    6.797659910484E1
   3.090000000000E-1    9.436847667969E0    5.844480756918E1    6.788165523715E1
   3.095000000000E-1    9.396382105905E0    5.839041177759E1    6.778679388350E1
   3.100000000000E-1    9.356161318593E0    5.833585424894E1    6.769201556753E1
   3.105000000000E-1    9.316184629955E0    5.828113618373E1    6.759732081368E1
   3.110000000000E-1    9.276451368815E0    5.822625877817E1    6.750271014698E1
   3.115000000000E-1    9.236960869380E0    5.817122322382E1    6.740818409320E1
   3.120000000000E-1    9.197712470805E0    5.811603070806E1    6.731374317887E1
   3.125000000000E-1    9.158705517515E0    5.806068241361E1    6.721938793112E1
   3.130000000000E-1    9.119939359202E0    5.800517951884E1    6.712511887804E1
   3.135000000000E-1    9.081413350832E0    5.794952319781E1    6.703093654864E1
   3.140000000000E-1    9.043126852478E0    5.789371462007E1    6.693684147255E1
   3.145000000000E-1    9.005079229453E0    5.783775495077E1    6.684283418023E1
   3.150000000000E-1    8.967269852846E0    5.778164535065E1    6.674891520350E1
   3.155000000000E-1    8.929698098589E0    5.772538697614E1    6.665508507473E1
   3.160000000000E-1    8.892363348281E0    5.766898097954E1    6.656134432782E1
   3.165000000000E-1    8.855264988770E0    5.761242850841E1    6.646769349718E1
   3.170000000000E-1    8.818402412454E0    5.755573070617E1    6.637413311862E1
   3.175000000000E-1    8.781775017385E0    5.749888871192E1    6.628066372931E1
   3.180000000000E-1    8.745382206698E0    5.744190366055E1    6.618728586725E1
   3.185000000000E-1    8.709223389442E0    5.738477668236E1    6.609400007180E1
   3.190000000000E-1    8.673297979978E0    5.732750890363E1    6.600080688361E1
   3.195000000000E-1    8.637605398483E0    5.727010144638E1    6.590770684487E1
   3.200000000000E-1    8.602145070642E0    5.721255542808E1    6.581470049872E1
   3.205000000000E-1    8.566916427957E0    5.715487196224E1    6.572178839020E1
   3.210000000000E-1    8.531918907371E0    5.709705215788E1    6.562897106525E1
   3.215000000000E-1    8.497151951814E0    5.703909712012E1    6.553624907194E1
   3.220000000000E-1    8.462615009828E0    5.698100794942E1    6.544362295925E1
   3.225000000000E-1    8.428307536019E0    5.692278574235E1    6.535109327837E1
   3.230000000000E-1    8.394228990635E0    5.686443159133E1    6.525866058196E1
   3.235000000000E-1    8.360378839899E0    5.680594658432E1    6.516632542422E1
   3.240000000000E-1    8.326756555950E0    5.674733180524E1    6.507408836119E1
   3.245000000000E-1    8.293361617023E0    5.668858833384E1    6.498194995086E1
   3.250000000000E-1    8.260193507091E0    5.662971724583E1    6.488991075292E1
   3.255000000000E-1    8.227251716441E0    5.657071961246E1    6.479797132890E1
   3.260000000000E-1    8.194535741411E0    5.651159650125E1    6.470613224266E1
   3.265000000000E-1    8.162045084461E0    5.645234897521E1    6.461439405967E1
   3.270000000000E-1    8.129779254139E0    5.639297809357E1    6.452275734771E1
   3.275000000000E-1    8.097737765395E0    5.633348491120E1    6.443122267659E1
   3.280000000000E-1    8.065920139265E0    5.627387047898E1    6.433979061825E1
   3.285000000000E-1    8.034325903541E0    5.621413584387E1    6.424846174741E1
   3.290000000000E-1    8.002954591812E0    5.615428204844E1    6.415723664026E1
   3.295000000000E-1    7.971805744470E0    5.609431013153E1    6.406611587600E1
   3.300000000000E-1    7.940878908197E0    5.603422112761E1    6.397510003581E1
   3.305000000000E-1    7.910173636346E0    5.597401606743E1    6.388418970378E1
   3.310000000000E-1    7.879689488766E0    5.591369597748E1    6.379338546625E1
   3.315000000000E-1    7.849426031919E0    5.585326188033E1    6.370268791225E1
   3.320000000000E-1    7.819382838905E0    5.579271479461E1    6.361209763352E1
   3.325000000000E-1    7.789559489653E0    5.573205573484E1    6.352161522450E1
   3.330000000000E-1    7.759955570792E0    5.567128571155E1    6.343124128234E1
   3.335000000000E-1    7.730570675818E0    5.561040573140E1    6.334097640722E1
   3.340000000000E-1    7.701404405283E0    5.554941679710E1    6.325082120238E1
   3.345000000000E-1    7.672456366401E0    5.548831990727E1    6.316077627367E1
   3.350000000000E-1    7.643726173544E0    5.542711605670E1    6.307084223025E1
   3.355000000000E-1    7.615213448251E0    5.536580623626E1    6.298101968451E1
   3.360000000000E-1    7.586917819137E0    5.530439143283E1    6.289130925197E1
   3.365000000000E-1    7.558838921741E0    5.524287262955E1    6.280171155129E1
   3.370000000000E-1    7.530976399234E0    5.518125080533E1    6.271222720456E1
   3.375000000000E-1    7.503329902116E0    5.511952693551E1    6.262285683763E1
   3.380000000000E-1    7.475899087814E0    5.505770199153E1    6.253360107935E1
   3.385000000000E-1    7.448683621702E0    5.499577694082E1    6.244446056252E1
   3.390000000000E-1    7.421683176413E0    5.493375274704E1    6.235543592345E1
   3.395000000000E-1    7.394897432350E0    5.487163036993E1    6.226652780228E1
   3.400000000000E-1    7.368326077353E0    5.480941076559E1    6.217773684294E1
   3.405000000000E-1    7.341968807083E0    5.474709488600E1    6.208906369308E1
   3.410000000000E-1    7.315825325024E0    5.468468367964E1    6.200050900466E1
   3.415000000000E-1    7.289895342676E0    5.462217809108E1    6.191207343376E1
   3.420000000000E-1    7.264178579096E0    5.455957906091E1    6.182375764000E1
   3.425000000000E-1    7.238674761706E0    5.449688752624E1    6.173556228794E1
   3.430000000000E-1    7.213383625971E0    5.443410442022E1    6.164748804619E1
   3.435000000000E-1    7.188304915315E0    5.437123067233E1    6.155953558765E1
   3.440000000000E-1    7.163438381653E0    5.430826720822E1    6.147170558987E1
   3.445000000000E-1    7.138783784964E0    5.424521494992E1    6.138399873489E1
   3.450000000000E-1    7.114340894220E0    5.418207481565E1    6.129641570987E1
   3.455000000000E-1    7.090109486312E0    5.411884771992E1    6.120895720623E1
   3.460000000000E-1    7.066089346798E0    5.405553457357E1    6.112162392037E1
   3.465000000000E-1    7.042280270168E0    5.399213628368E1    6.103441655385E1
   3.470000000000E-1    7.018682059508E0    5.392865375378E1    6.094733581329E1
   3.475000000000E-1    6.995294526709E0    5.386508788353E1    6.086038241024E1
   3.480000000000E-1    6.972117492659E0    5.380143956913E1    6.077355706179E1
   3.485000000000E-1    6.949150787371E0    5.373770970293E1    6.068686049030E1
   3.490000000000E-1    6.926394249645E0    5.367389917387E1    6.060029342352E1
   3.495000000000E-1    6.903847727903E0    5.361000886702E1    6.051385659492E1
   3.500000000000E-1    6.881511079725E0    5.354603966399E1    6.042755074372E1
   3.505000000000E-1    6.859384172075E0    5.348199244272E1    6.034137661480E1
   3.510000000000E-1    6.837466881466E0    5.341786807755E1    6.025533495901E1
   3.515000000000E-1    6.815759093986E0    5.335366743918E1    6.016942653316E1
   3.520000000000E-1    6.794260705336E0    5.328939139485E1    6.008365210018E1
   3.525000000000E-1    6.772971621401E0    5.322504080814E1    5.999801242954E1
   3.530000000000E-1    6.751891757541E0    5.316061653907E1    5.991250829661E1
   3.535000000000E-1    6.731021039525E0    5.309611944419E1    5.982714048372E1
   3.540000000000E-1    6.710359402980E0    5.303155037640E1    5.974190977938E1
   3.545000000000E-1    6.689906793920E0    5.296691018515E1    5.965681697907E1
   3.550000000000E-1    6.669663168697E0    5.290219971633E1    5.957186288502E1
   3.555000000000E-1    6.649628494260E0    5.283741981232E1    5.948704830658E1
   3.560000000000E-1    6.629802747981E0    5.277257131206E1    5.940237406004E1
   3.565000000000E-1    6.610185918150E0    5.270765505092E1    5.931784096907E1
   3.570000000000E-1    6.590778003666E0    5.264267186083E1    5.923344986450E1
   3.575000000000E-1    6.571579014480E0    5.257762257028E1    5.914920158476E1
   3.580000000000E-1    6.552588971851E0    5.251250800424E1    5.906509697609E1
   3.585000000000E-1    6.533807907774E0    5.244732898429E1    5.898113689206E1
   3.590000000000E-1    6.515235866076E0    5.238208632854E1    5.889732219461E1
   3.595000000000E-1    6.496872901867E0    5.231678085166E1    5.881365375353E1
   3.600000000000E-1    6.478719081556E0    5.225141336493E1    5.873013244648E1
   3.605000000000E-1    6.460774483722E0    5.218598467619E1    5.864675915991E1
   3.610000000000E-1    6.443039198684E0    5.212049558994E1    5.856353478863E1
   3.615000000000E-1    6.425513328781E0    5.205494690725E1    5.848046023603E1
   3.620000000000E-1    6.408196988297E0    5.198933942579E1    5.839753641409E1
   3.625000000000E-1    6.391090304124E0    5.192367393988E1    5.831476424401E1
   3.630000000000E-1    6.374193415297E0    5.185795124053E1    5.823214465582E1
