#             R [au]           V(R) [au]
   9.703234411470E-1   -2.354555750498E0
   9.736578859620E-1   -2.350495626884E0
   9.769923307769E-1   -2.346425940100E0
   9.803267755919E-1   -2.342346718231E0
   9.836612204068E-1   -2.338257989213E0
   9.869956652217E-1   -2.334159780839E0
   9.903301100367E-1   -2.330052120750E0
   9.936645548516E-1   -2.325935036440E0
   9.969989996666E-1   -2.321808555251E0
    1.000333444481E0   -2.317672704374E0
    1.003667889296E0   -2.313527510845E0
    1.007002334111E0   -2.309373001548E0
    1.010336778926E0   -2.305209203212E0
    1.013671223741E0   -2.301036142408E0
    1.017005668556E0   -2.296853845550E0
    1.020340113371E0   -2.292662338895E0
    1.023674558186E0   -2.288461648539E0
    1.027009003001E0   -2.284251800418E0
    1.030343447816E0   -2.280032820308E0
    1.033677892631E0   -2.275804733820E0
    1.037012337446E0   -2.271567566404E0
    1.040346782261E0   -2.267321343346E0
    1.043681227076E0   -2.263066089766E0
    1.047015671891E0   -2.258801830619E0
    1.050350116706E0   -2.254528590691E0
    1.053684561521E0   -2.250246394605E0
    1.057019006335E0   -2.245955266813E0
    1.060353451150E0   -2.241655231598E0
    1.063687895965E0   -2.237346313075E0
    1.067022340780E0   -2.233028535187E0
    1.070356785595E0   -2.228701921708E0
    1.073691230410E0   -2.224366496239E0
    1.077025675225E0   -2.220022282210E0
    1.080360120040E0   -2.215669302877E0
    1.083694564855E0   -2.211307581324E0
    1.087029009670E0   -2.206937140461E0
    1.090363454485E0   -2.202558003025E0
    1.093697899300E0   -2.198170191575E0
    1.097032344115E0   -2.193773728499E0
    1.100366788930E0   -2.189368636008E0
    1.103701233745E0   -2.184954936135E0
    1.107035678560E0   -2.180532650742E0
    1.110370123374E0   -2.176101801509E0
    1.113704568189E0   -2.171662409943E0
    1.117039013004E0   -2.167214497374E0
    1.120373457819E0   -2.162758084953E0
    1.123707902634E0   -2.158293193655E0
    1.127042347449E0   -2.153819844279E0
    1.130376792264E0   -2.149338057443E0
    1.133711237079E0   -2.144847853591E0
    1.137045681894E0   -2.140349252987E0
    1.140380126709E0   -2.135842275720E0
    1.143714571524E0   -2.131326941698E0
    1.147049016339E0   -2.126803270656E0
    1.150383461154E0   -2.122271282147E0
    1.153717905969E0   -2.117730995550E0
    1.157052350784E0   -2.113182430066E0
    1.160386795599E0   -2.108625604719E0
    1.163721240413E0   -2.104060538357E0
    1.167055685228E0   -2.099487249651E0
    1.170390130043E0   -2.094905757096E0
    1.173724574858E0   -2.090316079012E0
    1.177059019673E0   -2.085718233543E0
    1.180393464488E0   -2.081112238659E0
    1.183727909303E0   -2.076498112155E0
    1.187062354118E0   -2.071875871653E0
    1.190396798933E0   -2.067245534601E0
    1.193731243748E0   -2.062607118273E0
    1.197065688563E0   -2.057960639773E0
    1.200400133378E0   -2.053306116033E0
    1.203734578193E0   -2.048643563813E0
    1.207069023008E0   -2.043972999704E0
    1.210403467823E0   -2.039294440128E0
    1.213737912638E0   -2.034607901337E0
    1.217072357452E0   -2.029913399417E0
    1.220406802267E0   -2.025210950285E0
    1.223741247082E0   -2.020500569695E0
    1.227075691897E0   -2.015782273235E0
    1.230410136712E0   -2.011056076326E0
    1.233744581527E0   -2.006321994231E0
    1.237079026342E0   -2.001580042048E0
    1.240413471157E0   -1.996830234716E0
    1.243747915972E0   -1.992072587013E0
    1.247082360787E0   -1.987307113560E0
    1.250416805602E0   -1.982533828819E0
    1.253751250417E0   -1.977752747099E0
    1.257085695232E0   -1.972963882552E0
    1.260420140047E0   -1.968167249179E0
    1.263754584862E0   -1.963362860826E0
    1.267089029677E0   -1.958550731193E0
    1.270423474491E0   -1.953730873827E0
    1.273757919306E0   -1.948903302132E0
    1.277092364121E0   -1.944068029363E0
    1.280426808936E0   -1.939225068632E0
    1.283761253751E0   -1.934374432909E0
    1.287095698566E0   -1.929516135023E0
    1.290430143381E0   -1.924650187663E0
    1.293764588196E0   -1.919776603383E0
    1.297099033011E0   -1.914895394600E0
    1.300433477826E0   -1.910006573597E0
    1.303767922641E0   -1.905110152528E0
    1.307102367456E0   -1.900206143414E0
    1.310436812271E0   -1.895294558151E0
    1.313771257086E0   -1.890375408508E0
    1.317105701901E0   -1.885448706132E0
    1.320440146716E0   -1.880514462546E0
    1.323774591531E0   -1.875572689156E0
    1.327109036345E0   -1.870623397250E0
    1.330443481160E0   -1.865666598003E0
    1.333777925975E0   -1.860702302474E0
    1.337112370790E0   -1.855730521614E0
    1.340446815605E0   -1.850751266268E0
    1.343781260420E0   -1.845764547173E0
    1.347115705235E0   -1.840770374965E0
    1.350450150050E0   -1.835768760177E0
    1.353784594865E0   -1.830759713246E0
    1.357119039680E0   -1.825743244516E0
    1.360453484495E0   -1.820719364234E0
    1.363787929310E0   -1.815688082561E0
    1.367122374125E0   -1.810649409569E0
    1.370456818940E0   -1.805603355246E0
    1.373791263755E0   -1.800549929498E0
    1.377125708570E0   -1.795489142153E0
    1.380460153384E0   -1.790421002963E0
    1.383794598199E0   -1.785345521608E0
    1.387129043014E0   -1.780262707697E0
    1.390463487829E0   -1.775172570772E0
    1.393797932644E0   -1.770075120313E0
    1.397132377459E0   -1.764970365738E0
    1.400466822274E0   -1.759858316407E0
    1.403801267089E0   -1.754738981628E0
    1.407135711904E0   -1.749612370655E0
    1.410470156719E0   -1.744478492697E0
    1.413804601534E0   -1.739337356917E0
    1.417139046349E0   -1.734188972438E0
    1.420473491164E0   -1.729033348343E0
    1.423807935979E0   -1.723870493684E0
    1.427142380794E0   -1.718700417481E0
    1.430476825609E0   -1.713523128726E0
    1.433811270423E0   -1.708338636388E0
    1.437145715238E0   -1.703146949416E0
    1.440480160053E0   -1.697948076744E0
    1.443814604868E0   -1.692742027292E0
    1.447149049683E0   -1.687528809970E0
    1.450483494498E0   -1.682308433685E0
    1.453817939313E0   -1.677080907341E0
    1.457152384128E0   -1.671846239847E0
    1.460486828943E0   -1.666604440115E0
    1.463821273758E0   -1.661355517071E0
    1.467155718573E0   -1.656099479653E0
    1.470490163388E0   -1.650836336817E0
    1.473824608203E0   -1.645566097542E0
    1.477159053018E0   -1.640288770836E0
    1.480493497833E0   -1.635004365733E0
    1.483827942648E0   -1.629712891305E0
    1.487162387462E0   -1.624414356662E0
    1.490496832277E0   -1.619108770957E0
    1.493831277092E0   -1.613796143391E0
    1.497165721907E0   -1.608476483217E0
    1.500500166722E0   -1.603149799742E0
    1.503834611537E0   -1.597816102336E0
    1.507169056352E0   -1.592475400432E0
    1.510503501167E0   -1.587127703534E0
    1.513837945982E0   -1.581773021219E0
    1.517172390797E0   -1.576411363141E0
    1.520506835612E0   -1.571042739039E0
    1.523841280427E0   -1.565667158738E0
    1.527175725242E0   -1.560284632156E0
    1.530510170057E0   -1.554895169308E0
    1.533844614872E0   -1.549498780307E0
    1.537179059687E0   -1.544095475377E0
    1.540513504502E0   -1.538685264849E0
    1.543847949316E0   -1.533268159171E0
    1.547182394131E0   -1.527844168912E0
    1.550516838946E0   -1.522413304765E0
    1.553851283761E0   -1.516975577552E0
    1.557185728576E0   -1.511530998233E0
    1.560520173391E0   -1.506079577906E0
    1.563854618206E0   -1.500621327813E0
    1.567189063021E0   -1.495156259347E0
    1.570523507836E0   -1.489684384055E0
    1.573857952651E0   -1.484205713643E0
    1.577192397466E0   -1.478720259984E0
    1.580526842281E0   -1.473228035118E0
    1.583861287096E0   -1.467729051263E0
    1.587195731911E0   -1.462223320814E0
    1.590530176726E0   -1.456710856353E0
    1.593864621541E0   -1.451191670650E0
    1.597199066355E0   -1.445665776674E0
    1.600533511170E0   -1.440133187593E0
    1.603867955985E0   -1.434593916779E0
    1.607202400800E0   -1.429047977817E0
    1.610536845615E0   -1.423495384509E0
    1.613871290430E0   -1.417936150877E0
    1.617205735245E0   -1.412370291171E0
    1.620540180060E0   -1.406797819872E0
    1.623874624875E0   -1.401218751701E0
    1.627209069690E0   -1.395633101620E0
    1.630543514505E0   -1.390040884838E0
    1.633877959320E0   -1.384442116821E0
    1.637212404135E0   -1.378836813292E0
    1.640546848950E0   -1.373224990237E0
    1.643881293765E0   -1.367606663916E0
    1.647215738580E0   -1.361981850861E0
    1.650550183394E0   -1.356350567884E0
    1.653884628209E0   -1.350712832086E0
    1.657219073024E0   -1.345068660858E0
    1.660553517839E0   -1.339418071888E0
    1.663887962654E0   -1.333761083166E0
    1.667222407469E0   -1.328097712992E0
    1.670556852284E0   -1.322427979978E0
    1.673891297099E0   -1.316751903054E0
    1.677225741914E0   -1.311069501477E0
    1.680560186729E0   -1.305380794831E0
    1.683894631544E0   -1.299685803038E0
    1.687229076359E0   -1.293984546359E0
    1.690563521174E0   -1.288277045404E0
    1.693897965989E0   -1.282563321132E0
    1.697232410804E0   -1.276843394861E0
    1.700566855619E0   -1.271117288272E0
    1.703901300433E0   -1.265385023414E0
    1.707235745248E0   -1.259646622710E0
    1.710570190063E0   -1.253902108963E0
    1.713904634878E0   -1.248151505360E0
    1.717239079693E0   -1.242394835479E0
    1.720573524508E0   -1.236632123295E0
    1.723907969323E0   -1.230863393183E0
    1.727242414138E0   -1.225088669924E0
    1.730576858953E0   -1.219307978713E0
    1.733911303768E0   -1.213521345163E0
